kernel,runtime,gpu,collapse,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1
bfs_kernel1_cpu,31921,0,1,0,0,0,0,1,100000
bfs_kernel2_cpu,7434,0,1,0,0,0,0,1,100000
bfs_kernel1_cpu,1478,0,1,0,0,0,0,1,100000
bfs_kernel2_cpu,287,0,1,0,0,0,0,1,100000
bfs_kernel1_cpu,229,0,1,0,0,0,0,1,100000
bfs_kernel2_cpu,107,0,1,0,0,0,0,1,100000
bfs_kernel1_gpu_mem,909,1,1,3901360,0,3901360,0,1,100000
bfs_kernel2_gpu_mem,532,1,1,300004,0,300004,0,1,100000
bfs_kernel1_gpu_mem,2278,1,1,3901360,0,3901360,0,1,100000
bfs_kernel2_gpu_mem,378,1,1,300004,0,300004,0,1,100000
bfs_kernel1_gpu_mem,221,1,1,3901360,0,3901360,0,1,100000
bfs_kernel2_gpu_mem,208,1,1,300004,0,300004,0,1,100000
bfs_kernel1_gpu,877,1,1,0,0,0,0,1,100000
bfs_kernel2_gpu,605,1,1,0,0,0,0,1,100000
bfs_kernel1_gpu,2191,1,1,0,0,0,0,1,100000
bfs_kernel2_gpu,390,1,1,0,0,0,0,1,100000
bfs_kernel1_gpu,207,1,1,0,0,0,0,1,100000
bfs_kernel2_gpu,203,1,1,0,0,0,0,1,100000
bfs_kernel1_cpu,30068,0,1,0,0,0,0,1,110000
bfs_kernel2_cpu,509,0,1,0,0,0,0,1,110000
bfs_kernel1_cpu,2279,0,1,0,0,0,0,1,110000
bfs_kernel2_cpu,429,0,1,0,0,0,0,1,110000
bfs_kernel1_cpu,235,0,1,0,0,0,0,1,110000
bfs_kernel2_cpu,309,0,1,0,0,0,0,1,110000
bfs_kernel1_cpu,184,0,1,0,0,0,0,1,110000
bfs_kernel2_cpu,204,0,1,0,0,0,0,1,110000
bfs_kernel1_gpu_mem,432,1,1,4290680,0,4290680,0,1,110000
bfs_kernel2_gpu_mem,704,1,1,330004,0,330004,0,1,110000
bfs_kernel1_gpu_mem,10903,1,1,4290680,0,4290680,0,1,110000
bfs_kernel2_gpu_mem,377,1,1,330004,0,330004,0,1,110000
bfs_kernel1_gpu_mem,160,1,1,4290680,0,4290680,0,1,110000
bfs_kernel2_gpu_mem,128,1,1,330004,0,330004,0,1,110000
bfs_kernel1_gpu_mem,145,1,1,4290680,0,4290680,0,1,110000
