kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1
bfs_kernel1_cpu,239520,0,1,1,28,0,0,0,0,1,100000000
bfs_kernel2_cpu,661838,0,1,1,28,0,0,0,0,1,100000000
bfs_kernel1_cpu,1021996,0,1,1,28,0,0,0,0,1,100000000
bfs_kernel2_cpu,344356,0,1,1,28,0,0,0,0,1,100000000
bfs_kernel1_cpu,65473,0,1,1,28,0,0,0,0,1,100000000
bfs_kernel2_cpu,3099,0,1,1,28,0,0,0,0,1,100000000
bfs_kernel1_gpu_mem,82278911,1,1,781250,128,3899939048,0,3899939048,0,1,100000000
bfs_kernel2_gpu_mem,149428,1,1,781250,128,300000004,0,300000004,0,1,100000000
bfs_kernel1_gpu_mem,85085132,1,1,781250,128,3899939048,0,3899939048,0,1,100000000
bfs_kernel2_gpu_mem,151311,1,1,781250,128,300000004,0,300000004,0,1,100000000
bfs_kernel1_gpu_mem,1779760,1,1,781250,128,3899939048,0,3899939048,0,1,100000000
bfs_kernel2_gpu_mem,128981,1,1,781250,128,300000004,0,300000004,0,1,100000000
bfs_kernel1_gpu,81125138,1,1,781250,128,0,0,0,0,1,100000000
bfs_kernel2_gpu,6712,1,1,781250,128,0,0,0,0,1,100000000
bfs_kernel1_gpu,83837568,1,1,781250,128,0,0,0,0,1,100000000
bfs_kernel2_gpu,6705,1,1,781250,128,0,0,0,0,1,100000000
bfs_kernel1_gpu,23743,1,1,781250,128,0,0,0,0,1,100000000
bfs_kernel2_gpu,5865,1,1,781250,128,0,0,0,0,1,100000000
bfs_kernel1_cpu,30525,0,1,1,28,0,0,0,0,1,10000000
bfs_kernel2_cpu,73171,0,1,1,28,0,0,0,0,1,10000000
bfs_kernel1_cpu,143398,0,1,1,28,0,0,0,0,1,10000000
bfs_kernel2_cpu,32870,0,1,1,28,0,0,0,0,1,10000000
bfs_kernel1_cpu,6560,0,1,1,28,0,0,0,0,1,10000000
bfs_kernel2_cpu,319,0,1,1,28,0,0,0,0,1,10000000
bfs_kernel1_gpu_mem,8350150,1,1,78125,128,389995304,0,389995304,0,1,10000000
bfs_kernel2_gpu_mem,20148,1,1,78125,128,30000004,0,30000004,0,1,10000000
bfs_kernel1_gpu_mem,8550989,1,1,78125,128,389995304,0,389995304,0,1,10000000
bfs_kernel2_gpu_mem,13431,1,1,78125,128,30000004,0,30000004,0,1,10000000
bfs_kernel1_gpu_mem,152269,1,1,78125,128,389995304,0,389995304,0,1,10000000
bfs_kernel2_gpu_mem,13351,1,1,78125,128,30000004,0,30000004,0,1,10000000
bfs_kernel1_gpu,8016253,1,1,78125,128,0,0,0,0,1,10000000
bfs_kernel2_gpu,789,1,1,78125,128,0,0,0,0,1,10000000
bfs_kernel1_gpu,8374775,1,1,78125,128,0,0,0,0,1,10000000
bfs_kernel2_gpu,767,1,1,78125,128,0,0,0,0,1,10000000
bfs_kernel1_gpu,2559,1,1,78125,128,0,0,0,0,1,10000000
bfs_kernel2_gpu,683,1,1,78125,128,0,0,0,0,1,10000000
bfs_kernel1_cpu,3007,0,1,1,28,0,0,0,0,1,1000000
bfs_kernel2_cpu,19082,0,1,1,28,0,0,0,0,1,1000000
bfs_kernel1_cpu,15688,0,1,1,28,0,0,0,0,1,1000000
bfs_kernel2_cpu,5525,0,1,1,28,0,0,0,0,1,1000000
bfs_kernel1_cpu,956,0,1,1,28,0,0,0,0,1,1000000
bfs_kernel2_cpu,89,0,1,1,28,0,0,0,0,1,1000000
bfs_kernel1_gpu_mem,998563,1,1,7813,128,38993864,0,38993864,0,1,1000000
bfs_kernel2_gpu_mem,2665,1,1,7813,128,3000004,0,3000004,0,1,1000000
bfs_kernel1_gpu_mem,858678,1,1,7813,128,38993864,0,38993864,0,1,1000000
bfs_kernel2_gpu_mem,2676,1,1,7813,128,3000004,0,3000004,0,1,1000000
bfs_kernel1_gpu_mem,18106,1,1,7813,128,38993864,0,38993864,0,1,1000000
bfs_kernel2_gpu_mem,2647,1,1,7813,128,3000004,0,3000004,0,1,1000000
bfs_kernel1_gpu,807555,1,1,7813,128,0,0,0,0,1,1000000
bfs_kernel2_gpu,114,1,1,7813,128,0,0,0,0,1,1000000
bfs_kernel1_gpu,838319,1,1,7813,128,0,0,0,0,1,1000000
bfs_kernel2_gpu,114,1,1,7813,128,0,0,0,0,1,1000000
bfs_kernel1_gpu,444,1,1,7813,128,0,0,0,0,1,1000000
bfs_kernel2_gpu,105,1,1,7813,128,0,0,0,0,1,1000000
bfs_kernel1_cpu,383,0,1,1,28,0,0,0,0,1,100000
bfs_kernel2_cpu,1091,0,1,1,28,0,0,0,0,1,100000
bfs_kernel1_cpu,2003,0,1,1,28,0,0,0,0,1,100000
bfs_kernel2_cpu,530,0,1,1,28,0,0,0,0,1,100000
bfs_kernel1_cpu,136,0,1,1,28,0,0,0,0,1,100000
bfs_kernel2_cpu,47,0,1,1,28,0,0,0,0,1,100000
bfs_kernel1_gpu_mem,125901,1,1,782,128,3898112,0,3898112,0,1,100000
bfs_kernel2_gpu_mem,424,1,1,782,128,300004,0,300004,0,1,100000
bfs_kernel1_gpu_mem,118348,1,1,782,128,3898112,0,3898112,0,1,100000
bfs_kernel2_gpu_mem,299,1,1,782,128,300004,0,300004,0,1,100000
bfs_kernel1_gpu_mem,3668,1,1,782,128,3898112,0,3898112,0,1,100000
bfs_kernel2_gpu_mem,299,1,1,782,128,300004,0,300004,0,1,100000
bfs_kernel1_gpu,105869,1,1,782,128,0,0,0,0,1,100000
bfs_kernel2_gpu,49,1,1,782,128,0,0,0,0,1,100000
bfs_kernel1_gpu,103090,1,1,782,128,0,0,0,0,1,100000
bfs_kernel2_gpu,53,1,1,782,128,0,0,0,0,1,100000
bfs_kernel1_gpu,111,1,1,782,128,0,0,0,0,1,100000
bfs_kernel2_gpu,42,1,1,782,128,0,0,0,0,1,100000
bfs_kernel1_cpu,238689,0,1,1,28,0,0,0,0,1,100010000
bfs_kernel2_cpu,686029,0,1,1,28,0,0,0,0,1,100010000
bfs_kernel1_cpu,1019054,0,1,1,28,0,0,0,0,1,100010000
bfs_kernel2_cpu,345588,0,1,1,28,0,0,0,0,1,100010000
bfs_kernel1_cpu,65807,0,1,1,28,0,0,0,0,1,100010000
bfs_kernel2_cpu,3095,0,1,1,28,0,0,0,0,1,100010000
bfs_kernel1_gpu_mem,82871465,1,1,781329,128,3900464800,0,3900464800,0,1,100010000
bfs_kernel2_gpu_mem,107897,1,1,781329,128,300030004,0,300030004,0,1,100010000
bfs_kernel1_gpu_mem,85057973,1,1,781329,128,3900464800,0,3900464800,0,1,100010000
bfs_kernel2_gpu_mem,152283,1,1,781329,128,300030004,0,300030004,0,1,100010000
bfs_kernel1_gpu_mem,1751860,1,1,781329,128,3900464800,0,3900464800,0,1,100010000
bfs_kernel2_gpu_mem,135229,1,1,781329,128,300030004,0,300030004,0,1,100010000
bfs_kernel1_gpu,81055785,1,1,781329,128,0,0,0,0,1,100010000
bfs_kernel2_gpu,6706,1,1,781329,128,0,0,0,0,1,100010000
bfs_kernel1_gpu,83444607,1,1,781329,128,0,0,0,0,1,100010000
bfs_kernel2_gpu,6706,1,1,781329,128,0,0,0,0,1,100010000
bfs_kernel1_gpu,23704,1,1,781329,128,0,0,0,0,1,100010000
bfs_kernel2_gpu,5860,1,1,781329,128,0,0,0,0,1,100010000
bfs_kernel1_cpu,168670,0,1,1,28,0,0,0,0,1,100020000
bfs_kernel2_cpu,269287,0,1,1,28,0,0,0,0,1,100020000
bfs_kernel1_cpu,3026760,0,1,1,28,0,0,0,0,1,100020000
bfs_kernel2_cpu,547390,0,1,1,28,0,0,0,0,1,100020000
bfs_kernel1_cpu,325552,0,1,1,28,0,0,0,0,1,100020000
bfs_kernel2_cpu,132117,0,1,1,28,0,0,0,0,1,100020000
bfs_kernel1_cpu,35028,0,1,1,28,0,0,0,0,1,100020000
