kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1
bfs_kernel1_cpu,131864,0,1,1,128,0,0,0,0,1,10000000
bfs_kernel2_cpu,548767,0,1,1,128,0,0,0,0,1,10000000
bfs_kernel1_cpu,235777,0,1,1,128,0,0,0,0,1,10000000
bfs_kernel2_cpu,297195,0,1,1,128,0,0,0,0,1,10000000
bfs_kernel1_cpu,3061,0,1,1,128,0,0,0,0,1,10000000
bfs_kernel2_cpu,185,0,1,1,128,0,0,0,0,1,10000000
bfs_kernel1_gpu_mem,1556286,1,1,78125,128,389991256,0,389991256,0,1,10000000
bfs_kernel2_gpu_mem,8567,1,1,78125,128,30000004,0,30000004,0,1,10000000
bfs_kernel1_gpu_mem,1653343,1,1,78125,128,389991256,0,389991256,0,1,10000000
bfs_kernel2_gpu_mem,7958,1,1,78125,128,30000004,0,30000004,0,1,10000000
bfs_kernel1_gpu_mem,82835,1,1,78125,128,389991256,0,389991256,0,1,10000000
bfs_kernel2_gpu_mem,7660,1,1,78125,128,30000004,0,30000004,0,1,10000000
bfs_kernel1_gpu,1277073,1,1,78125,128,0,0,0,0,1,10000000
bfs_kernel2_gpu,503,1,1,78125,128,0,0,0,0,1,10000000
bfs_kernel1_gpu,1570662,1,1,78125,128,0,0,0,0,1,10000000
bfs_kernel2_gpu,492,1,1,78125,128,0,0,0,0,1,10000000
bfs_kernel1_gpu,366,1,1,78125,128,0,0,0,0,1,10000000
bfs_kernel2_gpu,150,1,1,78125,128,0,0,0,0,1,10000000
bfs_kernel1_cpu,70556,0,1,1,128,0,0,0,0,1,1000000
bfs_kernel2_cpu,39617,0,1,1,128,0,0,0,0,1,1000000
bfs_kernel1_cpu,27791,0,1,1,128,0,0,0,0,1,1000000
bfs_kernel2_cpu,21229,0,1,1,128,0,0,0,0,1,1000000
bfs_kernel1_cpu,2136,0,1,1,128,0,0,0,0,1,1000000
bfs_kernel2_cpu,165,0,1,1,128,0,0,0,0,1,1000000
bfs_kernel1_gpu_mem,165822,1,1,7813,128,39003160,0,39003160,0,1,1000000
bfs_kernel2_gpu_mem,4798,1,1,7813,128,3000004,0,3000004,0,1,1000000
bfs_kernel1_gpu_mem,182917,1,1,7813,128,39003160,0,39003160,0,1,1000000
bfs_kernel2_gpu_mem,1265,1,1,7813,128,3000004,0,3000004,0,1,1000000
bfs_kernel1_gpu_mem,8773,1,1,7813,128,39003160,0,39003160,0,1,1000000
bfs_kernel2_gpu_mem,1213,1,1,7813,128,3000004,0,3000004,0,1,1000000
bfs_kernel1_gpu,127560,1,1,7813,128,0,0,0,0,1,1000000
bfs_kernel2_gpu,90,1,1,7813,128,0,0,0,0,1,1000000
bfs_kernel1_gpu,159253,1,1,7813,128,0,0,0,0,1,1000000
bfs_kernel2_gpu,87,1,1,7813,128,0,0,0,0,1,1000000
bfs_kernel1_gpu,134,1,1,7813,128,0,0,0,0,1,1000000
bfs_kernel2_gpu,47,1,1,7813,128,0,0,0,0,1,1000000
bfs_kernel1_cpu,57220,0,1,1,128,0,0,0,0,1,100000
bfs_kernel2_cpu,3666,0,1,1,128,0,0,0,0,1,100000
bfs_kernel1_cpu,3043,0,1,1,128,0,0,0,0,1,100000
bfs_kernel2_cpu,1933,0,1,1,128,0,0,0,0,1,100000
bfs_kernel1_cpu,441,0,1,1,128,0,0,0,0,1,100000
bfs_kernel2_cpu,245,0,1,1,128,0,0,0,0,1,100000
bfs_kernel1_cpu,69,0,1,1,128,0,0,0,0,1,100000
bfs_kernel2_cpu,103,0,1,1,128,0,0,0,0,1,100000
bfs_kernel1_gpu_mem,18841,1,1,782,128,3897512,0,3897512,0,1,100000
bfs_kernel2_gpu_mem,1640,1,1,782,128,300004,0,300004,0,1,100000
bfs_kernel1_gpu_mem,15946,1,1,782,128,3897512,0,3897512,0,1,100000
bfs_kernel2_gpu_mem,598,1,1,782,128,300004,0,300004,0,1,100000
bfs_kernel1_gpu_mem,11588,1,1,782,128,3897512,0,3897512,0,1,100000
bfs_kernel2_gpu_mem,595,1,1,782,128,300004,0,300004,0,1,100000
bfs_kernel1_gpu_mem,3963,1,1,782,128,3897512,0,3897512,0,1,100000
bfs_kernel2_gpu_mem,597,1,1,782,128,300004,0,300004,0,1,100000
bfs_kernel1_gpu,11770,1,1,782,128,0,0,0,0,1,100000
bfs_kernel2_gpu,117,1,1,782,128,0,0,0,0,1,100000
bfs_kernel1_gpu,12028,1,1,782,128,0,0,0,0,1,100000
bfs_kernel2_gpu,113,1,1,782,128,0,0,0,0,1,100000
bfs_kernel1_gpu,7813,1,1,782,128,0,0,0,0,1,100000
bfs_kernel2_gpu,112,1,1,782,128,0,0,0,0,1,100000
bfs_kernel1_gpu,89,1,1,782,128,0,0,0,0,1,100000
bfs_kernel2_gpu,107,1,1,782,128,0,0,0,0,1,100000
bfs_kernel1_cpu,136154,0,1,1,128,0,0,0,0,1,10010000
bfs_kernel2_cpu,267981,0,1,1,128,0,0,0,0,1,10010000
bfs_kernel1_cpu,233968,0,1,1,128,0,0,0,0,1,10010000
bfs_kernel2_cpu,294713,0,1,1,128,0,0,0,0,1,10010000
bfs_kernel1_cpu,2102,0,1,1,128,0,0,0,0,1,10010000
bfs_kernel2_cpu,191,0,1,1,128,0,0,0,0,1,10010000
bfs_kernel1_gpu_mem,1545720,1,1,78204,128,390374272,0,390374272,0,1,10010000
bfs_kernel2_gpu_mem,8518,1,1,78204,128,30030004,0,30030004,0,1,10010000
bfs_kernel1_gpu_mem,1706827,1,1,78204,128,390374272,0,390374272,0,1,10010000
bfs_kernel2_gpu_mem,7907,1,1,78204,128,30030004,0,30030004,0,1,10010000
bfs_kernel1_gpu_mem,83157,1,1,78204,128,390374272,0,390374272,0,1,10010000
bfs_kernel2_gpu_mem,7632,1,1,78204,128,30030004,0,30030004,0,1,10010000
bfs_kernel1_gpu,1278288,1,1,78204,128,0,0,0,0,1,10010000
bfs_kernel2_gpu,509,1,1,78204,128,0,0,0,0,1,10010000
bfs_kernel1_gpu,1623311,1,1,78204,128,0,0,0,0,1,10010000
bfs_kernel2_gpu,497,1,1,78204,128,0,0,0,0,1,10010000
