kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1
cc_kernel_cpu,1183,0,1,1,80,0,0,0,0,1,10000000
cc_kernel_gpu_mem,20114,1,1,78125,128,160000056,0,56,160000000,1,10000000
cc_kernel_gpu,6512,1,1,78125,128,56,0,56,0,1,10000000
cc_kernel_cpu,103,0,1,1,80,0,0,0,0,1,1000000
cc_kernel_gpu_mem,3167,1,1,7813,128,16000056,0,56,16000000,1,1000000
cc_kernel_gpu,1465,1,1,7813,128,56,0,56,0,1,1000000
cc_kernel_cpu,43,0,1,1,80,0,0,0,0,1,100000
cc_kernel_gpu_mem,3607,1,1,782,128,1600056,0,56,1600000,1,100000
cc_kernel_gpu,740,1,1,782,128,56,0,56,0,1,100000
cc_kernel_cpu,44,0,1,1,80,0,0,0,0,1,10000
cc_kernel_gpu_mem,3293,1,1,79,128,160056,0,56,160000,1,10000
cc_kernel_gpu,204,1,1,79,128,56,0,56,0,1,10000
cc_kernel_cpu,28,0,1,1,80,0,0,0,0,1,1000
cc_kernel_gpu_mem,1041,1,1,8,128,16056,0,56,16000,1,1000
cc_kernel_gpu,150,1,1,8,128,56,0,56,0,1,1000
cc_kernel_cpu,102,0,1,1,80,0,0,0,0,1,1001000
cc_kernel_gpu_mem,3181,1,1,7821,128,16016056,0,56,16016000,1,1001000
cc_kernel_gpu,1430,1,1,7821,128,56,0,56,0,1,1001000
cc_kernel_cpu,99,0,1,1,80,0,0,0,0,1,1002000
cc_kernel_gpu_mem,3182,1,1,7829,128,16032056,0,56,16032000,1,1002000
cc_kernel_gpu,1415,1,1,7829,128,56,0,56,0,1,1002000
cc_kernel_cpu,106,0,1,1,80,0,0,0,0,1,1003000
cc_kernel_gpu_mem,3099,1,1,7836,128,16048056,0,56,16048000,1,1003000
cc_kernel_gpu,1348,1,1,7836,128,56,0,56,0,1,1003000
cc_kernel_cpu,110,0,1,1,80,0,0,0,0,1,1004000
cc_kernel_gpu_mem,3185,1,1,7844,128,16064056,0,56,16064000,1,1004000
cc_kernel_gpu,1179,1,1,1,1,56,0,56,0,1,1004000
cc_kernel_cpu,99,0,1,1,80,0,0,0,0,1,1005000
cc_kernel_gpu_mem,3126,1,1,7852,128,16080056,0,56,16080000,1,1005000
cc_kernel_gpu,1395,1,1,7852,128,56,0,56,0,1,1005000
cc_kernel_cpu,99,0,1,1,80,0,0,0,0,1,1006000
cc_kernel_gpu_mem,3156,1,1,7860,128,16096056,0,56,16096000,1,1006000
cc_kernel_gpu,1389,1,1,7860,128,56,0,56,0,1,1006000
cc_kernel_cpu,101,0,1,1,80,0,0,0,0,1,1007000
cc_kernel_gpu_mem,3170,1,1,7868,128,16112056,0,56,16112000,1,1007000
cc_kernel_gpu,1422,1,1,7868,128,56,0,56,0,1,1007000
cc_kernel_cpu,95,0,1,1,80,0,0,0,0,1,1008000
cc_kernel_gpu_mem,3173,1,1,7875,128,16128056,0,56,16128000,1,1008000
cc_kernel_gpu,1412,1,1,7875,128,56,0,56,0,1,1008000
cc_kernel_cpu,98,0,1,1,80,0,0,0,0,1,1009000
cc_kernel_gpu_mem,3167,1,1,7883,128,16144056,0,56,16144000,1,1009000
cc_kernel_gpu,1361,1,1,7883,128,56,0,56,0,1,1009000
cc_kernel_cpu,111,0,1,1,80,0,0,0,0,1,1010000
cc_kernel_gpu_mem,3204,1,1,7891,128,16160056,0,56,16160000,1,1010000
cc_kernel_gpu,1472,1,1,7891,128,56,0,56,0,1,1010000
cc_kernel_cpu,51,0,1,1,80,0,0,0,0,1,101000
cc_kernel_gpu_mem,3561,1,1,790,128,1616056,0,56,1616000,1,101000
cc_kernel_gpu,770,1,1,790,128,56,0,56,0,1,101000
cc_kernel_cpu,101,0,1,1,80,0,0,0,0,1,1011000
cc_kernel_gpu_mem,3125,1,1,7899,128,16176056,0,56,16176000,1,1011000
cc_kernel_gpu,1434,1,1,7899,128,56,0,56,0,1,1011000
cc_kernel_cpu,102,0,1,1,80,0,0,0,0,1,1012000
cc_kernel_gpu_mem,3254,1,1,7907,128,16192056,0,56,16192000,1,1012000
cc_kernel_gpu,1492,1,1,7907,128,56,0,56,0,1,1012000
cc_kernel_cpu,97,0,1,1,80,0,0,0,0,1,1013000
cc_kernel_gpu_mem,3224,1,1,7915,128,16208056,0,56,16208000,1,1013000
cc_kernel_gpu,1454,1,1,7915,128,56,0,56,0,1,1013000
cc_kernel_cpu,100,0,1,1,80,0,0,0,0,1,1014000
cc_kernel_gpu_mem,3196,1,1,7922,128,16224056,0,56,16224000,1,1014000
cc_kernel_gpu,1426,1,1,7922,128,56,0,56,0,1,1014000
cc_kernel_cpu,122,0,1,1,80,0,0,0,0,1,1015000
cc_kernel_gpu_mem,3144,1,1,7930,128,16240056,0,56,16240000,1,1015000
cc_kernel_gpu,1425,1,1,7930,128,56,0,56,0,1,1015000
cc_kernel_cpu,94,0,1,1,80,0,0,0,0,1,1016000
cc_kernel_gpu_mem,3178,1,1,7938,128,16256056,0,56,16256000,1,1016000
cc_kernel_gpu,1393,1,1,7938,128,56,0,56,0,1,1016000
cc_kernel_cpu,99,0,1,1,80,0,0,0,0,1,1017000
cc_kernel_gpu_mem,3226,1,1,7946,128,16272056,0,56,16272000,1,1017000
cc_kernel_gpu,1462,1,1,7946,128,56,0,56,0,1,1017000
cc_kernel_cpu,105,0,1,1,80,0,0,0,0,1,1018000
cc_kernel_gpu_mem,3267,1,1,7954,128,16288056,0,56,16288000,1,1018000
cc_kernel_gpu,1513,1,1,7954,128,56,0,56,0,1,1018000
cc_kernel_cpu,101,0,1,1,80,0,0,0,0,1,1019000
cc_kernel_gpu_mem,3212,1,1,7961,128,16304056,0,56,16304000,1,1019000
cc_kernel_gpu,1481,1,1,7961,128,56,0,56,0,1,1019000
cc_kernel_cpu,98,0,1,1,80,0,0,0,0,1,1020000
cc_kernel_gpu_mem,3219,1,1,7969,128,16320056,0,56,16320000,1,1020000
cc_kernel_gpu,1397,1,1,7969,128,56,0,56,0,1,1020000
cc_kernel_cpu,43,0,1,1,80,0,0,0,0,1,102000
cc_kernel_gpu_mem,3817,1,1,797,128,1632056,0,56,1632000,1,102000
cc_kernel_gpu,755,1,1,797,128,56,0,56,0,1,102000
cc_kernel_cpu,96,0,1,1,80,0,0,0,0,1,1021000
cc_kernel_gpu_mem,3121,1,1,7977,128,16336056,0,56,16336000,1,1021000
cc_kernel_gpu,1343,1,1,7977,128,56,0,56,0,1,1021000
cc_kernel_cpu,103,0,1,1,80,0,0,0,0,1,1022000
cc_kernel_gpu_mem,3153,1,1,7985,128,16352056,0,56,16352000,1,1022000
cc_kernel_gpu,1407,1,1,7985,128,56,0,56,0,1,1022000
cc_kernel_cpu,94,0,1,1,80,0,0,0,0,1,1023000
cc_kernel_gpu_mem,3203,1,1,7993,128,16368056,0,56,16368000,1,1023000
cc_kernel_gpu,1395,1,1,7993,128,56,0,56,0,1,1023000
cc_kernel_cpu,107,0,1,1,80,0,0,0,0,1,1024000
cc_kernel_gpu_mem,3100,1,1,8000,128,16384056,0,56,16384000,1,1024000
cc_kernel_gpu,1316,1,1,8000,128,56,0,56,0,1,1024000
cc_kernel_cpu,103,0,1,1,80,0,0,0,0,1,1025000
cc_kernel_gpu_mem,3185,1,1,8008,128,16400056,0,56,16400000,1,1025000
cc_kernel_gpu,1430,1,1,8008,128,56,0,56,0,1,1025000
cc_kernel_cpu,99,0,1,1,80,0,0,0,0,1,1026000
cc_kernel_gpu_mem,3157,1,1,8016,128,16416056,0,56,16416000,1,1026000
cc_kernel_gpu,1412,1,1,8016,128,56,0,56,0,1,1026000
cc_kernel_cpu,101,0,1,1,80,0,0,0,0,1,1027000
cc_kernel_gpu_mem,3227,1,1,8024,128,16432056,0,56,16432000,1,1027000
cc_kernel_gpu,1466,1,1,8024,128,56,0,56,0,1,1027000
cc_kernel_cpu,98,0,1,1,80,0,0,0,0,1,1028000
cc_kernel_gpu_mem,3263,1,1,8032,128,16448056,0,56,16448000,1,1028000
cc_kernel_gpu,1471,1,1,8032,128,56,0,56,0,1,1028000
cc_kernel_cpu,104,0,1,1,80,0,0,0,0,1,1029000
cc_kernel_gpu_mem,3195,1,1,8040,128,16464056,0,56,16464000,1,1029000
cc_kernel_gpu,1449,1,1,8040,128,56,0,56,0,1,1029000
cc_kernel_cpu,100,0,1,1,80,0,0,0,0,1,1030000
cc_kernel_gpu_mem,3275,1,1,8047,128,16480056,0,56,16480000,1,1030000
cc_kernel_gpu,1495,1,1,8047,128,56,0,56,0,1,1030000
cc_kernel_cpu,47,0,1,1,80,0,0,0,0,1,103000
cc_kernel_gpu_mem,3581,1,1,805,128,1648056,0,56,1648000,1,103000
cc_kernel_gpu,769,1,1,805,128,56,0,56,0,1,103000
cc_kernel_cpu,102,0,1,1,80,0,0,0,0,1,1031000
cc_kernel_gpu_mem,3142,1,1,8055,128,16496056,0,56,16496000,1,1031000
cc_kernel_gpu,1405,1,1,8055,128,56,0,56,0,1,1031000
cc_kernel_cpu,99,0,1,1,80,0,0,0,0,1,1032000
cc_kernel_gpu_mem,3158,1,1,8063,128,16512056,0,56,16512000,1,1032000
cc_kernel_gpu,1335,1,1,8063,128,56,0,56,0,1,1032000
cc_kernel_cpu,105,0,1,1,80,0,0,0,0,1,1033000
cc_kernel_gpu_mem,3233,1,1,8071,128,16528056,0,56,16528000,1,1033000
cc_kernel_gpu,1444,1,1,8071,128,56,0,56,0,1,1033000
cc_kernel_cpu,100,0,1,1,80,0,0,0,0,1,1034000
cc_kernel_gpu_mem,3227,1,1,8079,128,16544056,0,56,16544000,1,1034000
cc_kernel_gpu,1516,1,1,8079,128,56,0,56,0,1,1034000
cc_kernel_cpu,103,0,1,1,80,0,0,0,0,1,1035000
cc_kernel_gpu_mem,3162,1,1,8086,128,16560056,0,56,16560000,1,1035000
cc_kernel_gpu,1393,1,1,8086,128,56,0,56,0,1,1035000
cc_kernel_cpu,106,0,1,1,80,0,0,0,0,1,1036000
cc_kernel_gpu_mem,3208,1,1,8094,128,16576056,0,56,16576000,1,1036000
cc_kernel_gpu,1403,1,1,8094,128,56,0,56,0,1,1036000
cc_kernel_cpu,99,0,1,1,80,0,0,0,0,1,1037000
cc_kernel_gpu_mem,3219,1,1,8102,128,16592056,0,56,16592000,1,1037000
cc_kernel_gpu,1409,1,1,8102,128,56,0,56,0,1,1037000
cc_kernel_cpu,102,0,1,1,80,0,0,0,0,1,1038000
cc_kernel_gpu_mem,3184,1,1,8110,128,16608056,0,56,16608000,1,1038000
cc_kernel_gpu,1402,1,1,8110,128,56,0,56,0,1,1038000
cc_kernel_cpu,100,0,1,1,80,0,0,0,0,1,1039000
cc_kernel_gpu_mem,3226,1,1,8118,128,16624056,0,56,16624000,1,1039000
cc_kernel_gpu,1412,1,1,8118,128,56,0,56,0,1,1039000
cc_kernel_cpu,100,0,1,1,80,0,0,0,0,1,1040000
cc_kernel_gpu_mem,3252,1,1,8125,128,16640056,0,56,16640000,1,1040000
cc_kernel_gpu,1399,1,1,8125,128,56,0,56,0,1,1040000
cc_kernel_cpu,45,0,1,1,80,0,0,0,0,1,104000
cc_kernel_gpu_mem,3432,1,1,813,128,1664056,0,56,1664000,1,104000
cc_kernel_gpu,787,1,1,813,128,56,0,56,0,1,104000
cc_kernel_cpu,108,0,1,1,80,0,0,0,0,1,1041000
cc_kernel_gpu_mem,3166,1,1,8133,128,16656056,0,56,16656000,1,1041000
cc_kernel_gpu,1339,1,1,8133,128,56,0,56,0,1,1041000
cc_kernel_cpu,101,0,1,1,80,0,0,0,0,1,1042000
cc_kernel_gpu_mem,3256,1,1,8141,128,16672056,0,56,16672000,1,1042000
cc_kernel_gpu,1419,1,1,8141,128,56,0,56,0,1,1042000
cc_kernel_cpu,96,0,1,1,80,0,0,0,0,1,1043000
cc_kernel_gpu_mem,3182,1,1,8149,128,16688056,0,56,16688000,1,1043000
cc_kernel_gpu,1451,1,1,8149,128,56,0,56,0,1,1043000
cc_kernel_cpu,114,0,1,1,80,0,0,0,0,1,1044000
cc_kernel_gpu_mem,3230,1,1,8157,128,16704056,0,56,16704000,1,1044000
cc_kernel_gpu,1432,1,1,8157,128,56,0,56,0,1,1044000
cc_kernel_cpu,98,0,1,1,80,0,0,0,0,1,1045000
cc_kernel_gpu_mem,3149,1,1,8165,128,16720056,0,56,16720000,1,1045000
cc_kernel_gpu,1363,1,1,8165,128,56,0,56,0,1,1045000
cc_kernel_cpu,105,0,1,1,80,0,0,0,0,1,1046000
cc_kernel_gpu_mem,3244,1,1,8172,128,16736056,0,56,16736000,1,1046000
cc_kernel_gpu,1508,1,1,8172,128,56,0,56,0,1,1046000
cc_kernel_cpu,101,0,1,1,80,0,0,0,0,1,1047000
cc_kernel_gpu_mem,3234,1,1,8180,128,16752056,0,56,16752000,1,1047000
cc_kernel_gpu,1489,1,1,8180,128,56,0,56,0,1,1047000
cc_kernel_cpu,104,0,1,1,80,0,0,0,0,1,1048000
cc_kernel_gpu_mem,3241,1,1,8188,128,16768056,0,56,16768000,1,1048000
cc_kernel_gpu,1472,1,1,8188,128,56,0,56,0,1,1048000
cc_kernel_cpu,97,0,1,1,80,0,0,0,0,1,1049000
cc_kernel_gpu_mem,3167,1,1,8196,128,16784056,0,56,16784000,1,1049000
cc_kernel_gpu,1407,1,1,8196,128,56,0,56,0,1,1049000
cc_kernel_cpu,103,0,1,1,80,0,0,0,0,1,1050000
cc_kernel_gpu_mem,3203,1,1,8204,128,16800056,0,56,16800000,1,1050000
cc_kernel_gpu,1361,1,1,8204,128,56,0,56,0,1,1050000
cc_kernel_cpu,45,0,1,1,80,0,0,0,0,1,105000
cc_kernel_gpu_mem,3792,1,1,821,128,1680056,0,56,1680000,1,105000
cc_kernel_gpu,804,1,1,821,128,56,0,56,0,1,105000
cc_kernel_cpu,103,0,1,1,80,0,0,0,0,1,1051000
cc_kernel_gpu_mem,3209,1,1,8211,128,16816056,0,56,16816000,1,1051000
cc_kernel_gpu,1376,1,1,8211,128,56,0,56,0,1,1051000
cc_kernel_cpu,102,0,1,1,80,0,0,0,0,1,1052000
cc_kernel_gpu_mem,3262,1,1,8219,128,16832056,0,56,16832000,1,1052000
cc_kernel_gpu,1414,1,1,8219,128,56,0,56,0,1,1052000
cc_kernel_cpu,100,0,1,1,80,0,0,0,0,1,1053000
cc_kernel_gpu_mem,3245,1,1,8227,128,16848056,0,56,16848000,1,1053000
cc_kernel_gpu,1421,1,1,8227,128,56,0,56,0,1,1053000
cc_kernel_cpu,107,0,1,1,80,0,0,0,0,1,1054000
cc_kernel_gpu_mem,3275,1,1,8235,128,16864056,0,56,16864000,1,1054000
cc_kernel_gpu,1430,1,1,8235,128,56,0,56,0,1,1054000
cc_kernel_cpu,102,0,1,1,80,0,0,0,0,1,1055000
cc_kernel_gpu_mem,3335,1,1,8243,128,16880056,0,56,16880000,1,1055000
cc_kernel_gpu,1465,1,1,8243,128,56,0,56,0,1,1055000
cc_kernel_cpu,102,0,1,1,80,0,0,0,0,1,1056000
cc_kernel_gpu_mem,3213,1,1,8250,128,16896056,0,56,16896000,1,1056000
cc_kernel_gpu,1404,1,1,8250,128,56,0,56,0,1,1056000
cc_kernel_cpu,106,0,1,1,80,0,0,0,0,1,1057000
cc_kernel_gpu_mem,3315,1,1,8258,128,16912056,0,56,16912000,1,1057000
cc_kernel_gpu,1419,1,1,8258,128,56,0,56,0,1,1057000
cc_kernel_cpu,102,0,1,1,80,0,0,0,0,1,1058000
cc_kernel_gpu_mem,3333,1,1,8266,128,16928056,0,56,16928000,1,1058000
cc_kernel_gpu,1497,1,1,8266,128,56,0,56,0,1,1058000
cc_kernel_cpu,103,0,1,1,80,0,0,0,0,1,1059000
cc_kernel_gpu_mem,3310,1,1,8274,128,16944056,0,56,16944000,1,1059000
cc_kernel_gpu,1492,1,1,8274,128,56,0,56,0,1,1059000
cc_kernel_cpu,106,0,1,1,80,0,0,0,0,1,1060000
cc_kernel_gpu_mem,3378,1,1,8282,128,16960056,0,56,16960000,1,1060000
cc_kernel_gpu,1491,1,1,8282,128,56,0,56,0,1,1060000
cc_kernel_cpu,44,0,1,1,80,0,0,0,0,1,106000
cc_kernel_gpu_mem,3649,1,1,829,128,1696056,0,56,1696000,1,106000
cc_kernel_gpu,786,1,1,829,128,56,0,56,0,1,106000
