kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1
cc_kernel_cpu,6466,0,1,1,28,0,0,0,0,1,10000000
cc_kernel_gpu_mem,46543,1,1,78125,128,160000056,0,56,160000000,1,10000000
cc_kernel_gpu,6207,1,1,78125,128,56,0,56,0,1,10000000
cc_kernel_cpu,580,0,1,1,28,0,0,0,0,1,1000000
cc_kernel_gpu_mem,6265,1,1,7813,128,16000056,0,56,16000000,1,1000000
cc_kernel_gpu,771,1,1,7813,128,56,0,56,0,1,1000000
cc_kernel_cpu,147,0,1,1,28,0,0,0,0,1,100000
cc_kernel_gpu_mem,2447,1,1,782,128,1600056,0,56,1600000,1,100000
cc_kernel_gpu,327,1,1,782,128,56,0,56,0,1,100000
cc_kernel_cpu,183,0,1,1,28,0,0,0,0,1,10000
cc_kernel_gpu_mem,916,1,1,79,128,160056,0,56,160000,1,10000
cc_kernel_gpu,184,1,1,79,128,56,0,56,0,1,10000
cc_kernel_cpu,126,0,1,1,28,0,0,0,0,1,1000
cc_kernel_gpu_mem,328,1,1,8,128,16056,0,56,16000,1,1000
cc_kernel_gpu,166,1,1,8,128,56,0,56,0,1,1000
cc_kernel_cpu,566,0,1,1,28,0,0,0,0,1,1001000
cc_kernel_gpu_mem,5888,1,1,7821,128,16016056,0,56,16016000,1,1001000
cc_kernel_gpu,762,1,1,7821,128,56,0,56,0,1,1001000
cc_kernel_cpu,601,0,1,1,28,0,0,0,0,1,1002000
cc_kernel_gpu_mem,6159,1,1,7829,128,16032056,0,56,16032000,1,1002000
cc_kernel_gpu,753,1,1,7829,128,56,0,56,0,1,1002000
cc_kernel_cpu,410,0,1,1,28,0,0,0,0,1,1003000
cc_kernel_gpu_mem,5835,1,1,7836,128,16048056,0,56,16048000,1,1003000
cc_kernel_gpu,785,1,1,7836,128,56,0,56,0,1,1003000
cc_kernel_cpu,452,0,1,1,28,0,0,0,0,1,1004000
cc_kernel_gpu_mem,6094,1,1,7844,128,16064056,0,56,16064000,1,1004000
cc_kernel_gpu,764,1,1,7844,128,56,0,56,0,1,1004000
cc_kernel_cpu,3555,0,1,1,28,0,0,0,0,1,1005000
cc_kernel_gpu_mem,9026,1,1,7852,128,16080056,0,56,16080000,1,1005000
cc_kernel_gpu,807,1,1,7852,128,56,0,56,0,1,1005000
cc_kernel_cpu,557,0,1,1,28,0,0,0,0,1,1006000
cc_kernel_gpu_mem,6107,1,1,7860,128,16096056,0,56,16096000,1,1006000
cc_kernel_gpu,755,1,1,7860,128,56,0,56,0,1,1006000
cc_kernel_cpu,605,0,1,1,28,0,0,0,0,1,1007000
cc_kernel_gpu_mem,6116,1,1,7868,128,16112056,0,56,16112000,1,1007000
cc_kernel_gpu,762,1,1,7868,128,56,0,56,0,1,1007000
cc_kernel_cpu,408,0,1,1,28,0,0,0,0,1,1008000
cc_kernel_gpu_mem,5843,1,1,7875,128,16128056,0,56,16128000,1,1008000
cc_kernel_gpu,755,1,1,7875,128,56,0,56,0,1,1008000
cc_kernel_cpu,577,0,1,1,28,0,0,0,0,1,1009000
cc_kernel_gpu_mem,6137,1,1,7883,128,16144056,0,56,16144000,1,1009000
cc_kernel_gpu,768,1,1,7883,128,56,0,56,0,1,1009000
cc_kernel_cpu,398,0,1,1,28,0,0,0,0,1,1010000
cc_kernel_gpu_mem,6036,1,1,7891,128,16160056,0,56,16160000,1,1010000
cc_kernel_gpu,764,1,1,7891,128,56,0,56,0,1,1010000
cc_kernel_cpu,207,0,1,1,28,0,0,0,0,1,101000
cc_kernel_gpu_mem,2559,1,1,790,128,1616056,0,56,1616000,1,101000
cc_kernel_gpu,262,1,1,790,128,56,0,56,0,1,101000
cc_kernel_cpu,438,0,1,1,28,0,0,0,0,1,1011000
cc_kernel_gpu_mem,6148,1,1,7899,128,16176056,0,56,16176000,1,1011000
cc_kernel_gpu,766,1,1,7899,128,56,0,56,0,1,1011000
cc_kernel_cpu,390,0,1,1,28,0,0,0,0,1,1012000
cc_kernel_gpu_mem,5856,1,1,7907,128,16192056,0,56,16192000,1,1012000
cc_kernel_gpu,761,1,1,7907,128,56,0,56,0,1,1012000
cc_kernel_cpu,431,0,1,1,28,0,0,0,0,1,1013000
cc_kernel_gpu_mem,6082,1,1,7915,128,16208056,0,56,16208000,1,1013000
cc_kernel_gpu,763,1,1,7915,128,56,0,56,0,1,1013000
cc_kernel_cpu,573,0,1,1,28,0,0,0,0,1,1014000
cc_kernel_gpu_mem,6160,1,1,7922,128,16224056,0,56,16224000,1,1014000
cc_kernel_gpu,772,1,1,7922,128,56,0,56,0,1,1014000
cc_kernel_cpu,589,0,1,1,28,0,0,0,0,1,1015000
cc_kernel_gpu_mem,6139,1,1,7930,128,16240056,0,56,16240000,1,1015000
cc_kernel_gpu,765,1,1,7930,128,56,0,56,0,1,1015000
cc_kernel_cpu,443,0,1,1,28,0,0,0,0,1,1016000
cc_kernel_gpu_mem,6122,1,1,7938,128,16256056,0,56,16256000,1,1016000
cc_kernel_gpu,807,1,1,7938,128,56,0,56,0,1,1016000
cc_kernel_cpu,361,0,1,1,28,0,0,0,0,1,1017000
cc_kernel_gpu_mem,5842,1,1,7946,128,16272056,0,56,16272000,1,1017000
cc_kernel_gpu,756,1,1,7946,128,56,0,56,0,1,1017000
cc_kernel_cpu,1120,0,1,1,28,0,0,0,0,1,1018000
cc_kernel_gpu_mem,6160,1,1,7954,128,16288056,0,56,16288000,1,1018000
cc_kernel_gpu,767,1,1,7954,128,56,0,56,0,1,1018000
cc_kernel_cpu,407,0,1,1,28,0,0,0,0,1,1019000
cc_kernel_gpu_mem,5947,1,1,7961,128,16304056,0,56,16304000,1,1019000
cc_kernel_gpu,765,1,1,7961,128,56,0,56,0,1,1019000
cc_kernel_cpu,581,0,1,1,28,0,0,0,0,1,1020000
cc_kernel_gpu_mem,6220,1,1,7969,128,16320056,0,56,16320000,1,1020000
cc_kernel_gpu,771,1,1,7969,128,56,0,56,0,1,1020000
cc_kernel_cpu,180,0,1,1,28,0,0,0,0,1,102000
cc_kernel_gpu_mem,2117,1,1,797,128,1632056,0,56,1632000,1,102000
cc_kernel_gpu,253,1,1,797,128,56,0,56,0,1,102000
cc_kernel_cpu,679,0,1,1,28,0,0,0,0,1,1021000
cc_kernel_gpu_mem,6161,1,1,7977,128,16336056,0,56,16336000,1,1021000
cc_kernel_gpu,769,1,1,7977,128,56,0,56,0,1,1021000
cc_kernel_cpu,600,0,1,1,28,0,0,0,0,1,1022000
cc_kernel_gpu_mem,6437,1,1,7985,128,16352056,0,56,16352000,1,1022000
cc_kernel_gpu,769,1,1,7985,128,56,0,56,0,1,1022000
cc_kernel_cpu,335,0,1,1,28,0,0,0,0,1,1023000
cc_kernel_gpu_mem,5871,1,1,7993,128,16368056,0,56,16368000,1,1023000
cc_kernel_gpu,829,1,1,7993,128,56,0,56,0,1,1023000
cc_kernel_cpu,604,0,1,1,28,0,0,0,0,1,1024000
cc_kernel_gpu_mem,5972,1,1,8000,128,16384056,0,56,16384000,1,1024000
cc_kernel_gpu,762,1,1,8000,128,56,0,56,0,1,1024000
cc_kernel_cpu,639,0,1,1,28,0,0,0,0,1,1025000
cc_kernel_gpu_mem,6298,1,1,8008,128,16400056,0,56,16400000,1,1025000
cc_kernel_gpu,774,1,1,8008,128,56,0,56,0,1,1025000
cc_kernel_cpu,396,0,1,1,28,0,0,0,0,1,1026000
cc_kernel_gpu_mem,6196,1,1,8016,128,16416056,0,56,16416000,1,1026000
cc_kernel_gpu,777,1,1,8016,128,56,0,56,0,1,1026000
cc_kernel_cpu,512,0,1,1,28,0,0,0,0,1,1027000
cc_kernel_gpu_mem,6702,1,1,8024,128,16432056,0,56,16432000,1,1027000
cc_kernel_gpu,778,1,1,8024,128,56,0,56,0,1,1027000
cc_kernel_cpu,456,0,1,1,28,0,0,0,0,1,1028000
cc_kernel_gpu_mem,6054,1,1,8032,128,16448056,0,56,16448000,1,1028000
cc_kernel_gpu,789,1,1,8032,128,56,0,56,0,1,1028000
cc_kernel_cpu,542,0,1,1,28,0,0,0,0,1,1029000
cc_kernel_gpu_mem,5921,1,1,8040,128,16464056,0,56,16464000,1,1029000
cc_kernel_gpu,770,1,1,8040,128,56,0,56,0,1,1029000
