kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1
cc_kernel_cpu,46827,0,1,1,64,0,0,0,0,1,10000000
cc_kernel_gpu_mem,31406,1,1,78125,128,160000056,0,56,160000000,1,10000000
cc_kernel_gpu,12086,1,1,78125,128,56,0,56,0,1,10000000
cc_kernel_cpu,5121,0,1,1,64,0,0,0,0,1,1000000
cc_kernel_gpu_mem,8682,1,1,7813,128,16000056,0,56,16000000,1,1000000
cc_kernel_gpu,1332,1,1,7813,128,56,0,56,0,1,1000000
cc_kernel_cpu,9448,0,1,1,64,0,0,0,0,1,100000
cc_kernel_gpu_mem,1154,1,1,782,128,1600056,0,56,1600000,1,100000
cc_kernel_gpu,326,1,1,782,128,56,0,56,0,1,100000
cc_kernel_cpu,13513,0,1,1,64,0,0,0,0,1,10000
cc_kernel_gpu_mem,431,1,1,79,128,160056,0,56,160000,1,10000
cc_kernel_gpu,114,1,1,79,128,56,0,56,0,1,10000
cc_kernel_cpu,749,0,1,1,64,0,0,0,0,1,1000
cc_kernel_gpu_mem,260,1,1,8,128,16056,0,56,16000,1,1000
cc_kernel_gpu,148,1,1,8,128,56,0,56,0,1,1000
cc_kernel_cpu,3145,0,1,1,64,0,0,0,0,1,1001000
cc_kernel_gpu_mem,5097,1,1,7821,128,16016056,0,56,16016000,1,1001000
cc_kernel_gpu,1983,1,1,7821,128,56,0,56,0,1,1001000
cc_kernel_cpu,20195,0,1,1,64,0,0,0,0,1,1002000
cc_kernel_gpu_mem,4247,1,1,7829,128,16032056,0,56,16032000,1,1002000
cc_kernel_gpu,1337,1,1,7829,128,56,0,56,0,1,1002000
cc_kernel_cpu,5078,0,1,1,64,0,0,0,0,1,1003000
cc_kernel_gpu_mem,5756,1,1,7836,128,16048056,0,56,16048000,1,1003000
cc_kernel_gpu,1912,1,1,7836,128,56,0,56,0,1,1003000
cc_kernel_cpu,6658,0,1,1,64,0,0,0,0,1,1004000
cc_kernel_gpu_mem,6053,1,1,7844,128,16064056,0,56,16064000,1,1004000
cc_kernel_gpu,1919,1,1,7844,128,56,0,56,0,1,1004000
cc_kernel_cpu,15153,0,1,1,64,0,0,0,0,1,1005000
cc_kernel_gpu_mem,2994,1,1,7852,128,16080056,0,56,16080000,1,1005000
cc_kernel_gpu,671,1,1,7852,128,56,0,56,0,1,1005000
cc_kernel_cpu,10911,0,1,1,64,0,0,0,0,1,1006000
cc_kernel_gpu_mem,6360,1,1,7860,128,16096056,0,56,16096000,1,1006000
cc_kernel_gpu,1915,1,1,7860,128,56,0,56,0,1,1006000
cc_kernel_cpu,26000,0,1,1,64,0,0,0,0,1,1007000
cc_kernel_gpu_mem,4236,1,1,7868,128,16112056,0,56,16112000,1,1007000
cc_kernel_gpu,1536,1,1,7868,128,56,0,56,0,1,1007000
cc_kernel_cpu,13548,0,1,1,64,0,0,0,0,1,1008000
cc_kernel_gpu_mem,4297,1,1,7875,128,16128056,0,56,16128000,1,1008000
cc_kernel_gpu,1382,1,1,7875,128,56,0,56,0,1,1008000
cc_kernel_cpu,2983,0,1,1,64,0,0,0,0,1,1009000
cc_kernel_gpu_mem,6089,1,1,7883,128,16144056,0,56,16144000,1,1009000
cc_kernel_gpu,1914,1,1,7883,128,56,0,56,0,1,1009000
cc_kernel_cpu,1804,0,1,1,64,0,0,0,0,1,1010000
cc_kernel_gpu_mem,3381,1,1,7891,128,16160056,0,56,16160000,1,1010000
cc_kernel_gpu,1391,1,1,7891,128,56,0,56,0,1,1010000
cc_kernel_cpu,12451,0,1,1,64,0,0,0,0,1,101000
cc_kernel_gpu_mem,735,1,1,790,128,1616056,0,56,1616000,1,101000
cc_kernel_gpu,223,1,1,790,128,56,0,56,0,1,101000
cc_kernel_cpu,4727,0,1,1,64,0,0,0,0,1,1011000
cc_kernel_gpu_mem,6304,1,1,7899,128,16176056,0,56,16176000,1,1011000
cc_kernel_gpu,1970,1,1,7899,128,56,0,56,0,1,1011000
cc_kernel_cpu,5712,0,1,1,64,0,0,0,0,1,1012000
cc_kernel_gpu_mem,6074,1,1,7907,128,16192056,0,56,16192000,1,1012000
cc_kernel_gpu,2007,1,1,7907,128,56,0,56,0,1,1012000
cc_kernel_cpu,12204,0,1,1,64,0,0,0,0,1,1013000
cc_kernel_gpu_mem,8940,1,1,7915,128,16208056,0,56,16208000,1,1013000
cc_kernel_gpu,1479,1,1,7915,128,56,0,56,0,1,1013000
cc_kernel_cpu,4826,0,1,1,64,0,0,0,0,1,1014000
cc_kernel_gpu_mem,4113,1,1,7922,128,16224056,0,56,16224000,1,1014000
cc_kernel_gpu,1324,1,1,7922,128,56,0,56,0,1,1014000
cc_kernel_cpu,1261,0,1,1,64,0,0,0,0,1,1015000
cc_kernel_gpu_mem,6606,1,1,7930,128,16240056,0,56,16240000,1,1015000
cc_kernel_gpu,1417,1,1,7930,128,56,0,56,0,1,1015000
cc_kernel_cpu,4321,0,1,1,64,0,0,0,0,1,1016000
cc_kernel_gpu_mem,6258,1,1,7938,128,16256056,0,56,16256000,1,1016000
cc_kernel_gpu,1919,1,1,7938,128,56,0,56,0,1,1016000
cc_kernel_cpu,4493,0,1,1,64,0,0,0,0,1,1017000
cc_kernel_gpu_mem,6007,1,1,7946,128,16272056,0,56,16272000,1,1017000
cc_kernel_gpu,2021,1,1,7946,128,56,0,56,0,1,1017000
cc_kernel_cpu,3200,0,1,1,64,0,0,0,0,1,1018000
cc_kernel_gpu_mem,4315,1,1,7954,128,16288056,0,56,16288000,1,1018000
cc_kernel_gpu,1941,1,1,7954,128,56,0,56,0,1,1018000
cc_kernel_cpu,2008,0,1,1,64,0,0,0,0,1,1019000
cc_kernel_gpu_mem,5880,1,1,7961,128,16304056,0,56,16304000,1,1019000
cc_kernel_gpu,1944,1,1,7961,128,56,0,56,0,1,1019000
cc_kernel_cpu,3474,0,1,1,64,0,0,0,0,1,1020000
cc_kernel_gpu_mem,3245,1,1,7969,128,16320056,0,56,16320000,1,1020000
cc_kernel_gpu,2329,1,1,7969,128,56,0,56,0,1,1020000
cc_kernel_cpu,1940,0,1,1,64,0,0,0,0,1,102000
cc_kernel_gpu_mem,790,1,1,797,128,1632056,0,56,1632000,1,102000
cc_kernel_gpu,279,1,1,797,128,56,0,56,0,1,102000
cc_kernel_cpu,13833,0,1,1,64,0,0,0,0,1,1021000
cc_kernel_gpu_mem,4461,1,1,7977,128,16336056,0,56,16336000,1,1021000
cc_kernel_gpu,1434,1,1,7977,128,56,0,56,0,1,1021000
cc_kernel_cpu,11205,0,1,1,64,0,0,0,0,1,1022000
cc_kernel_gpu_mem,4353,1,1,7985,128,16352056,0,56,16352000,1,1022000
cc_kernel_gpu,1409,1,1,7985,128,56,0,56,0,1,1022000
cc_kernel_cpu,4492,0,1,1,64,0,0,0,0,1,1023000
cc_kernel_gpu_mem,4154,1,1,7993,128,16368056,0,56,16368000,1,1023000
cc_kernel_gpu,1356,1,1,7993,128,56,0,56,0,1,1023000
cc_kernel_cpu,2669,0,1,1,64,0,0,0,0,1,1024000
cc_kernel_gpu_mem,3681,1,1,8000,128,16384056,0,56,16384000,1,1024000
cc_kernel_gpu,1406,1,1,8000,128,56,0,56,0,1,1024000
cc_kernel_cpu,1934,0,1,1,64,0,0,0,0,1,1025000
cc_kernel_gpu_mem,3405,1,1,8008,128,16400056,0,56,16400000,1,1025000
cc_kernel_gpu,1360,1,1,8008,128,56,0,56,0,1,1025000
cc_kernel_cpu,15966,0,1,1,64,0,0,0,0,1,1026000
cc_kernel_gpu_mem,4148,1,1,8016,128,16416056,0,56,16416000,1,1026000
cc_kernel_gpu,1405,1,1,8016,128,56,0,56,0,1,1026000
cc_kernel_cpu,4143,0,1,1,64,0,0,0,0,1,1027000
cc_kernel_gpu_mem,6501,1,1,8024,128,16432056,0,56,16432000,1,1027000
cc_kernel_gpu,1949,1,1,8024,128,56,0,56,0,1,1027000
cc_kernel_cpu,11737,0,1,1,64,0,0,0,0,1,1028000
cc_kernel_gpu_mem,4661,1,1,8032,128,16448056,0,56,16448000,1,1028000
cc_kernel_gpu,1437,1,1,8032,128,56,0,56,0,1,1028000
cc_kernel_cpu,17499,0,1,1,64,0,0,0,0,1,1029000
cc_kernel_gpu_mem,4403,1,1,8040,128,16464056,0,56,16464000,1,1029000
cc_kernel_gpu,1359,1,1,8040,128,56,0,56,0,1,1029000
cc_kernel_cpu,6285,0,1,1,64,0,0,0,0,1,1030000
cc_kernel_gpu_mem,6073,1,1,8047,128,16480056,0,56,16480000,1,1030000
cc_kernel_gpu,1998,1,1,8047,128,56,0,56,0,1,1030000
cc_kernel_cpu,3465,0,1,1,64,0,0,0,0,1,103000
cc_kernel_gpu_mem,1052,1,1,805,128,1648056,0,56,1648000,1,103000
cc_kernel_gpu,412,1,1,805,128,56,0,56,0,1,103000
cc_kernel_cpu,19113,0,1,1,64,0,0,0,0,1,1031000
cc_kernel_gpu_mem,4355,1,1,8055,128,16496056,0,56,16496000,1,1031000
cc_kernel_gpu,1355,1,1,8055,128,56,0,56,0,1,1031000
cc_kernel_cpu,5873,0,1,1,64,0,0,0,0,1,1032000
cc_kernel_gpu_mem,4589,1,1,8063,128,16512056,0,56,16512000,1,1032000
cc_kernel_gpu,1443,1,1,8063,128,56,0,56,0,1,1032000
cc_kernel_cpu,5896,0,1,1,64,0,0,0,0,1,1033000
cc_kernel_gpu_mem,6694,1,1,8071,128,16528056,0,56,16528000,1,1033000
cc_kernel_gpu,1952,1,1,8071,128,56,0,56,0,1,1033000
cc_kernel_cpu,1587,0,1,1,64,0,0,0,0,1,1034000
cc_kernel_gpu_mem,6202,1,1,8079,128,16544056,0,56,16544000,1,1034000
cc_kernel_gpu,1968,1,1,8079,128,56,0,56,0,1,1034000
cc_kernel_cpu,2294,0,1,1,64,0,0,0,0,1,1035000
cc_kernel_gpu_mem,6278,1,1,8086,128,16560056,0,56,16560000,1,1035000
cc_kernel_gpu,2013,1,1,8086,128,56,0,56,0,1,1035000
cc_kernel_cpu,18303,0,1,1,64,0,0,0,0,1,1036000
cc_kernel_gpu_mem,4327,1,1,8094,128,16576056,0,56,16576000,1,1036000
cc_kernel_gpu,1354,1,1,8094,128,56,0,56,0,1,1036000
cc_kernel_cpu,16157,0,1,1,64,0,0,0,0,1,1037000
cc_kernel_gpu_mem,4457,1,1,8102,128,16592056,0,56,16592000,1,1037000
cc_kernel_gpu,1387,1,1,8102,128,56,0,56,0,1,1037000
cc_kernel_cpu,1742,0,1,1,64,0,0,0,0,1,1038000
cc_kernel_gpu_mem,3600,1,1,8110,128,16608056,0,56,16608000,1,1038000
cc_kernel_gpu,1376,1,1,8110,128,56,0,56,0,1,1038000
cc_kernel_cpu,21597,0,1,1,64,0,0,0,0,1,1039000
cc_kernel_gpu_mem,4335,1,1,8118,128,16624056,0,56,16624000,1,1039000
