kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1
cc_kernel_cpu,6866,0,1,1,48,0,0,0,0,1,100000
cc_kernel_gpu_mem,23052,1,1,240,256,1600056,0,56,1600000,1,100000
cc_kernel_gpu,9342,1,1,240,256,56,0,56,0,1,100000
cc_kernel_cpu,2748,0,1,1,48,0,0,0,0,1,10000
cc_kernel_gpu_mem,22137,1,1,40,256,160056,0,56,160000,1,10000
cc_kernel_gpu,14083,1,1,40,256,56,0,56,0,1,10000
cc_kernel_cpu,802,0,1,1,48,0,0,0,0,1,1000
cc_kernel_gpu_mem,27220,1,1,4,256,16056,0,56,16000,1,1000
cc_kernel_gpu,10218,1,1,4,256,56,0,56,0,1,1000
cc_kernel_cpu,32843,0,1,1,48,0,0,0,0,1,101000
cc_kernel_gpu_mem,10283,1,1,240,256,1616056,0,56,1616000,1,101000
cc_kernel_gpu,9148,1,1,240,256,56,0,56,0,1,101000
cc_kernel_cpu,6407,0,1,1,48,0,0,0,0,1,102000
cc_kernel_gpu_mem,7033,1,1,240,256,1632056,0,56,1632000,1,102000
cc_kernel_gpu,5705,1,1,240,256,56,0,56,0,1,102000
cc_kernel_cpu,9476,0,1,1,48,0,0,0,0,1,103000
cc_kernel_gpu_mem,5104,1,1,240,256,1648056,0,56,1648000,1,103000
cc_kernel_gpu,18273,1,1,240,256,56,0,56,0,1,103000
cc_kernel_cpu,5094,0,1,1,48,0,0,0,0,1,104000
cc_kernel_gpu_mem,4390,1,1,240,256,1664056,0,56,1664000,1,104000
cc_kernel_gpu,3907,1,1,240,256,56,0,56,0,1,104000
cc_kernel_cpu,8394,0,1,1,48,0,0,0,0,1,105000
cc_kernel_gpu_mem,6836,1,1,240,256,1680056,0,56,1680000,1,105000
cc_kernel_gpu,5535,1,1,240,256,56,0,56,0,1,105000
cc_kernel_cpu,6700,0,1,1,48,0,0,0,0,1,106000
cc_kernel_gpu_mem,4161,1,1,240,256,1696056,0,56,1696000,1,106000
cc_kernel_gpu,2496,1,1,240,256,56,0,56,0,1,106000
cc_kernel_cpu,5368,0,1,1,48,0,0,0,0,1,107000
cc_kernel_gpu_mem,4237,1,1,240,256,1712056,0,56,1712000,1,107000
cc_kernel_gpu,2513,1,1,240,256,56,0,56,0,1,107000
cc_kernel_cpu,367,0,1,1,48,0,0,0,0,1,108000
cc_kernel_gpu_mem,4227,1,1,240,256,1728056,0,56,1728000,1,108000
cc_kernel_gpu,2491,1,1,240,256,56,0,56,0,1,108000
cc_kernel_cpu,25505,0,1,1,48,0,0,0,0,1,109000
