kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1
cc_kernel_cpu,2209,0,1,1,168,0,0,0,0,1,10000000
cc_kernel_gpu_mem,117377,1,1,78125,128,160000056,0,56,160000000,1,10000000
cc_kernel_gpu,5839,1,1,78125,128,56,0,56,0,1,10000000
cc_kernel_cpu,69260,0,1,1,168,0,0,0,0,1,1000000
cc_kernel_gpu_mem,218260,1,1,7813,128,16000056,0,56,16000000,1,1000000
cc_kernel_gpu,761,1,1,7813,128,56,0,56,0,1,1000000
cc_kernel_cpu,66979,0,1,1,168,0,0,0,0,1,100000
cc_kernel_gpu_mem,212320,1,1,782,128,1600056,0,56,1600000,1,100000
cc_kernel_gpu,222,1,1,782,128,56,0,56,0,1,100000
cc_kernel_cpu,68483,0,1,1,168,0,0,0,0,1,10000
cc_kernel_gpu_mem,213832,1,1,79,128,160056,0,56,160000,1,10000
cc_kernel_gpu,173,1,1,79,128,56,0,56,0,1,10000
cc_kernel_cpu,72755,0,1,1,168,0,0,0,0,1,1000
cc_kernel_gpu_mem,211143,1,1,8,128,16056,0,56,16000,1,1000
cc_kernel_gpu,175,1,1,8,128,56,0,56,0,1,1000
cc_kernel_cpu,67623,0,1,1,168,0,0,0,0,1,1001000
cc_kernel_gpu_mem,229593,1,1,7821,128,16016056,0,56,16016000,1,1001000
cc_kernel_gpu,757,1,1,7821,128,56,0,56,0,1,1001000
cc_kernel_cpu,67017,0,1,1,168,0,0,0,0,1,1002000
cc_kernel_gpu_mem,216985,1,1,7829,128,16032056,0,56,16032000,1,1002000
cc_kernel_gpu,793,1,1,7829,128,56,0,56,0,1,1002000
cc_kernel_cpu,67692,0,1,1,168,0,0,0,0,1,1003000
cc_kernel_gpu_mem,216974,1,1,7836,128,16048056,0,56,16048000,1,1003000
cc_kernel_gpu,753,1,1,7836,128,56,0,56,0,1,1003000
cc_kernel_cpu,67531,0,1,1,168,0,0,0,0,1,1004000
cc_kernel_gpu_mem,217603,1,1,7844,128,16064056,0,56,16064000,1,1004000
cc_kernel_gpu,1523,1,1,7844,128,56,0,56,0,1,1004000
cc_kernel_cpu,66749,0,1,1,168,0,0,0,0,1,1005000
cc_kernel_gpu_mem,217067,1,1,7852,128,16080056,0,56,16080000,1,1005000
cc_kernel_gpu,764,1,1,7852,128,56,0,56,0,1,1005000
cc_kernel_cpu,77643,0,1,1,168,0,0,0,0,1,1006000
cc_kernel_gpu_mem,217579,1,1,7860,128,16096056,0,56,16096000,1,1006000
cc_kernel_gpu,1532,1,1,7860,128,56,0,56,0,1,1006000
cc_kernel_cpu,67639,0,1,1,168,0,0,0,0,1,1007000
cc_kernel_gpu_mem,217886,1,1,7868,128,16112056,0,56,16112000,1,1007000
cc_kernel_gpu,758,1,1,7868,128,56,0,56,0,1,1007000
cc_kernel_cpu,67628,0,1,1,168,0,0,0,0,1,1008000
