kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1
covariance_kernel1_cpu,8490,0,1,1,56,0,0,0,0,1,10000000
covariance_kernel1_cpu,2302,0,1,1,56,0,0,0,0,1,10000000
covariance_kernel2_cpu,3728,0,1,1,56,0,0,0,0,1,10000000
covariance_kernel1_gpu_mem,17251,1,1,78125,128,80000024,0,24,80000000,1,10000000
covariance_kernel1_gpu_mem,25701,1,1,78125,128,80000024,0,24,80000000,1,10000000
covariance_kernel2_gpu_mem,48358,1,1,78125,128,160000040,0,24,160000016,1,10000000
covariance_kernel1_gpu,3220,1,1,78125,128,24,0,24,0,1,10000000
covariance_kernel1_gpu,3213,1,1,78125,128,24,0,24,0,1,10000000
covariance_kernel2_gpu,3348,1,1,78125,128,24,0,24,0,1,10000000
covariance_kernel1_cpu,687,0,1,1,56,0,0,0,0,1,1000000
covariance_kernel1_cpu,285,0,1,1,56,0,0,0,0,1,1000000
covariance_kernel2_cpu,251,0,1,1,56,0,0,0,0,1,1000000
covariance_kernel1_gpu_mem,2987,1,1,7813,128,8000024,0,24,8000000,1,1000000
covariance_kernel1_gpu_mem,3223,1,1,7813,128,8000024,0,24,8000000,1,1000000
covariance_kernel2_gpu_mem,5768,1,1,7813,128,16000040,0,24,16000016,1,1000000
covariance_kernel1_gpu,413,1,1,7813,128,24,0,24,0,1,1000000
covariance_kernel1_gpu,402,1,1,7813,128,24,0,24,0,1,1000000
covariance_kernel2_gpu,435,1,1,7813,128,24,0,24,0,1,1000000
covariance_kernel1_cpu,595,0,1,1,56,0,0,0,0,1,1001000
covariance_kernel1_cpu,238,0,1,1,56,0,0,0,0,1,1001000
covariance_kernel2_cpu,234,0,1,1,56,0,0,0,0,1,1001000
covariance_kernel1_gpu_mem,3246,1,1,7821,128,8008024,0,24,8008000,1,1001000
covariance_kernel1_gpu_mem,3188,1,1,7821,128,8008024,0,24,8008000,1,1001000
covariance_kernel2_gpu_mem,5785,1,1,7821,128,16016040,0,24,16016016,1,1001000
