kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1
covariance_kernel1_cpu,252,0,1,1,168,0,0,0,0,1,1000000,
covariance_kernel2_cpu,130,0,1,1,168,0,0,0,0,1,1000000,
covariance_kernel1_gpu,1489,1,1,7813,128,24,0,24,0,1,1000000,
covariance_kernel2_gpu,1490,1,1,7813,128,24,0,24,0,1,1000000,
covariance_kernel1_gpu_mem,8401,1,1,7813,128,8000024,0,24,8000000,1,1000000,
covariance_kernel2_gpu_mem,13003,1,1,7813,128,16000040,0,24,16000016,1,1000000,
covariance_kernel1_cpu,271,0,1,1,168,0,0,0,0,1,1001000,
covariance_kernel2_cpu,127,0,1,1,168,0,0,0,0,1,1001000,
covariance_kernel1_gpu,716,1,1,7821,128,24,0,24,0,1,1001000,
covariance_kernel2_gpu,720,1,1,7821,128,24,0,24,0,1,1001000,
covariance_kernel1_gpu_mem,7669,1,1,7821,128,8008024,0,24,8008000,1,1001000,
covariance_kernel2_gpu_mem,12257,1,1,7821,128,16016040,0,24,16016016,1,1001000,
covariance_kernel1_cpu,249,0,1,1,168,0,0,0,0,1,1002000,
covariance_kernel2_cpu,137,0,1,1,168,0,0,0,0,1,1002000,
covariance_kernel1_gpu,1495,1,1,7829,128,24,0,24,0,1,1002000,
covariance_kernel2_gpu,1495,1,1,7829,128,24,0,24,0,1,1002000,
covariance_kernel1_gpu_mem,8296,1,1,7829,128,8016024,0,24,8016000,1,1002000,
covariance_kernel2_gpu_mem,13079,1,1,7829,128,16032040,0,24,16032016,1,1002000,
covariance_kernel1_cpu,260,0,1,1,168,0,0,0,0,1,1003000,
covariance_kernel2_cpu,129,0,1,1,168,0,0,0,0,1,1003000,
covariance_kernel1_gpu,1499,1,1,7836,128,24,0,24,0,1,1003000,
covariance_kernel2_gpu,1496,1,1,7836,128,24,0,24,0,1,1003000,
covariance_kernel1_gpu_mem,8342,1,1,7836,128,8024024,0,24,8024000,1,1003000,
covariance_kernel2_gpu_mem,12935,1,1,7836,128,16048040,0,24,16048016,1,1003000,
covariance_kernel1_cpu,243,0,1,1,168,0,0,0,0,1,1004000,
covariance_kernel2_cpu,127,0,1,1,168,0,0,0,0,1,1004000,
covariance_kernel1_gpu,1502,1,1,7844,128,24,0,24,0,1,1004000,
covariance_kernel2_gpu,1504,1,1,7844,128,24,0,24,0,1,1004000,
covariance_kernel1_gpu_mem,8353,1,1,7844,128,8032024,0,24,8032000,1,1004000,
covariance_kernel2_gpu_mem,13165,1,1,7844,128,16064040,0,24,16064016,1,1004000,
covariance_kernel1_cpu,249,0,1,1,168,0,0,0,0,1,1005000,
covariance_kernel2_cpu,129,0,1,1,168,0,0,0,0,1,1005000,
covariance_kernel1_gpu,1492,1,1,7852,128,24,0,24,0,1,1005000,
covariance_kernel2_gpu,1493,1,1,7852,128,24,0,24,0,1,1005000,
covariance_kernel1_gpu_mem,8355,1,1,7852,128,8040024,0,24,8040000,1,1005000,
covariance_kernel2_gpu_mem,13022,1,1,7852,128,16080040,0,24,16080016,1,1005000,
covariance_kernel1_cpu,256,0,1,1,168,0,0,0,0,1,1006000,
covariance_kernel2_cpu,131,0,1,1,168,0,0,0,0,1,1006000,
covariance_kernel1_gpu,1504,1,1,7860,128,24,0,24,0,1,1006000,
covariance_kernel2_gpu,1498,1,1,7860,128,24,0,24,0,1,1006000,
covariance_kernel1_gpu_mem,8378,1,1,7860,128,8048024,0,24,8048000,1,1006000,
covariance_kernel2_gpu_mem,13117,1,1,7860,128,16096040,0,24,16096016,1,1006000,
covariance_kernel1_cpu,402,0,1,1,168,0,0,0,0,1,1007000,
covariance_kernel2_cpu,253,0,1,1,168,0,0,0,0,1,1007000,
covariance_kernel1_gpu,1431,1,1,7868,128,24,0,24,0,1,1007000,
covariance_kernel2_gpu,1441,1,1,7868,128,24,0,24,0,1,1007000,
covariance_kernel1_gpu_mem,6583,1,1,7868,128,8056024,0,24,8056000,1,1007000,
covariance_kernel2_gpu_mem,9640,1,1,7868,128,16112040,0,24,16112016,1,1007000,
covariance_kernel1_cpu,366,0,1,1,168,0,0,0,0,1,1008000,
covariance_kernel2_cpu,250,0,1,1,168,0,0,0,0,1,1008000,
covariance_kernel1_gpu,1504,1,1,7875,128,24,0,24,0,1,1008000,
covariance_kernel2_gpu,1511,1,1,7875,128,24,0,24,0,1,1008000,
covariance_kernel1_gpu_mem,8458,1,1,7875,128,8064024,0,24,8064000,1,1008000,
covariance_kernel2_gpu_mem,13010,1,1,7875,128,16128040,0,24,16128016,1,1008000,
covariance_kernel1_cpu,242,0,1,1,168,0,0,0,0,1,1009000,
covariance_kernel2_cpu,131,0,1,1,168,0,0,0,0,1,1009000,
covariance_kernel1_gpu,1501,1,1,7883,128,24,0,24,0,1,1009000,
covariance_kernel2_gpu,1500,1,1,7883,128,24,0,24,0,1,1009000,
covariance_kernel1_gpu_mem,8403,1,1,7883,128,8072024,0,24,8072000,1,1009000,
covariance_kernel2_gpu_mem,13062,1,1,7883,128,16144040,0,24,16144016,1,1009000,
covariance_kernel1_cpu,372,0,1,1,168,0,0,0,0,1,1010000,
covariance_kernel2_cpu,244,0,1,1,168,0,0,0,0,1,1010000,
covariance_kernel1_gpu,1441,1,1,7891,128,24,0,24,0,1,1010000,
covariance_kernel2_gpu,1441,1,1,7891,128,24,0,24,0,1,1010000,
covariance_kernel1_gpu_mem,6514,1,1,7891,128,8080024,0,24,8080000,1,1010000,
covariance_kernel2_gpu_mem,9670,1,1,7891,128,16160040,0,24,16160016,1,1010000,
covariance_kernel1_cpu,265,0,1,1,168,0,0,0,0,1,1011000,
covariance_kernel2_cpu,136,0,1,1,168,0,0,0,0,1,1011000,
covariance_kernel1_gpu,1502,1,1,7899,128,24,0,24,0,1,1011000,
covariance_kernel2_gpu,1503,1,1,7899,128,24,0,24,0,1,1011000,
covariance_kernel1_gpu_mem,8525,1,1,7899,128,8088024,0,24,8088000,1,1011000,
covariance_kernel2_gpu_mem,12928,1,1,7899,128,16176040,0,24,16176016,1,1011000,
covariance_kernel1_cpu,251,0,1,1,168,0,0,0,0,1,1012000,
covariance_kernel2_cpu,128,0,1,1,168,0,0,0,0,1,1012000,
covariance_kernel1_gpu,1439,1,1,7907,128,24,0,24,0,1,1012000,
covariance_kernel2_gpu,1451,1,1,7907,128,24,0,24,0,1,1012000,
covariance_kernel1_gpu_mem,6565,1,1,7907,128,8096024,0,24,8096000,1,1012000,
covariance_kernel2_gpu_mem,9567,1,1,7907,128,16192040,0,24,16192016,1,1012000,
covariance_kernel1_cpu,253,0,1,1,168,0,0,0,0,1,1013000,
covariance_kernel2_cpu,135,0,1,1,168,0,0,0,0,1,1013000,
covariance_kernel1_gpu,1510,1,1,7915,128,24,0,24,0,1,1013000,
covariance_kernel2_gpu,1510,1,1,7915,128,24,0,24,0,1,1013000,
covariance_kernel1_gpu_mem,8465,1,1,7915,128,8104024,0,24,8104000,1,1013000,
covariance_kernel2_gpu_mem,13035,1,1,7915,128,16208040,0,24,16208016,1,1013000,
covariance_kernel1_cpu,380,0,1,1,168,0,0,0,0,1,1014000,
covariance_kernel2_cpu,246,0,1,1,168,0,0,0,0,1,1014000,
covariance_kernel1_gpu,1442,1,1,7922,128,24,0,24,0,1,1014000,
covariance_kernel2_gpu,1442,1,1,7922,128,24,0,24,0,1,1014000,
covariance_kernel1_gpu_mem,6460,1,1,7922,128,8112024,0,24,8112000,1,1014000,
covariance_kernel2_gpu_mem,9645,1,1,7922,128,16224040,0,24,16224016,1,1014000,
covariance_kernel1_cpu,256,0,1,1,168,0,0,0,0,1,1015000,
covariance_kernel2_cpu,130,0,1,1,168,0,0,0,0,1,1015000,
covariance_kernel1_gpu,1509,1,1,7930,128,24,0,24,0,1,1015000,
covariance_kernel2_gpu,1510,1,1,7930,128,24,0,24,0,1,1015000,
covariance_kernel1_gpu_mem,8450,1,1,7930,128,8120024,0,24,8120000,1,1015000,
covariance_kernel2_gpu_mem,13167,1,1,7930,128,16240040,0,24,16240016,1,1015000,
