kernel,runtime,gpu,collapse,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1
gauss_kernel_cpu,96224,0,1,0,0,0,0,1,1024
gauss_kernel_cpu,546,0,1,0,0,0,0,1,1024
gauss_kernel_cpu,620,0,1,0,0,0,0,1,1024
gauss_kernel_cpu,559,0,1,0,0,0,0,1,1024
gauss_kernel_cpu,548,0,1,0,0,0,0,1,1024
gauss_kernel_cpu,540,0,1,0,0,0,0,1,1024
gauss_kernel_cpu,539,0,1,0,0,0,0,1,1024
gauss_kernel_cpu,513,0,1,0,0,0,0,1,1024
gauss_kernel_cpu,539,0,1,0,0,0,0,1,1024
gauss_kernel_cpu,502,0,1,0,0,0,0,1,1024
gauss_kernel_cpu,497,0,1,0,0,0,0,1,1024
gauss_kernel_cpu,545,0,1,0,0,0,0,1,1024
gauss_kernel_cpu,497,0,1,0,0,0,0,1,1024
gauss_kernel_cpu_collapse,781,0,2,0,0,0,0,1,1024
gauss_kernel_cpu_collapse,766,0,2,0,0,0,0,1,1024
gauss_kernel_cpu_collapse,741,0,2,0,0,0,0,1,1024
gauss_kernel_cpu_collapse,725,0,2,0,0,0,0,1,1024
gauss_kernel_cpu_collapse,660,0,2,0,0,0,0,1,1024
gauss_kernel_cpu_collapse,708,0,2,0,0,0,0,1,1024
gauss_kernel_cpu_collapse,646,0,2,0,0,0,0,1,1024
gauss_kernel_cpu_collapse,643,0,2,0,0,0,0,1,1024
gauss_kernel_cpu_collapse,655,0,2,0,0,0,0,1,1024
gauss_kernel_cpu_collapse,663,0,2,0,0,0,0,1,1024
gauss_kernel_cpu_collapse,634,0,2,0,0,0,0,1,1024
gauss_kernel_cpu_collapse,663,0,2,0,0,0,0,1,1024
gauss_kernel_cpu_collapse,653,0,2,0,0,0,0,1,1024
gauss_kernel_gpu_mem,10352,1,1,8388612,0,8388612,8388608,1,1024
gauss_kernel_gpu_mem,6798,1,1,8388612,0,8388612,8388608,1,1024
gauss_kernel_gpu_mem,6671,1,1,8388612,0,8388612,8388608,1,1024
gauss_kernel_gpu_mem,6620,1,1,8388612,0,8388612,8388608,1,1024
gauss_kernel_gpu_mem,6574,1,1,8388612,0,8388612,8388608,1,1024
gauss_kernel_gpu_mem,6565,1,1,8388612,0,8388612,8388608,1,1024
gauss_kernel_gpu_mem,6565,1,1,8388612,0,8388612,8388608,1,1024
gauss_kernel_gpu_mem,6549,1,1,8388612,0,8388612,8388608,1,1024
gauss_kernel_gpu_mem,6549,1,1,8388612,0,8388612,8388608,1,1024
gauss_kernel_gpu_mem,6550,1,1,8388612,0,8388612,8388608,1,1024
gauss_kernel_gpu_mem,6556,1,1,8388612,0,8388612,8388608,1,1024
gauss_kernel_gpu_mem,6529,1,1,8388612,0,8388612,8388608,1,1024
gauss_kernel_gpu_mem,6552,1,1,8388612,0,8388612,8388608,1,1024
gauss_kernel_gpu_collapse_mem,9236,1,2,8388612,0,8388612,8388608,1,1024
gauss_kernel_gpu_collapse_mem,7675,1,2,8388612,0,8388612,8388608,1,1024
gauss_kernel_gpu_collapse_mem,7531,1,2,8388612,0,8388612,8388608,1,1024
gauss_kernel_gpu_collapse_mem,7490,1,2,8388612,0,8388612,8388608,1,1024
gauss_kernel_gpu_collapse_mem,7483,1,2,8388612,0,8388612,8388608,1,1024
gauss_kernel_gpu_collapse_mem,7471,1,2,8388612,0,8388612,8388608,1,1024
gauss_kernel_gpu_collapse_mem,7448,1,2,8388612,0,8388612,8388608,1,1024
gauss_kernel_gpu_collapse_mem,7465,1,2,8388612,0,8388612,8388608,1,1024
gauss_kernel_gpu_collapse_mem,7486,1,2,8388612,0,8388612,8388608,1,1024
gauss_kernel_gpu_collapse_mem,7450,1,2,8388612,0,8388612,8388608,1,1024
gauss_kernel_gpu_collapse_mem,7462,1,2,8388612,0,8388612,8388608,1,1024
gauss_kernel_gpu_collapse_mem,7462,1,2,8388612,0,8388612,8388608,1,1024
gauss_kernel_gpu_collapse_mem,7437,1,2,8388612,0,8388612,8388608,1,1024
gauss_kernel_gpu,577,1,1,4,0,4,0,1,1024
gauss_kernel_gpu,544,1,1,4,0,4,0,1,1024
gauss_kernel_gpu,540,1,1,4,0,4,0,1,1024
gauss_kernel_gpu,535,1,1,4,0,4,0,1,1024
gauss_kernel_gpu,549,1,1,4,0,4,0,1,1024
gauss_kernel_gpu,538,1,1,4,0,4,0,1,1024
gauss_kernel_gpu,537,1,1,4,0,4,0,1,1024
gauss_kernel_gpu,534,1,1,4,0,4,0,1,1024
gauss_kernel_gpu,534,1,1,4,0,4,0,1,1024
gauss_kernel_gpu,537,1,1,4,0,4,0,1,1024
gauss_kernel_gpu,519,1,1,4,0,4,0,1,1024
gauss_kernel_gpu,490,1,1,4,0,4,0,1,1024
gauss_kernel_gpu,496,1,1,4,0,4,0,1,1024
gauss_kernel_gpu_collapse,1404,1,2,4,0,4,0,1,1024
gauss_kernel_gpu_collapse,1389,1,2,4,0,4,0,1,1024
gauss_kernel_gpu_collapse,1384,1,2,4,0,4,0,1,1024
gauss_kernel_gpu_collapse,1381,1,2,4,0,4,0,1,1024
gauss_kernel_gpu_collapse,1379,1,2,4,0,4,0,1,1024
gauss_kernel_gpu_collapse,1377,1,2,4,0,4,0,1,1024
gauss_kernel_gpu_collapse,1377,1,2,4,0,4,0,1,1024
gauss_kernel_gpu_collapse,1372,1,2,4,0,4,0,1,1024
gauss_kernel_gpu_collapse,1381,1,2,4,0,4,0,1,1024
gauss_kernel_gpu_collapse,1375,1,2,4,0,4,0,1,1024
gauss_kernel_gpu_collapse,1378,1,2,4,0,4,0,1,1024
