kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1,N2
laplace_kernel1_cpu,42550,0,1,1,48,0,0,0,0,2,1088,64
laplace_kernel2_cpu,116,0,1,1,48,0,0,0,0,2,1088,64
laplace_kernel1_cpu,221,0,1,1,48,0,0,0,0,2,1088,64
laplace_kernel2_cpu,143,0,1,1,48,0,0,0,0,2,1088,64
laplace_kernel1_cpu,274,0,1,1,48,0,0,0,0,2,1088,64
laplace_kernel2_cpu,154,0,1,1,48,0,0,0,0,2,1088,64
laplace_kernel1_cpu,258,0,1,1,48,0,0,0,0,2,1088,64
laplace_kernel2_cpu,161,0,1,1,48,0,0,0,0,2,1088,64
laplace_kernel1_cpu,225,0,1,1,48,0,0,0,0,2,1088,64
laplace_kernel2_cpu,142,0,1,1,48,0,0,0,0,2,1088,64
laplace_kernel1_cpu,327,0,1,1,48,0,0,0,0,2,1088,64
laplace_kernel2_cpu,113,0,1,1,48,0,0,0,0,2,1088,64
laplace_kernel1_cpu,267,0,1,1,48,0,0,0,0,2,1088,64
laplace_kernel2_cpu,104,0,1,1,48,0,0,0,0,2,1088,64
laplace_kernel1_cpu,322,0,1,1,48,0,0,0,0,2,1088,64
laplace_kernel2_cpu,143,0,1,1,48,0,0,0,0,2,1088,64
laplace_kernel1_cpu,288,0,1,1,48,0,0,0,0,2,1088,64
laplace_kernel2_cpu,104,0,1,1,48,0,0,0,0,2,1088,64
laplace_kernel1_cpu,262,0,1,1,48,0,0,0,0,2,1088,64
laplace_kernel2_cpu,81,0,1,1,48,0,0,0,0,2,1088,64
laplace_kernel1_cpu,284,0,1,1,48,0,0,0,0,2,1088,64
laplace_kernel2_cpu,95,0,1,1,48,0,0,0,0,2,1088,64
laplace_kernel1_cpu,227,0,1,1,48,0,0,0,0,2,1088,64
laplace_kernel2_cpu,95,0,1,1,48,0,0,0,0,2,1088,64
laplace_kernel1_cpu,225,0,1,1,48,0,0,0,0,2,1088,64
laplace_kernel2_cpu,96,0,1,1,48,0,0,0,0,2,1088,64
laplace_kernel1_cpu,207,0,1,1,48,0,0,0,0,2,1088,64
laplace_kernel2_cpu,95,0,1,1,48,0,0,0,0,2,1088,64
laplace_kernel1_cpu,263,0,1,1,48,0,0,0,0,2,1088,64
laplace_kernel2_cpu,62,0,1,1,48,0,0,0,0,2,1088,64
laplace_kernel1_cpu,247,0,1,1,48,0,0,0,0,2,1088,64
laplace_kernel2_cpu,96,0,1,1,48,0,0,0,0,2,1088,64
laplace_kernel1_cpu,211,0,1,1,48,0,0,0,0,2,1088,64
laplace_kernel2_cpu,99,0,1,1,48,0,0,0,0,2,1088,64
laplace_kernel1_cpu,249,0,1,1,48,0,0,0,0,2,1088,64
laplace_kernel2_cpu,104,0,1,1,48,0,0,0,0,2,1088,64
laplace_kernel1_cpu,190,0,1,1,48,0,0,0,0,2,1088,64
laplace_kernel2_cpu,83,0,1,1,48,0,0,0,0,2,1088,64
laplace_kernel1_cpu,196,0,1,1,48,0,0,0,0,2,1088,64
laplace_kernel2_cpu,96,0,1,1,48,0,0,0,0,2,1088,64
laplace_kernel1_cpu_collapse,345,0,2,1,48,0,0,0,0,2,1088,64
laplace_kernel2_cpu_collapse,112,0,2,1,48,0,0,0,0,2,1088,64
laplace_kernel1_cpu_collapse,168,0,2,1,48,0,0,0,0,2,1088,64
laplace_kernel2_cpu_collapse,103,0,2,1,48,0,0,0,0,2,1088,64
laplace_kernel1_cpu_collapse,243,0,2,1,48,0,0,0,0,2,1088,64
laplace_kernel2_cpu_collapse,105,0,2,1,48,0,0,0,0,2,1088,64
laplace_kernel1_cpu_collapse,181,0,2,1,48,0,0,0,0,2,1088,64
laplace_kernel2_cpu_collapse,134,0,2,1,48,0,0,0,0,2,1088,64
laplace_kernel1_cpu_collapse,270,0,2,1,48,0,0,0,0,2,1088,64
laplace_kernel2_cpu_collapse,103,0,2,1,48,0,0,0,0,2,1088,64
laplace_kernel1_cpu_collapse,185,0,2,1,48,0,0,0,0,2,1088,64
laplace_kernel2_cpu_collapse,146,0,2,1,48,0,0,0,0,2,1088,64
laplace_kernel1_cpu_collapse,204,0,2,1,48,0,0,0,0,2,1088,64
laplace_kernel2_cpu_collapse,111,0,2,1,48,0,0,0,0,2,1088,64
laplace_kernel1_cpu_collapse,211,0,2,1,48,0,0,0,0,2,1088,64
laplace_kernel2_cpu_collapse,104,0,2,1,48,0,0,0,0,2,1088,64
laplace_kernel1_cpu_collapse,236,0,2,1,48,0,0,0,0,2,1088,64
laplace_kernel2_cpu_collapse,1651,0,2,1,48,0,0,0,0,2,1088,64
laplace_kernel1_cpu_collapse,224,0,2,1,48,0,0,0,0,2,1088,64
laplace_kernel2_cpu_collapse,107,0,2,1,48,0,0,0,0,2,1088,64
laplace_kernel1_cpu_collapse,228,0,2,1,48,0,0,0,0,2,1088,64
laplace_kernel2_cpu_collapse,122,0,2,1,48,0,0,0,0,2,1088,64
laplace_kernel1_cpu_collapse,225,0,2,1,48,0,0,0,0,2,1088,64
laplace_kernel2_cpu_collapse,149,0,2,1,48,0,0,0,0,2,1088,64
laplace_kernel1_cpu_collapse,296,0,2,1,48,0,0,0,0,2,1088,64
laplace_kernel2_cpu_collapse,107,0,2,1,48,0,0,0,0,2,1088,64
laplace_kernel1_cpu_collapse,285,0,2,1,48,0,0,0,0,2,1088,64
laplace_kernel2_cpu_collapse,103,0,2,1,48,0,0,0,0,2,1088,64
laplace_kernel1_cpu_collapse,295,0,2,1,48,0,0,0,0,2,1088,64
laplace_kernel2_cpu_collapse,150,0,2,1,48,0,0,0,0,2,1088,64
laplace_kernel1_cpu_collapse,257,0,2,1,48,0,0,0,0,2,1088,64
laplace_kernel2_cpu_collapse,120,0,2,1,48,0,0,0,0,2,1088,64
