kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1,N2,
laplace_kernel1_cpu,242,0,1,1,128,0,0,0,0,2,64,64,
laplace_kernel2_cpu,123,0,1,1,128,0,0,0,0,2,64,64,
laplace_kernel1_cpu_collapse,234,0,2,1,128,0,0,0,0,2,64,64,
laplace_kernel2_cpu_collapse,114,0,2,1,128,0,0,0,0,2,64,64,
laplace_kernel1_gpu,63,1,1,1,128,0,0,0,0,2,64,64,
laplace_kernel2_gpu,38,1,1,1,128,0,0,0,0,2,64,64,
laplace_kernel1_gpu_collapse,54,1,2,32,128,0,0,0,0,2,64,64,
laplace_kernel2_gpu_collapse,38,1,2,32,128,0,0,0,0,2,64,64,
laplace_kernel1_gpu_mem,94,1,1,1,128,32768,32768,32768,65536,2,64,64,
laplace_kernel2_gpu_mem,83,1,1,1,128,32768,0,32768,65536,2,64,64,
laplace_kernel1_gpu_collapse_mem,85,1,2,32,128,32768,32768,32768,65536,2,64,64,
laplace_kernel2_gpu_collapse_mem,71,1,2,32,128,32768,0,32768,65536,2,64,64,
laplace_kernel1_cpu,239,0,1,1,128,0,0,0,0,2,64,320,
laplace_kernel2_cpu,127,0,1,1,128,0,0,0,0,2,64,320,
laplace_kernel1_cpu_collapse,253,0,2,1,128,0,0,0,0,2,64,320,
laplace_kernel2_cpu_collapse,116,0,2,1,128,0,0,0,0,2,64,320,
laplace_kernel1_gpu,144,1,1,1,128,0,0,0,0,2,64,320,
laplace_kernel2_gpu,118,1,1,1,128,0,0,0,0,2,64,320,
laplace_kernel1_gpu_collapse,56,1,2,160,128,0,0,0,0,2,64,320,
laplace_kernel2_gpu_collapse,36,1,2,160,128,0,0,0,0,2,64,320,
laplace_kernel1_gpu_mem,183,1,1,1,128,163840,163840,163840,327680,2,64,320,
laplace_kernel2_gpu_mem,131,1,1,1,128,163840,0,163840,327680,2,64,320,
laplace_kernel1_gpu_collapse_mem,93,1,2,160,128,163840,163840,163840,327680,2,64,320,
laplace_kernel2_gpu_collapse_mem,86,1,2,160,128,163840,0,163840,327680,2,64,320,
