kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1,N2,N3
mm_kernel_cpu,40920183,0,1,1,80,0,0,0,0,3,10000,10000,10000
mm_kernel_cpu_collapse,46540172,0,2,1,80,0,0,0,0,3,10000,10000,10000
mm_kernel_gpu_mem,29213011,1,1,79,128,1600000008,800000000,800000008,2400000000,3,10000,10000,10000
mm_kernel_gpu_mem,6308190,1,2,781250,128,1600000008,800000000,800000008,2400000000,3,10000,10000,10000
mm_kernel_gpu,24293994,1,1,79,128,8,0,8,0,3,10000,10000,10000
mm_kernel_gpu_collapse,6083322,1,2,781250,128,8,0,8,0,3,10000,10000,10000
mm_kernel_cpu,943915,0,1,1,80,0,0,0,0,3,10000,10000,1000
mm_kernel_cpu_collapse,920372,0,2,1,80,0,0,0,0,3,10000,10000,1000
mm_kernel_gpu_mem,2853901,1,1,79,128,880000008,80000000,80000008,960000000,3,10000,10000,1000
mm_kernel_gpu_mem,706434,1,2,78125,128,880000008,80000000,80000008,960000000,3,10000,10000,1000
mm_kernel_gpu,2433200,1,1,79,128,8,0,8,0,3,10000,10000,1000
mm_kernel_gpu_collapse,618181,1,2,78125,128,8,0,8,0,3,10000,10000,1000
mm_kernel_cpu,2007001,0,1,1,80,0,0,0,0,3,10000,10000,2000
mm_kernel_cpu_collapse,1954899,0,2,1,80,0,0,0,0,3,10000,10000,2000
mm_kernel_gpu_mem,5571418,1,1,79,128,960000008,160000000,160000008,1120000000,3,10000,10000,2000
mm_kernel_gpu_mem,1221368,1,2,156250,128,960000008,160000000,160000008,1120000000,3,10000,10000,2000
mm_kernel_gpu,4745909,1,1,79,128,8,0,8,0,3,10000,10000,2000
mm_kernel_gpu_collapse,1138076,1,2,156250,128,8,0,8,0,3,10000,10000,2000
mm_kernel_cpu,3894714,0,1,1,80,0,0,0,0,3,10000,10000,3000
mm_kernel_cpu_collapse,3797866,0,2,1,80,0,0,0,0,3,10000,10000,3000
mm_kernel_gpu_mem,8349535,1,1,79,128,1040000008,240000000,240000008,1280000000,3,10000,10000,3000
mm_kernel_gpu_mem,1974777,1,2,234375,128,1040000008,240000000,240000008,1280000000,3,10000,10000,3000
mm_kernel_gpu,7322532,1,1,79,128,8,0,8,0,3,10000,10000,3000
