kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1,N2,N3
mm_kernel_cpu,107613398,0,1,1,28,0,0,0,0,3,10000,10000,10000
mm_kernel_cpu_collapse,107466178,0,2,1,28,0,0,0,0,3,10000,10000,10000
mm_kernel_gpu_mem,303029413,1,1,79,128,1600000000,800000000,800000000,2400000000,3,10000,10000,10000
mm_kernel_gpu_mem,47508999,1,2,781250,128,1600000000,800000000,800000000,2400000000,3,10000,10000,10000
mm_kernel_gpu,302672636,1,1,79,128,0,0,0,0,3,10000,10000,10000
mm_kernel_gpu_collapse,46990703,1,2,781250,128,0,0,0,0,3,10000,10000,10000
mm_kernel_cpu,11113851,0,1,1,28,0,0,0,0,3,10000,10000,1000
mm_kernel_cpu_collapse,11064870,0,2,1,28,0,0,0,0,3,10000,10000,1000
mm_kernel_gpu_mem,29805446,1,1,79,128,880000000,80000000,80000000,960000000,3,10000,10000,1000
mm_kernel_gpu_mem,5194490,1,2,78125,128,880000000,80000000,80000000,960000000,3,10000,10000,1000
mm_kernel_gpu,29603737,1,1,79,128,0,0,0,0,3,10000,10000,1000
mm_kernel_gpu_collapse,5033215,1,2,78125,128,0,0,0,0,3,10000,10000,1000
mm_kernel_cpu,21610426,0,1,1,28,0,0,0,0,3,10000,10000,2000
mm_kernel_cpu_collapse,21644823,0,2,1,28,0,0,0,0,3,10000,10000,2000
mm_kernel_gpu_mem,59721416,1,1,79,128,960000000,160000000,160000000,1120000000,3,10000,10000,2000
mm_kernel_gpu_mem,9605252,1,2,156250,128,960000000,160000000,160000000,1120000000,3,10000,10000,2000
mm_kernel_gpu,59485394,1,1,79,128,0,0,0,0,3,10000,10000,2000
mm_kernel_gpu_collapse,9383039,1,2,156250,128,0,0,0,0,3,10000,10000,2000
mm_kernel_cpu,33200621,0,1,1,28,0,0,0,0,3,10000,10000,3000
mm_kernel_cpu_collapse,33155791,0,2,1,28,0,0,0,0,3,10000,10000,3000
mm_kernel_gpu_mem,89711913,1,1,79,128,1040000000,240000000,240000000,1280000000,3,10000,10000,3000
mm_kernel_gpu_mem,15639214,1,2,234375,128,1040000000,240000000,240000000,1280000000,3,10000,10000,3000
mm_kernel_gpu,89484025,1,1,79,128,0,0,0,0,3,10000,10000,3000
mm_kernel_gpu_collapse,15373076,1,2,234375,128,0,0,0,0,3,10000,10000,3000
mm_kernel_cpu,42440800,0,1,1,28,0,0,0,0,3,10000,10000,4000
mm_kernel_cpu_collapse,42322331,0,2,1,28,0,0,0,0,3,10000,10000,4000
mm_kernel_gpu_mem,119716077,1,1,79,128,1120000000,320000000,320000000,1440000000,3,10000,10000,4000
mm_kernel_gpu_mem,19178762,1,2,312500,128,1120000000,320000000,320000000,1440000000,3,10000,10000,4000
mm_kernel_gpu,119466164,1,1,79,128,0,0,0,0,3,10000,10000,4000
mm_kernel_gpu_collapse,18891379,1,2,312500,128,0,0,0,0,3,10000,10000,4000
mm_kernel_cpu,55337257,0,1,1,28,0,0,0,0,3,10000,10000,5000
mm_kernel_cpu_collapse,55144243,0,2,1,28,0,0,0,0,3,10000,10000,5000
mm_kernel_gpu_mem,149736779,1,1,79,128,1200000000,400000000,400000000,1600000000,3,10000,10000,5000
mm_kernel_gpu_mem,25354326,1,2,390625,128,1200000000,400000000,400000000,1600000000,3,10000,10000,5000
mm_kernel_gpu,149363830,1,1,79,128,0,0,0,0,3,10000,10000,5000
mm_kernel_gpu_collapse,25011075,1,2,390625,128,0,0,0,0,3,10000,10000,5000
mm_kernel_cpu,64873925,0,1,1,28,0,0,0,0,3,10000,10000,6000
mm_kernel_cpu_collapse,64724733,0,2,1,28,0,0,0,0,3,10000,10000,6000
mm_kernel_gpu_mem,179643680,1,1,79,128,1280000000,480000000,480000000,1760000000,3,10000,10000,6000
mm_kernel_gpu_mem,28634076,1,2,468750,128,1280000000,480000000,480000000,1760000000,3,10000,10000,6000
mm_kernel_gpu,179470581,1,1,79,128,0,0,0,0,3,10000,10000,6000
mm_kernel_gpu_collapse,28222543,1,2,468750,128,0,0,0,0,3,10000,10000,6000
mm_kernel_cpu,77246962,0,1,1,28,0,0,0,0,3,10000,10000,7000
mm_kernel_cpu_collapse,77193035,0,2,1,28,0,0,0,0,3,10000,10000,7000
mm_kernel_gpu_mem,209803455,1,1,79,128,1360000000,560000000,560000000,1920000000,3,10000,10000,7000
mm_kernel_gpu_mem,35440341,1,2,546875,128,1360000000,560000000,560000000,1920000000,3,10000,10000,7000
mm_kernel_gpu,209334687,1,1,79,128,0,0,0,0,3,10000,10000,7000
mm_kernel_gpu_collapse,35030381,1,2,546875,128,0,0,0,0,3,10000,10000,7000
mm_kernel_cpu,83892148,0,1,1,28,0,0,0,0,3,10000,10000,8000
mm_kernel_cpu_collapse,83802827,0,2,1,28,0,0,0,0,3,10000,10000,8000
mm_kernel_gpu_mem,239671887,1,1,79,128,1440000000,640000000,640000000,2080000000,3,10000,10000,8000
mm_kernel_gpu_mem,38267215,1,2,625000,128,1440000000,640000000,640000000,2080000000,3,10000,10000,8000
mm_kernel_gpu,239188034,1,1,79,128,0,0,0,0,3,10000,10000,8000
mm_kernel_gpu_collapse,37780189,1,2,625000,128,0,0,0,0,3,10000,10000,8000
mm_kernel_cpu,99050661,0,1,1,28,0,0,0,0,3,10000,10000,9000
mm_kernel_cpu_collapse,99287188,0,2,1,28,0,0,0,0,3,10000,10000,9000
mm_kernel_gpu_mem,269629306,1,1,79,128,1520000000,720000000,720000000,2240000000,3,10000,10000,9000
mm_kernel_gpu_mem,45628139,1,2,703125,128,1520000000,720000000,720000000,2240000000,3,10000,10000,9000
mm_kernel_gpu,269848726,1,1,79,128,0,0,0,0,3,10000,10000,9000
mm_kernel_gpu_collapse,45186419,1,2,703125,128,0,0,0,0,3,10000,10000,9000
mm_kernel_cpu,4592736,0,1,1,28,0,0,0,0,3,10000,1000,10000
mm_kernel_cpu_collapse,4469449,0,2,1,28,0,0,0,0,3,10000,1000,10000
mm_kernel_gpu_mem,24376218,1,1,79,128,160000000,800000000,800000000,960000000,3,10000,1000,10000
mm_kernel_gpu_mem,4842487,1,2,781250,128,160000000,800000000,800000000,960000000,3,10000,1000,10000
mm_kernel_gpu,24034978,1,1,79,128,0,0,0,0,3,10000,1000,10000
mm_kernel_gpu_collapse,4653680,1,2,781250,128,0,0,0,0,3,10000,1000,10000
mm_kernel_cpu,591253,0,1,1,28,0,0,0,0,3,10000,1000,1000
mm_kernel_cpu_collapse,481355,0,2,1,28,0,0,0,0,3,10000,1000,1000
mm_kernel_gpu_mem,2578502,1,1,79,128,88000000,80000000,80000000,168000000,3,10000,1000,1000
mm_kernel_gpu_mem,449448,1,2,78125,128,88000000,80000000,80000000,168000000,3,10000,1000,1000
mm_kernel_gpu,2388890,1,1,79,128,0,0,0,0,3,10000,1000,1000
mm_kernel_gpu_collapse,419698,1,2,78125,128,0,0,0,0,3,10000,1000,1000
mm_kernel_cpu,1121209,0,1,1,28,0,0,0,0,3,10000,1000,2000
mm_kernel_cpu_collapse,961985,0,2,1,28,0,0,0,0,3,10000,1000,2000
mm_kernel_gpu_mem,4997378,1,1,79,128,96000000,160000000,160000000,256000000,3,10000,1000,2000
mm_kernel_gpu_mem,961616,1,2,156250,128,96000000,160000000,160000000,256000000,3,10000,1000,2000
mm_kernel_gpu,4787651,1,1,79,128,0,0,0,0,3,10000,1000,2000
mm_kernel_gpu_collapse,903103,1,2,156250,128,0,0,0,0,3,10000,1000,2000
mm_kernel_cpu,1594452,0,1,1,28,0,0,0,0,3,10000,1000,3000
mm_kernel_cpu_collapse,1469801,0,2,1,28,0,0,0,0,3,10000,1000,3000
mm_kernel_gpu_mem,7424960,1,1,79,128,104000000,240000000,240000000,344000000,3,10000,1000,3000
mm_kernel_gpu_mem,1579779,1,2,234375,128,104000000,240000000,240000000,344000000,3,10000,1000,3000
mm_kernel_gpu,7187979,1,1,79,128,0,0,0,0,3,10000,1000,3000
mm_kernel_gpu_collapse,1500380,1,2,234375,128,0,0,0,0,3,10000,1000,3000
mm_kernel_cpu,2585325,0,1,1,28,0,0,0,0,3,10000,1000,4000
mm_kernel_cpu_collapse,2476601,0,2,1,28,0,0,0,0,3,10000,1000,4000
mm_kernel_gpu_mem,9852471,1,1,79,128,112000000,320000000,320000000,432000000,3,10000,1000,4000
mm_kernel_gpu_mem,1954307,1,2,312500,128,112000000,320000000,320000000,432000000,3,10000,1000,4000
mm_kernel_gpu,9593189,1,1,79,128,0,0,0,0,3,10000,1000,4000
mm_kernel_gpu_collapse,1868069,1,2,312500,128,0,0,0,0,3,10000,1000,4000
mm_kernel_cpu,2482318,0,1,1,28,0,0,0,0,3,10000,1000,5000
mm_kernel_cpu_collapse,2290780,0,2,1,28,0,0,0,0,3,10000,1000,5000
mm_kernel_gpu_mem,12243796,1,1,79,128,120000000,400000000,400000000,520000000,3,10000,1000,5000
mm_kernel_gpu_mem,2561774,1,2,390625,128,120000000,400000000,400000000,520000000,3,10000,1000,5000
