kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1,N2,N3
mm_kernel_cpu,372927619,0,1,1,40,0,0,0,0,3,10000,10000,10000
mm_kernel_cpu_collapse,396214459,0,2,1,40,0,0,0,0,3,10000,10000,10000
mm_kernel_gpu_mem,75710596,1,1,79,128,1600000008,800000000,800000008,2400000000,3,10000,10000,10000
mm_kernel_gpu_mem,19787941,1,2,65536,128,1600000008,800000000,800000008,2400000000,3,10000,10000,10000
mm_kernel_gpu,75134594,1,1,79,128,8,0,8,0,3,10000,10000,10000
mm_kernel_gpu_collapse,19018922,1,2,65536,128,8,0,8,0,3,10000,10000,10000
mm_kernel_cpu,27177308,0,1,1,40,0,0,0,0,3,10000,10000,1000
mm_kernel_cpu_collapse,27870403,0,2,1,40,0,0,0,0,3,10000,10000,1000
mm_kernel_gpu_mem,7438267,1,1,79,128,880000008,80000000,80000008,960000000,3,10000,10000,1000
mm_kernel_gpu_mem,1957075,1,2,65536,128,880000008,80000000,80000008,960000000,3,10000,10000,1000
mm_kernel_gpu,7250987,1,1,79,128,8,0,8,0,3,10000,10000,1000
mm_kernel_gpu_collapse,1816741,1,2,65536,128,8,0,8,0,3,10000,10000,1000
mm_kernel_cpu,58863707,0,1,1,40,0,0,0,0,3,10000,10000,2000
mm_kernel_cpu_collapse,57467650,0,2,1,40,0,0,0,0,3,10000,10000,2000
mm_kernel_gpu_mem,14695342,1,1,79,128,960000008,160000000,160000008,1120000000,3,10000,10000,2000
mm_kernel_gpu_mem,3896810,1,2,65536,128,960000008,160000000,160000008,1120000000,3,10000,10000,2000
mm_kernel_gpu,14516931,1,1,79,128,8,0,8,0,3,10000,10000,2000
mm_kernel_gpu_collapse,3763624,1,2,65536,128,8,0,8,0,3,10000,10000,2000
mm_kernel_cpu,92521942,0,1,1,40,0,0,0,0,3,10000,10000,3000
mm_kernel_cpu_collapse,88885815,0,2,1,40,0,0,0,0,3,10000,10000,3000
mm_kernel_gpu_mem,22555422,1,1,79,128,1040000008,240000000,240000008,1280000000,3,10000,10000,3000
mm_kernel_gpu_mem,5908685,1,2,65536,128,1040000008,240000000,240000008,1280000000,3,10000,10000,3000
mm_kernel_gpu,22309258,1,1,79,128,8,0,8,0,3,10000,10000,3000
mm_kernel_gpu_collapse,5687281,1,2,65536,128,8,0,8,0,3,10000,10000,3000
mm_kernel_cpu,129838505,0,1,1,40,0,0,0,0,3,10000,10000,4000
mm_kernel_cpu_collapse,128710798,0,2,1,40,0,0,0,0,3,10000,10000,4000
mm_kernel_gpu_mem,30154418,1,1,79,128,1120000008,320000000,320000008,1440000000,3,10000,10000,4000
mm_kernel_gpu_mem,7759005,1,2,65536,128,1120000008,320000000,320000008,1440000000,3,10000,10000,4000
mm_kernel_gpu,29831487,1,1,79,128,8,0,8,0,3,10000,10000,4000
mm_kernel_gpu_collapse,7499070,1,2,65536,128,8,0,8,0,3,10000,10000,4000
mm_kernel_cpu,166273599,0,1,1,40,0,0,0,0,3,10000,10000,5000
mm_kernel_cpu_collapse,162813731,0,2,1,40,0,0,0,0,3,10000,10000,5000
mm_kernel_gpu_mem,37615522,1,1,79,128,1200000008,400000000,400000008,1600000000,3,10000,10000,5000
mm_kernel_gpu_mem,9950240,1,2,65536,128,1200000008,400000000,400000008,1600000000,3,10000,10000,5000
mm_kernel_gpu,37347309,1,1,79,128,8,0,8,0,3,10000,10000,5000
mm_kernel_gpu_collapse,9468282,1,2,65536,128,8,0,8,0,3,10000,10000,5000
mm_kernel_cpu,201906452,0,1,1,40,0,0,0,0,3,10000,10000,6000
mm_kernel_cpu_collapse,198587552,0,2,1,40,0,0,0,0,3,10000,10000,6000
mm_kernel_gpu_mem,45220215,1,1,79,128,1280000008,480000000,480000008,1760000000,3,10000,10000,6000
