kernel,runtime,gpu,collapse,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1,N2,N3
mm_kernel_cpu,9860166,0,1,0,0,0,0,3,1000,10000,10000
mm_kernel_cpu_collapse,9994721,0,2,0,0,0,0,3,1000,10000,10000
mm_kernel_gpu_mem,21241073,1,1,880000000,80000000,80000000,960000000,3,1000,10000,10000
mm_kernel_gpu_mem,945215,1,2,880000000,80000000,80000000,960000000,3,1000,10000,10000
mm_kernel_gpu,21165559,1,1,0,0,0,0,3,1000,10000,10000
mm_kernel_gpu_collapse,886062,1,2,0,0,0,0,3,1000,10000,10000
mm_kernel_cpu,472746,0,1,0,0,0,0,3,1000,10000,1000
mm_kernel_cpu_collapse,484368,0,2,0,0,0,0,3,1000,10000,1000
mm_kernel_gpu_mem,2135529,1,1,160000000,8000000,8000000,168000000,3,1000,10000,1000
mm_kernel_gpu_mem,63019,1,2,160000000,8000000,8000000,168000000,3,1000,10000,1000
mm_kernel_gpu,2100747,1,1,0,0,0,0,3,1000,10000,1000
mm_kernel_gpu_collapse,53209,1,2,0,0,0,0,3,1000,10000,1000
mm_kernel_cpu,989063,0,1,0,0,0,0,3,1000,10000,2000
mm_kernel_cpu_collapse,928154,0,2,0,0,0,0,3,1000,10000,2000
mm_kernel_gpu_mem,4233931,1,1,240000000,16000000,16000000,256000000,3,1000,10000,2000
mm_kernel_gpu_mem,162586,1,2,240000000,16000000,16000000,256000000,3,1000,10000,2000
mm_kernel_gpu,4213077,1,1,0,0,0,0,3,1000,10000,2000
mm_kernel_gpu_collapse,144224,1,2,0,0,0,0,3,1000,10000,2000
mm_kernel_cpu,1551663,0,1,0,0,0,0,3,1000,10000,3000
mm_kernel_cpu_collapse,1607520,0,2,0,0,0,0,3,1000,10000,3000
mm_kernel_gpu_mem,6348404,1,1,320000000,24000000,24000000,344000000,3,1000,10000,3000
mm_kernel_gpu_mem,257605,1,2,320000000,24000000,24000000,344000000,3,1000,10000,3000
mm_kernel_gpu,6326807,1,1,0,0,0,0,3,1000,10000,3000
mm_kernel_gpu_collapse,237434,1,2,0,0,0,0,3,1000,10000,3000
mm_kernel_cpu,2220315,0,1,0,0,0,0,3,1000,10000,4000
mm_kernel_cpu_collapse,2411289,0,2,0,0,0,0,3,1000,10000,4000
mm_kernel_gpu_mem,8502632,1,1,400000000,32000000,32000000,432000000,3,1000,10000,4000
mm_kernel_gpu_mem,356211,1,2,400000000,32000000,32000000,432000000,3,1000,10000,4000
mm_kernel_gpu,8472582,1,1,0,0,0,0,3,1000,10000,4000
mm_kernel_gpu_collapse,331292,1,2,0,0,0,0,3,1000,10000,4000
mm_kernel_cpu,3180501,0,1,0,0,0,0,3,1000,10000,5000
mm_kernel_cpu_collapse,3296445,0,2,0,0,0,0,3,1000,10000,5000
mm_kernel_gpu_mem,10631220,1,1,480000000,40000000,40000000,520000000,3,1000,10000,5000
mm_kernel_gpu_mem,454217,1,2,480000000,40000000,40000000,520000000,3,1000,10000,5000
mm_kernel_gpu,10576300,1,1,0,0,0,0,3,1000,10000,5000
mm_kernel_gpu_collapse,425120,1,2,0,0,0,0,3,1000,10000,5000
mm_kernel_cpu,4432714,0,1,0,0,0,0,3,1000,10000,6000
mm_kernel_cpu_collapse,4484838,0,2,0,0,0,0,3,1000,10000,6000
mm_kernel_gpu_mem,12738774,1,1,560000000,48000000,48000000,608000000,3,1000,10000,6000
mm_kernel_gpu_mem,554751,1,2,560000000,48000000,48000000,608000000,3,1000,10000,6000
mm_kernel_gpu,12702098,1,1,0,0,0,0,3,1000,10000,6000
mm_kernel_gpu_collapse,519397,1,2,0,0,0,0,3,1000,10000,6000
mm_kernel_cpu,5913167,0,1,0,0,0,0,3,1000,10000,7000
mm_kernel_cpu_collapse,5741596,0,2,0,0,0,0,3,1000,10000,7000
mm_kernel_gpu_mem,14883647,1,1,640000000,56000000,56000000,696000000,3,1000,10000,7000
mm_kernel_gpu_mem,653703,1,2,640000000,56000000,56000000,696000000,3,1000,10000,7000
mm_kernel_gpu,14791909,1,1,0,0,0,0,3,1000,10000,7000
mm_kernel_gpu_collapse,609885,1,2,0,0,0,0,3,1000,10000,7000
mm_kernel_cpu,7593165,0,1,0,0,0,0,3,1000,10000,8000
mm_kernel_cpu_collapse,7352671,0,2,0,0,0,0,3,1000,10000,8000
mm_kernel_gpu_mem,17059671,1,1,720000000,64000000,64000000,784000000,3,1000,10000,8000
mm_kernel_gpu_mem,749281,1,2,720000000,64000000,64000000,784000000,3,1000,10000,8000
mm_kernel_gpu,16941884,1,1,0,0,0,0,3,1000,10000,8000
mm_kernel_gpu_collapse,708824,1,2,0,0,0,0,3,1000,10000,8000
mm_kernel_cpu,8869767,0,1,0,0,0,0,3,1000,10000,9000
mm_kernel_cpu_collapse,8733858,0,2,0,0,0,0,3,1000,10000,9000
mm_kernel_gpu_mem,19186371,1,1,800000000,72000000,72000000,872000000,3,1000,10000,9000
mm_kernel_gpu_mem,851082,1,2,800000000,72000000,72000000,872000000,3,1000,10000,9000
mm_kernel_gpu,19035688,1,1,0,0,0,0,3,1000,10000,9000
mm_kernel_gpu_collapse,800984,1,2,0,0,0,0,3,1000,10000,9000
mm_kernel_cpu,1133911,0,1,0,0,0,0,3,1000,1000,10000
mm_kernel_cpu_collapse,964071,0,2,0,0,0,0,3,1000,1000,10000
mm_kernel_gpu_mem,2068294,1,1,88000000,80000000,80000000,168000000,3,1000,1000,10000
mm_kernel_gpu_mem,101919,1,2,88000000,80000000,80000000,168000000,3,1000,1000,10000
mm_kernel_gpu,2016222,1,1,0,0,0,0,3,1000,1000,10000
mm_kernel_gpu_collapse,81214,1,2,0,0,0,0,3,1000,1000,10000
mm_kernel_cpu,109531,0,1,0,0,0,0,3,1000,1000,1000
mm_kernel_cpu_collapse,49704,0,2,0,0,0,0,3,1000,1000,1000
mm_kernel_gpu_mem,207469,1,1,16000000,8000000,8000000,24000000,3,1000,1000,1000
mm_kernel_gpu_mem,5503,1,2,16000000,8000000,8000000,24000000,3,1000,1000,1000
mm_kernel_gpu,199720,1,1,0,0,0,0,3,1000,1000,1000
mm_kernel_gpu_collapse,2229,1,2,0,0,0,0,3,1000,1000,1000
mm_kernel_cpu,155421,0,1,0,0,0,0,3,1000,1000,2000
mm_kernel_cpu_collapse,100585,0,2,0,0,0,0,3,1000,1000,2000
mm_kernel_gpu_mem,427802,1,1,24000000,16000000,16000000,40000000,3,1000,1000,2000
mm_kernel_gpu_mem,9845,1,2,24000000,16000000,16000000,40000000,3,1000,1000,2000
mm_kernel_gpu,399966,1,1,0,0,0,0,3,1000,1000,2000
mm_kernel_gpu_collapse,5623,1,2,0,0,0,0,3,1000,1000,2000
mm_kernel_cpu,191746,0,1,0,0,0,0,3,1000,1000,3000
mm_kernel_cpu_collapse,149795,0,2,0,0,0,0,3,1000,1000,3000
mm_kernel_gpu_mem,614436,1,1,32000000,24000000,24000000,56000000,3,1000,1000,3000
mm_kernel_gpu_mem,18337,1,2,32000000,24000000,24000000,56000000,3,1000,1000,3000
mm_kernel_gpu,601634,1,1,0,0,0,0,3,1000,1000,3000
mm_kernel_gpu_collapse,14220,1,2,0,0,0,0,3,1000,1000,3000
mm_kernel_cpu,260826,0,1,0,0,0,0,3,1000,1000,4000
mm_kernel_cpu_collapse,184967,0,2,0,0,0,0,3,1000,1000,4000
mm_kernel_gpu_mem,818781,1,1,40000000,32000000,32000000,72000000,3,1000,1000,4000
mm_kernel_gpu_mem,33210,1,2,40000000,32000000,32000000,72000000,3,1000,1000,4000
