kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1,N2,N3
mm_kernel_cpu,29574148,0,1,1,64,0,0,0,0,3,10000,10000,10000
mm_kernel_cpu_collapse,29019061,0,2,1,64,0,0,0,0,3,10000,10000,10000
mm_kernel_gpu_mem,28568761,1,1,79,128,1600000000,800000000,800000000,2400000000,3,10000,10000,10000
mm_kernel_gpu_mem,10376675,1,2,781250,128,1600000000,800000000,800000000,2400000000,3,10000,10000,10000
mm_kernel_gpu,28295124,1,1,79,128,0,0,0,0,3,10000,10000,10000
mm_kernel_gpu_collapse,9999125,1,2,781250,128,0,0,0,0,3,10000,10000,10000
mm_kernel_cpu,2311276,0,1,1,64,0,0,0,0,3,10000,10000,1000
mm_kernel_cpu_collapse,2174911,0,2,1,64,0,0,0,0,3,10000,10000,1000
mm_kernel_gpu_mem,2916089,1,1,79,128,880000000,80000000,80000000,960000000,3,10000,10000,1000
mm_kernel_gpu_mem,463128,1,2,78125,128,880000000,80000000,80000000,960000000,3,10000,10000,1000
mm_kernel_gpu,2818553,1,1,79,128,0,0,0,0,3,10000,10000,1000
mm_kernel_gpu_collapse,338212,1,2,78125,128,0,0,0,0,3,10000,10000,1000
mm_kernel_cpu,5908526,0,1,1,64,0,0,0,0,3,10000,10000,2000
mm_kernel_cpu_collapse,5856919,0,2,1,64,0,0,0,0,3,10000,10000,2000
mm_kernel_gpu_mem,5742422,1,1,79,128,960000000,160000000,160000000,1120000000,3,10000,10000,2000
mm_kernel_gpu_mem,877698,1,2,156250,128,960000000,160000000,160000000,1120000000,3,10000,10000,2000
mm_kernel_gpu,5608262,1,1,79,128,0,0,0,0,3,10000,10000,2000
mm_kernel_gpu_collapse,706244,1,2,156250,128,0,0,0,0,3,10000,10000,2000
mm_kernel_cpu,6639644,0,1,1,64,0,0,0,0,3,10000,10000,3000
mm_kernel_cpu_collapse,6554751,0,2,1,64,0,0,0,0,3,10000,10000,3000
mm_kernel_gpu_mem,8603306,1,1,79,128,1040000000,240000000,240000000,1280000000,3,10000,10000,3000
mm_kernel_gpu_mem,1270990,1,2,234375,128,1040000000,240000000,240000000,1280000000,3,10000,10000,3000
mm_kernel_gpu,8485572,1,1,79,128,0,0,0,0,3,10000,10000,3000
mm_kernel_gpu_collapse,1104309,1,2,234375,128,0,0,0,0,3,10000,10000,3000
mm_kernel_cpu,11990822,0,1,1,64,0,0,0,0,3,10000,10000,4000
mm_kernel_cpu_collapse,11612877,0,2,1,64,0,0,0,0,3,10000,10000,4000
mm_kernel_gpu_mem,11440797,1,1,79,128,1120000000,320000000,320000000,1440000000,3,10000,10000,4000
mm_kernel_gpu_mem,1634726,1,2,312500,128,1120000000,320000000,320000000,1440000000,3,10000,10000,4000
mm_kernel_gpu,11279621,1,1,79,128,0,0,0,0,3,10000,10000,4000
mm_kernel_gpu_collapse,1461666,1,2,312500,128,0,0,0,0,3,10000,10000,4000
mm_kernel_cpu,11347468,0,1,1,64,0,0,0,0,3,10000,10000,5000
mm_kernel_cpu_collapse,11548258,0,2,1,64,0,0,0,0,3,10000,10000,5000
mm_kernel_gpu_mem,14341359,1,1,79,128,1200000000,400000000,400000000,1600000000,3,10000,10000,5000
mm_kernel_gpu_mem,2157317,1,2,390625,128,1200000000,400000000,400000000,1600000000,3,10000,10000,5000
