kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1,N2,N3
mm_kernel_cpu,2779988,0,1,1,168,0,0,0,0,3,7000,5000,2000
mm_kernel_cpu,838169,0,1,1,168,0,0,0,0,3,8600,1100,2100
mm_kernel_cpu,9672752,0,1,1,168,0,0,0,0,3,3600,7100,5600
mm_kernel_cpu,2309755,0,1,1,168,0,0,0,0,3,600,5600,7100
mm_kernel_cpu,345822,0,1,1,168,0,0,0,0,3,7100,100,6100
mm_kernel_cpu,7658955,0,1,1,168,0,0,0,0,3,3600,6600,5100
mm_kernel_cpu,1979524,0,1,1,168,0,0,0,0,3,2600,6600,2600
mm_kernel_cpu,1075431,0,1,1,168,0,0,0,0,3,8100,3100,1100
mm_kernel_cpu,1473624,0,1,1,168,0,0,0,0,3,2100,7600,2100
mm_kernel_cpu,1012315,0,1,1,168,0,0,0,0,3,5100,8100,600
mm_kernel_cpu,774288,0,1,1,168,0,0,0,0,3,4100,2100,2100
mm_kernel_cpu,4912570,0,1,1,168,0,0,0,0,3,8500,10000,1500
mm_kernel_cpu,7468105,0,1,1,168,0,0,0,0,3,10000,5500,3000
mm_kernel_cpu,138661,0,1,1,168,0,0,0,0,3,2100,9600,100
mm_kernel_cpu,1260277,0,1,1,168,0,0,0,0,3,2600,5100,2100
mm_kernel_cpu,1150452,0,1,1,168,0,0,0,0,3,8600,3100,1100
mm_kernel_cpu,9160491,0,1,1,168,0,0,0,0,3,3100,6600,6100
mm_kernel_cpu,8778586,0,1,1,168,0,0,0,0,3,6100,4600,5100
mm_kernel_cpu,1729684,0,1,1,168,0,0,0,0,3,1600,8600,2600
mm_kernel_cpu,1782099,0,1,1,168,0,0,0,0,3,600,9600,4600
mm_kernel_cpu,3438446,0,1,1,168,0,0,0,0,3,4600,1100,7600
mm_kernel_cpu,6385392,0,1,1,168,0,0,0,0,3,2100,3100,9600
mm_kernel_cpu,415501,0,1,1,168,0,0,0,0,3,3100,600,4100
mm_kernel_cpu,5374533,0,1,1,168,0,0,0,0,3,9000,2000,5000
mm_kernel_cpu,185538,0,1,1,168,0,0,0,0,3,5100,5600,100
mm_kernel_cpu,537430,0,1,1,168,0,0,0,0,3,7600,3100,600
mm_kernel_cpu,1180053,0,1,1,168,0,0,0,0,3,3600,7100,1100
mm_kernel_cpu,1907488,0,1,1,168,0,0,0,0,3,9100,9100,600
mm_kernel_cpu,7150630,0,1,1,168,0,0,0,0,3,4600,9100,3600
mm_kernel_cpu,6866808,0,1,1,168,0,0,0,0,3,4600,8600,3600
mm_kernel_cpu,220121,0,1,1,168,0,0,0,0,3,2100,1100,1600
mm_kernel_cpu,537843,0,1,1,168,0,0,0,0,3,100,8600,4600
mm_kernel_cpu,70446,0,1,1,168,0,0,0,0,3,4100,100,100
mm_kernel_cpu,74717,0,1,1,168,0,0,0,0,3,7100,100,600
mm_kernel_cpu,3716084,0,1,1,168,0,0,0,0,3,5600,2100,5100
mm_kernel_cpu,7623633,0,1,1,168,0,0,0,0,3,1100,9600,7600
mm_kernel_cpu,7759858,0,1,1,168,0,0,0,0,3,8100,6600,3100
mm_kernel_cpu,4870583,0,1,1,168,0,0,0,0,3,4600,1100,9600
mm_kernel_cpu,3209353,0,1,1,168,0,0,0,0,3,2600,5600,4100
mm_kernel_cpu,3348364,0,1,1,168,0,0,0,0,3,9100,5600,1600
mm_kernel_cpu,5622101,0,1,1,168,0,0,0,0,3,8600,2100,5100
mm_kernel_cpu,951832,0,1,1,168,0,0,0,0,3,9600,1600,1600
mm_kernel_cpu,962599,0,1,1,168,0,0,0,0,3,8000,1000,3000
mm_kernel_cpu,785325,0,1,1,168,0,0,0,0,3,1600,9600,1100
mm_kernel_cpu,2823199,0,1,1,168,0,0,0,0,3,1600,9600,3600
mm_kernel_cpu,227757,0,1,1,168,0,0,0,0,3,7100,5600,100
mm_kernel_cpu,3302184,0,1,1,168,0,0,0,0,3,7100,5600,2100
mm_kernel_cpu,247615,0,1,1,168,0,0,0,0,3,2100,3100,600
mm_kernel_cpu,4256239,0,1,1,168,0,0,0,0,3,10000,5500,2000
mm_kernel_cpu,8229637,0,1,1,168,0,0,0,0,3,2100,4600,8600
mm_kernel_cpu,8416530,0,1,1,168,0,0,0,0,3,8500,4000,4500
mm_kernel_cpu,8046467,0,1,1,168,0,0,0,0,3,6100,5100,4600
mm_kernel_cpu,3180561,0,1,1,168,0,0,0,0,3,10000,4000,2000
mm_kernel_cpu,4558815,0,1,1,168,0,0,0,0,3,7600,5600,2600
mm_kernel_cpu,4012819,0,1,1,168,0,0,0,0,3,10000,7000,1500
mm_kernel_cpu,6790242,0,1,1,168,0,0,0,0,3,9500,4000,3500
mm_kernel_cpu,3244587,0,1,1,168,0,0,0,0,3,2600,8600,3100
mm_kernel_cpu,9181774,0,1,1,168,0,0,0,0,3,4600,2600,8100
mm_kernel_cpu,1384955,0,1,1,168,0,0,0,0,3,600,9100,4100
mm_kernel_cpu,1728159,0,1,1,168,0,0,0,0,3,6100,1600,3600
mm_kernel_cpu,9751304,0,1,1,168,0,0,0,0,3,8600,2600,6100
mm_kernel_cpu,936558,0,1,1,168,0,0,0,0,3,7100,2100,1600
mm_kernel_cpu,3942693,0,1,1,168,0,0,0,0,3,8600,4100,2600
mm_kernel_cpu,1085725,0,1,1,168,0,0,0,0,3,7100,6600,600
mm_kernel_cpu,210748,0,1,1,168,0,0,0,0,3,4600,7600,100
mm_kernel_cpu,2487111,0,1,1,168,0,0,0,0,3,7500,8500,1000
mm_kernel_cpu,773486,0,1,1,168,0,0,0,0,3,3600,4600,1100
mm_kernel_cpu,1225409,0,1,1,168,0,0,0,0,3,600,7600,4100
