kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1,N2
mv_kernel_cpu,6715,0,1,1,80,0,0,0,0,2,100000,100
mv_kernel_gpu_mem,10856,1,1,782,128,80000808,800000,800008,80000800,2,100000,100
mv_kernel_gpu,275,1,1,782,128,8,0,8,0,2,100000,100
mv_kernel_cpu,8509,0,1,1,80,0,0,0,0,2,100000,1100
mv_kernel_gpu_mem,106775,1,1,782,128,880008808,800000,800008,880008800,2,100000,1100
mv_kernel_gpu,2472,1,1,782,128,8,0,8,0,2,100000,1100
mv_kernel_cpu,10793,0,1,1,80,0,0,0,0,2,100000,1600
mv_kernel_gpu_mem,157420,1,1,782,128,1280012808,800000,800008,1280012800,2,100000,1600
mv_kernel_gpu,2083,1,1,782,128,8,0,8,0,2,100000,1600
mv_kernel_cpu,12277,0,1,1,80,0,0,0,0,2,100000,2100
mv_kernel_gpu_mem,196765,1,1,782,128,1680016808,800000,800008,1680016800,2,100000,2100
mv_kernel_gpu,2726,1,1,782,128,8,0,8,0,2,100000,2100
mv_kernel_cpu,13280,0,1,1,80,0,0,0,0,2,100000,2600
mv_kernel_gpu_mem,237851,1,1,782,128,2080020808,800000,800008,2080020800,2,100000,2600
mv_kernel_gpu,3343,1,1,782,128,8,0,8,0,2,100000,2600
mv_kernel_cpu,15889,0,1,1,80,0,0,0,0,2,100000,3100
mv_kernel_gpu_mem,303066,1,1,782,128,2480024808,800000,800008,2480024800,2,100000,3100
mv_kernel_gpu,4032,1,1,782,128,8,0,8,0,2,100000,3100
mv_kernel_cpu,17371,0,1,1,80,0,0,0,0,2,100000,3600
mv_kernel_gpu_mem,323791,1,1,782,128,2880028808,800000,800008,2880028800,2,100000,3600
mv_kernel_gpu,4684,1,1,782,128,8,0,8,0,2,100000,3600
mv_kernel_cpu,21322,0,1,1,80,0,0,0,0,2,100000,4100
mv_kernel_gpu_mem,393602,1,1,782,128,3280032808,800000,800008,3280032800,2,100000,4100
mv_kernel_gpu,5274,1,1,782,128,8,0,8,0,2,100000,4100
mv_kernel_cpu,18996,0,1,1,80,0,0,0,0,2,100000,4600
mv_kernel_gpu_mem,444628,1,1,782,128,3680036808,800000,800008,3680036800,2,100000,4600
mv_kernel_gpu,6007,1,1,782,128,8,0,8,0,2,100000,4600
mv_kernel_cpu,24236,0,1,1,80,0,0,0,0,2,100000,5100
mv_kernel_gpu_mem,500169,1,1,782,128,4080040808,800000,800008,4080040800,2,100000,5100
mv_kernel_gpu,6684,1,1,782,128,8,0,8,0,2,100000,5100
mv_kernel_cpu,24146,0,1,1,80,0,0,0,0,2,100000,5600
