kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1,N2
mv_kernel_cpu,16182,0,1,1,48,0,0,0,0,2,10000,100
mv_kernel_gpu_mem,29276,1,1,40,256,8000808,80000,80008,8000800,2,10000,100
mv_kernel_gpu,505,1,1,40,256,8,0,8,0,2,10000,100

mv_kernel_cpu,15533,0,1,1,48,0,0,0,0,2,10000,1100
mv_kernel_gpu_mem,226814,1,1,40,256,88008808,80000,80008,88008800,2,10000,1100
mv_kernel_gpu,1212,1,1,40,256,8,0,8,0,2,10000,1100
mv_kernel_cpu,25147,0,1,1,48,0,0,0,0,2,10000,1600
mv_kernel_gpu_mem,235439,1,1,40,256,128012808,80000,80008,128012800,2,10000,1600
mv_kernel_gpu,1942,1,1,40,256,8,0,8,0,2,10000,1600
mv_kernel_cpu,21284,0,1,1,48,0,0,0,0,2,10000,2100
mv_kernel_gpu_mem,251560,1,1,40,256,168016808,80000,80008,168016800,2,10000,2100
mv_kernel_gpu,1464,1,1,40,256,8,0,8,0,2,10000,2100
mv_kernel_cpu,23466,0,1,1,48,0,0,0,0,2,10000,2600
mv_kernel_gpu_mem,270556,1,1,40,256,208020808,80000,80008,208020800,2,10000,2600
mv_kernel_gpu,2033,1,1,40,256,8,0,8,0,2,10000,2600
mv_kernel_cpu,18250,0,1,1,48,0,0,0,0,2,10000,3100
mv_kernel_gpu_mem,283783,1,1,40,256,248024808,80000,80008,248024800,2,10000,3100
mv_kernel_gpu,1883,1,1,40,256,8,0,8,0,2,10000,3100
mv_kernel_cpu,34374,0,1,1,48,0,0,0,0,2,10000,3600
mv_kernel_gpu_mem,295111,1,1,40,256,288028808,80000,80008,288028800,2,10000,3600
mv_kernel_gpu,2441,1,1,40,256,8,0,8,0,2,10000,3600
mv_kernel_cpu,41178,0,1,1,48,0,0,0,0,2,10000,4100
mv_kernel_gpu_mem,318891,1,1,40,256,328032808,80000,80008,328032800,2,10000,4100
mv_kernel_gpu,2071,1,1,40,256,8,0,8,0,2,10000,4100
mv_kernel_cpu,37005,0,1,1,48,0,0,0,0,2,10000,4600
mv_kernel_gpu_mem,337758,1,1,40,256,368036808,80000,80008,368036800,2,10000,4600
mv_kernel_gpu,3195,1,1,40,256,8,0,8,0,2,10000,4600
mv_kernel_cpu,36058,0,1,1,48,0,0,0,0,2,10000,5100
mv_kernel_gpu_mem,361975,1,1,40,256,408040808,80000,80008,408040800,2,10000,5100
mv_kernel_gpu,2602,1,1,40,256,8,0,8,0,2,10000,5100
mv_kernel_cpu,30566,0,1,1,48,0,0,0,0,2,10000,5600
mv_kernel_gpu_mem,386545,1,1,40,256,448044808,80000,80008,448044800,2,10000,5600
mv_kernel_gpu,4422,1,1,40,256,8,0,8,0,2,10000,5600
mv_kernel_cpu,13683,0,1,1,48,0,0,0,0,2,10000,600
mv_kernel_gpu_mem,212110,1,1,40,256,48004808,80000,80008,48004800,2,10000,600
mv_kernel_gpu,1952,1,1,40,256,8,0,8,0,2,10000,600
mv_kernel_cpu,34402,0,1,1,48,0,0,0,0,2,10000,6100
mv_kernel_gpu_mem,407193,1,1,40,256,488048808,80000,80008,488048800,2,10000,6100
mv_kernel_gpu,3776,1,1,40,256,8,0,8,0,2,10000,6100
mv_kernel_cpu,38083,0,1,1,48,0,0,0,0,2,10000,6600
mv_kernel_gpu_mem,436681,1,1,40,256,528052808,80000,80008,528052800,2,10000,6600
mv_kernel_gpu,5025,1,1,40,256,8,0,8,0,2,10000,6600
mv_kernel_cpu,60749,0,1,1,48,0,0,0,0,2,10000,7100
mv_kernel_gpu_mem,467025,1,1,40,256,568056808,80000,80008,568056800,2,10000,7100
mv_kernel_gpu,3611,1,1,40,256,8,0,8,0,2,10000,7100
mv_kernel_cpu,52177,0,1,1,48,0,0,0,0,2,10000,7600
mv_kernel_gpu_mem,486253,1,1,40,256,608060808,80000,80008,608060800,2,10000,7600
mv_kernel_gpu,3228,1,1,40,256,8,0,8,0,2,10000,7600
mv_kernel_cpu,36964,0,1,1,48,0,0,0,0,2,10000,8100
mv_kernel_gpu_mem,522065,1,1,40,256,648064808,80000,80008,648064800,2,10000,8100
mv_kernel_gpu,4111,1,1,40,256,8,0,8,0,2,10000,8100
mv_kernel_cpu,49875,0,1,1,48,0,0,0,0,2,10000,8600
mv_kernel_gpu_mem,543997,1,1,40,256,688068808,80000,80008,688068800,2,10000,8600
mv_kernel_gpu,6086,1,1,40,256,8,0,8,0,2,10000,8600
mv_kernel_cpu,59225,0,1,1,48,0,0,0,0,2,10000,9100
mv_kernel_gpu_mem,590324,1,1,40,256,728072808,80000,80008,728072800,2,10000,9100
mv_kernel_gpu,5450,1,1,40,256,8,0,8,0,2,10000,9100
mv_kernel_cpu,45112,0,1,1,48,0,0,0,0,2,10000,9600
mv_kernel_gpu_mem,600064,1,1,40,256,768076808,80000,80008,768076800,2,10000,9600
mv_kernel_gpu,5172,1,1,40,256,8,0,8,0,2,10000,9600
mv_kernel_cpu,28481,0,1,1,48,0,0,0,0,2,1000,100
mv_kernel_gpu_mem,31359,1,1,4,256,800808,8000,8008,800800,2,1000,100
mv_kernel_gpu,515,1,1,4,256,8,0,8,0,2,1000,100
mv_kernel_cpu,32373,0,1,1,48,0,0,0,0,2,1000,1100
mv_kernel_gpu_mem,77812,1,1,4,256,8808808,8000,8008,8808800,2,1000,1100
mv_kernel_gpu,665,1,1,4,256,8,0,8,0,2,1000,1100

mv_kernel_cpu,23016,0,1,1,48,0,0,0,0,2,1000,1600
mv_kernel_gpu_mem,111913,1,1,4,256,12812808,8000,8008,12812800,2,1000,1600
mv_kernel_gpu,1947,1,1,4,256,8,0,8,0,2,1000,1600
