kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1,N2
mv_kernel_cpu,26580,0,1,1,28,0,0,0,0,2,100000,100
mv_kernel_gpu_mem,19743,1,1,782,128,80000808,800000,800008,80000800,2,100000,100
mv_kernel_gpu,3347,1,1,782,128,8,0,8,0,2,100000,100
mv_kernel_cpu,44693,0,1,1,28,0,0,0,0,2,100000,1100
mv_kernel_gpu_mem,232034,1,1,782,128,880008808,800000,800008,880008800,2,100000,1100
mv_kernel_gpu,30281,1,1,782,128,8,0,8,0,2,100000,1100
mv_kernel_cpu,45499,0,1,1,28,0,0,0,0,2,100000,1600
mv_kernel_gpu_mem,389543,1,1,782,128,1280012808,800000,800008,1280012800,2,100000,1600
mv_kernel_gpu,37407,1,1,782,128,8,0,8,0,2,100000,1600
mv_kernel_cpu,55138,0,1,1,28,0,0,0,0,2,100000,2100
mv_kernel_gpu_mem,497422,1,1,782,128,1680016808,800000,800008,1680016800,2,100000,2100
mv_kernel_gpu,48253,1,1,782,128,8,0,8,0,2,100000,2100
mv_kernel_cpu,50833,0,1,1,28,0,0,0,0,2,100000,2600
mv_kernel_gpu_mem,543575,1,1,782,128,2080020808,800000,800008,2080020800,2,100000,2600
mv_kernel_gpu,59588,1,1,782,128,8,0,8,0,2,100000,2600
mv_kernel_cpu,53949,0,1,1,28,0,0,0,0,2,100000,3100
mv_kernel_gpu_mem,593799,1,1,782,128,2480024808,800000,800008,2480024800,2,100000,3100
mv_kernel_gpu,71054,1,1,782,128,8,0,8,0,2,100000,3100
mv_kernel_cpu,86662,0,1,1,28,0,0,0,0,2,100000,3600
mv_kernel_gpu_mem,663055,1,1,782,128,2880028808,800000,800008,2880028800,2,100000,3600
mv_kernel_gpu,83454,1,1,782,128,8,0,8,0,2,100000,3600
mv_kernel_cpu,68692,0,1,1,28,0,0,0,0,2,100000,4100
mv_kernel_gpu_mem,942140,1,1,782,128,3280032808,800000,800008,3280032800,2,100000,4100
mv_kernel_gpu,95279,1,1,782,128,8,0,8,0,2,100000,4100
mv_kernel_cpu,82342,0,1,1,28,0,0,0,0,2,100000,4600
mv_kernel_gpu_mem,826761,1,1,782,128,3680036808,800000,800008,3680036800,2,100000,4600
mv_kernel_gpu,105612,1,1,782,128,8,0,8,0,2,100000,4600
mv_kernel_cpu,69766,0,1,1,28,0,0,0,0,2,100000,5100
mv_kernel_gpu_mem,944232,1,1,782,128,4080040808,800000,800008,4080040800,2,100000,5100
mv_kernel_gpu,118781,1,1,782,128,8,0,8,0,2,100000,5100
mv_kernel_cpu,63304,0,1,1,28,0,0,0,0,2,100000,5600
mv_kernel_gpu_mem,1262389,1,1,782,128,4480044808,800000,800008,4480044800,2,100000,5600
mv_kernel_gpu,130808,1,1,782,128,8,0,8,0,2,100000,5600
mv_kernel_cpu,36922,0,1,1,28,0,0,0,0,2,100000,600
mv_kernel_gpu_mem,106518,1,1,782,128,480004808,800000,800008,480004800,2,100000,600
mv_kernel_gpu,17876,1,1,782,128,8,0,8,0,2,100000,600
mv_kernel_cpu,99270,0,1,1,28,0,0,0,0,2,100000,6100
mv_kernel_gpu_mem,1374469,1,1,782,128,4880048808,800000,800008,4880048800,2,100000,6100
mv_kernel_gpu,142444,1,1,782,128,8,0,8,0,2,100000,6100
mv_kernel_cpu,69046,0,1,1,28,0,0,0,0,2,100000,6600
mv_kernel_gpu_mem,1485352,1,1,782,128,5280052808,800000,800008,5280052800,2,100000,6600
mv_kernel_gpu,155385,1,1,782,128,8,0,8,0,2,100000,6600
