kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1,N2
mv_kernel_cpu,19869,0,1,1,40,0,0,0,0,2,100000,100
mv_kernel_gpu_mem,14731,1,1,782,128,80000808,800000,800008,80000800,2,100000,100
mv_kernel_gpu,719,1,1,782,128,8,0,8,0,2,100000,100
mv_kernel_cpu,69974,0,1,1,40,0,0,0,0,2,100000,1100
mv_kernel_gpu_mem,93619,1,1,782,128,880008808,800000,800008,880008800,2,100000,1100
mv_kernel_gpu,16118,1,1,782,128,8,0,8,0,2,100000,1100
mv_kernel_cpu,101360,0,1,1,40,0,0,0,0,2,100000,1600
mv_kernel_gpu_mem,212688,1,1,782,128,1280012808,800000,800008,1280012800,2,100000,1600
mv_kernel_gpu,21210,1,1,782,128,8,0,8,0,2,100000,1600
mv_kernel_cpu,122410,0,1,1,40,0,0,0,0,2,100000,2100
mv_kernel_gpu_mem,174779,1,1,782,128,1680016808,800000,800008,1680016800,2,100000,2100
mv_kernel_gpu,23174,1,1,782,128,8,0,8,0,2,100000,2100
mv_kernel_cpu,141266,0,1,1,40,0,0,0,0,2,100000,2600
mv_kernel_gpu_mem,349210,1,1,782,128,2080020808,800000,800008,2080020800,2,100000,2600
mv_kernel_gpu,35496,1,1,782,128,8,0,8,0,2,100000,2600
mv_kernel_cpu,186666,0,1,1,40,0,0,0,0,2,100000,3600
mv_kernel_gpu_mem,308746,1,1,782,128,2880028808,800000,800008,2880028800,2,100000,3600
mv_kernel_gpu,47976,1,1,782,128,8,0,8,0,2,100000,3600
mv_kernel_cpu,229401,0,1,1,40,0,0,0,0,2,100000,4100
mv_kernel_gpu_mem,356548,1,1,782,128,3280032808,800000,800008,3280032800,2,100000,4100
mv_kernel_gpu,51424,1,1,782,128,8,0,8,0,2,100000,4100
mv_kernel_cpu,226345,0,1,1,40,0,0,0,0,2,100000,4600
mv_kernel_gpu_mem,611795,1,1,782,128,3680036808,800000,800008,3680036800,2,100000,4600
mv_kernel_gpu,61977,1,1,782,128,8,0,8,0,2,100000,4600
mv_kernel_cpu,248907,0,1,1,40,0,0,0,0,2,100000,5100
mv_kernel_gpu_mem,679980,1,1,782,128,4080040808,800000,800008,4080040800,2,100000,5100
mv_kernel_gpu,68302,1,1,782,128,8,0,8,0,2,100000,5100
mv_kernel_cpu,296709,0,1,1,40,0,0,0,0,2,100000,5600
mv_kernel_gpu_mem,762843,1,1,782,128,4480044808,800000,800008,4480044800,2,100000,5600
mv_kernel_gpu,78931,1,1,782,128,8,0,8,0,2,100000,5600
mv_kernel_cpu,51609,0,1,1,40,0,0,0,0,2,100000,600
mv_kernel_gpu_mem,80012,1,1,782,128,480004808,800000,800008,480004800,2,100000,600
mv_kernel_gpu,7529,1,1,782,128,8,0,8,0,2,100000,600
mv_kernel_cpu,304779,0,1,1,40,0,0,0,0,2,100000,6100
mv_kernel_gpu_mem,810261,1,1,782,128,4880048808,800000,800008,4880048800,2,100000,6100
mv_kernel_gpu,81622,1,1,782,128,8,0,8,0,2,100000,6100
mv_kernel_cpu,321413,0,1,1,40,0,0,0,0,2,100000,6600
mv_kernel_gpu_mem,888748,1,1,782,128,5280052808,800000,800008,5280052800,2,100000,6600
mv_kernel_gpu,93195,1,1,782,128,8,0,8,0,2,100000,6600
mv_kernel_cpu,360800,0,1,1,40,0,0,0,0,2,100000,7100
mv_kernel_gpu_mem,604528,1,1,782,128,5680056808,800000,800008,5680056800,2,100000,7100
mv_kernel_gpu,97566,1,1,782,128,8,0,8,0,2,100000,7100
mv_kernel_cpu,371545,0,1,1,40,0,0,0,0,2,100000,7600
mv_kernel_gpu_mem,1000836,1,1,782,128,6080060808,800000,800008,6080060800,2,100000,7600
mv_kernel_gpu,105608,1,1,782,128,8,0,8,0,2,100000,7600
mv_kernel_cpu,386911,0,1,1,40,0,0,0,0,2,100000,8100
mv_kernel_gpu_mem,691925,1,1,782,128,6480064808,800000,800008,6480064800,2,100000,8100
mv_kernel_gpu,111079,1,1,782,128,8,0,8,0,2,100000,8100
mv_kernel_cpu,403998,0,1,1,40,0,0,0,0,2,100000,8600
mv_kernel_gpu_mem,1142045,1,1,782,128,6880068808,800000,800008,6880068800,2,100000,8600
mv_kernel_gpu,116165,1,1,782,128,8,0,8,0,2,100000,8600
mv_kernel_cpu,474158,0,1,1,40,0,0,0,0,2,100000,9100
mv_kernel_gpu_mem,1208683,1,1,782,128,7280072808,800000,800008,7280072800,2,100000,9100
mv_kernel_gpu,126689,1,1,782,128,8,0,8,0,2,100000,9100
mv_kernel_cpu,513651,0,1,1,40,0,0,0,0,2,100000,9600
mv_kernel_gpu_mem,1274883,1,1,782,128,7680076808,800000,800008,7680076800,2,100000,9600
mv_kernel_gpu,132836,1,1,782,128,8,0,8,0,2,100000,9600
mv_kernel_cpu,16177,0,1,1,40,0,0,0,0,2,10000,100
mv_kernel_gpu_mem,2319,1,1,79,128,8000808,80000,80008,8000800,2,10000,100
mv_kernel_gpu,119,1,1,79,128,8,0,8,0,2,10000,100
mv_kernel_cpu,21417,0,1,1,40,0,0,0,0,2,10000,1100
mv_kernel_gpu_mem,15982,1,1,79,128,88008808,80000,80008,88008800,2,10000,1100
mv_kernel_gpu,703,1,1,79,128,8,0,8,0,2,10000,1100
mv_kernel_cpu,25323,0,1,1,40,0,0,0,0,2,10000,1600
mv_kernel_gpu_mem,14461,1,1,79,128,128012808,80000,80008,128012800,2,10000,1600
mv_kernel_gpu,961,1,1,79,128,8,0,8,0,2,10000,1600
mv_kernel_cpu,31047,0,1,1,40,0,0,0,0,2,10000,2100
mv_kernel_gpu_mem,27447,1,1,79,128,168016808,80000,80008,168016800,2,10000,2100
