kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1,N2
mv_kernel_cpu,78186,0,1,1,168,0,0,0,0,2,100000,100
mv_kernel_gpu_mem,19459,1,1,782,128,80000808,800000,800008,80000800,2,100000,100
mv_kernel_gpu,881,1,1,782,128,8,0,8,0,2,100000,100
mv_kernel_cpu,75088,0,1,1,168,0,0,0,0,2,100000,1100
mv_kernel_gpu_mem,176893,1,1,782,128,880008808,800000,800008,880008800,2,100000,1100
mv_kernel_gpu,9901,1,1,782,128,8,0,8,0,2,100000,1100
mv_kernel_cpu,71984,0,1,1,168,0,0,0,0,2,100000,1600
mv_kernel_gpu_mem,197884,1,1,782,128,1280012808,800000,800008,1280012800,2,100000,1600
mv_kernel_gpu,10624,1,1,782,128,8,0,8,0,2,100000,1600
mv_kernel_cpu,72489,0,1,1,168,0,0,0,0,2,100000,2100
mv_kernel_gpu_mem,220293,1,1,782,128,1680016808,800000,800008,1680016800,2,100000,2100
mv_kernel_gpu,13343,1,1,782,128,8,0,8,0,2,100000,2100
mv_kernel_cpu,81644,0,1,1,168,0,0,0,0,2,100000,2600
mv_kernel_gpu_mem,233709,1,1,782,128,2080020808,800000,800008,2080020800,2,100000,2600
mv_kernel_gpu,18473,1,1,782,128,8,0,8,0,2,100000,2600
mv_kernel_cpu,63961,0,1,1,168,0,0,0,0,2,100000,3100
mv_kernel_gpu_mem,287479,1,1,782,128,2480024808,800000,800008,2480024800,2,100000,3100
mv_kernel_gpu,27724,1,1,782,128,8,0,8,0,2,100000,3100
mv_kernel_cpu,73743,0,1,1,168,0,0,0,0,2,100000,3600
mv_kernel_gpu_mem,288894,1,1,782,128,2880028808,800000,800008,2880028800,2,100000,3600
mv_kernel_gpu,27310,1,1,782,128,8,0,8,0,2,100000,3600
mv_kernel_cpu,78887,0,1,1,168,0,0,0,0,2,100000,4100
mv_kernel_gpu_mem,313094,1,1,782,128,3280032808,800000,800008,3280032800,2,100000,4100
mv_kernel_gpu,35513,1,1,782,128,8,0,8,0,2,100000,4100
mv_kernel_cpu,80101,0,1,1,168,0,0,0,0,2,100000,4600
mv_kernel_gpu_mem,323641,1,1,782,128,3680036808,800000,800008,3680036800,2,100000,4600
mv_kernel_gpu,32535,1,1,782,128,8,0,8,0,2,100000,4600
mv_kernel_cpu,97110,0,1,1,168,0,0,0,0,2,100000,5100
mv_kernel_gpu_mem,336024,1,1,782,128,4080040808,800000,800008,4080040800,2,100000,5100
mv_kernel_gpu,39336,1,1,782,128,8,0,8,0,2,100000,5100
mv_kernel_cpu,92333,0,1,1,168,0,0,0,0,2,100000,5600
mv_kernel_gpu_mem,356548,1,1,782,128,4480044808,800000,800008,4480044800,2,100000,5600
mv_kernel_gpu,39131,1,1,782,128,8,0,8,0,2,100000,5600
mv_kernel_cpu,69461,0,1,1,168,0,0,0,0,2,100000,600
mv_kernel_gpu_mem,99465,1,1,782,128,480004808,800000,800008,480004800,2,100000,600
mv_kernel_gpu,4163,1,1,782,128,8,0,8,0,2,100000,600
mv_kernel_cpu,117748,0,1,1,168,0,0,0,0,2,100000,6100
mv_kernel_gpu_mem,371316,1,1,782,128,4880048808,800000,800008,4880048800,2,100000,6100
mv_kernel_gpu,55002,1,1,782,128,8,0,8,0,2,100000,6100
mv_kernel_cpu,103236,0,1,1,168,0,0,0,0,2,100000,6600
mv_kernel_gpu_mem,396637,1,1,782,128,5280052808,800000,800008,5280052800,2,100000,6600
mv_kernel_gpu,47271,1,1,782,128,8,0,8,0,2,100000,6600
mv_kernel_cpu,136086,0,1,1,168,0,0,0,0,2,100000,7100
mv_kernel_gpu_mem,408030,1,1,782,128,5680056808,800000,800008,5680056800,2,100000,7100
mv_kernel_gpu,65017,1,1,782,128,8,0,8,0,2,100000,7100
mv_kernel_cpu,109767,0,1,1,168,0,0,0,0,2,100000,7600
mv_kernel_gpu_mem,437350,1,1,782,128,6080060808,800000,800008,6080060800,2,100000,7600
mv_kernel_gpu,53415,1,1,782,128,8,0,8,0,2,100000,7600
mv_kernel_cpu,112220,0,1,1,168,0,0,0,0,2,100000,8100
mv_kernel_gpu_mem,463542,1,1,782,128,6480064808,800000,800008,6480064800,2,100000,8100
mv_kernel_gpu,64577,1,1,782,128,8,0,8,0,2,100000,8100
mv_kernel_cpu,117274,0,1,1,168,0,0,0,0,2,100000,8600
mv_kernel_gpu_mem,497677,1,1,782,128,6880068808,800000,800008,6880068800,2,100000,8600
mv_kernel_gpu,61945,1,1,782,128,8,0,8,0,2,100000,8600
mv_kernel_cpu,119268,0,1,1,168,0,0,0,0,2,100000,9100
mv_kernel_gpu_mem,524368,1,1,782,128,7280072808,800000,800008,7280072800,2,100000,9100
mv_kernel_gpu,68767,1,1,782,128,8,0,8,0,2,100000,9100
mv_kernel_cpu,126251,0,1,1,168,0,0,0,0,2,100000,9600
mv_kernel_gpu_mem,541656,1,1,782,128,7680076808,800000,800008,7680076800,2,100000,9600
mv_kernel_gpu,65621,1,1,782,128,8,0,8,0,2,100000,9600
mv_kernel_cpu,71660,0,1,1,168,0,0,0,0,2,10000,100
mv_kernel_gpu_mem,4054,1,1,79,128,8000808,80000,80008,8000800,2,10000,100
mv_kernel_gpu,197,1,1,79,128,8,0,8,0,2,10000,100
mv_kernel_cpu,71690,0,1,1,168,0,0,0,0,2,10000,1100
mv_kernel_gpu_mem,21287,1,1,79,128,88008808,80000,80008,88008800,2,10000,1100
