kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1,N2
mv_kernel_cpu,24121,0,1,1,64,0,0,0,0,2,100000,100
mv_kernel_gpu_mem,31951,1,1,782,128,80000808,800000,800008,80000800,2,100000,100
mv_kernel_gpu,293,1,1,782,128,8,0,8,0,2,100000,100
mv_kernel_cpu,41552,0,1,1,64,0,0,0,0,2,100000,1100
mv_kernel_gpu_mem,130346,1,1,782,128,880008808,800000,800008,880008800,2,100000,1100
mv_kernel_gpu,3255,1,1,782,128,8,0,8,0,2,100000,1100
mv_kernel_cpu,49493,0,1,1,64,0,0,0,0,2,100000,1600
mv_kernel_gpu_mem,176519,1,1,782,128,1280012808,800000,800008,1280012800,2,100000,1600
mv_kernel_gpu,4619,1,1,782,128,8,0,8,0,2,100000,1600
mv_kernel_cpu,78188,0,1,1,64,0,0,0,0,2,100000,2100
mv_kernel_gpu_mem,209307,1,1,782,128,1680016808,800000,800008,1680016800,2,100000,2100
mv_kernel_gpu,5766,1,1,782,128,8,0,8,0,2,100000,2100
mv_kernel_cpu,58368,0,1,1,64,0,0,0,0,2,100000,2600
mv_kernel_gpu_mem,191646,1,1,782,128,2080020808,800000,800008,2080020800,2,100000,2600
mv_kernel_gpu,7631,1,1,782,128,8,0,8,0,2,100000,2600
mv_kernel_cpu,45196,0,1,1,64,0,0,0,0,2,100000,3100
mv_kernel_gpu_mem,282452,1,1,782,128,2480024808,800000,800008,2480024800,2,100000,3100
mv_kernel_gpu,8877,1,1,782,128,8,0,8,0,2,100000,3100
mv_kernel_cpu,51652,0,1,1,64,0,0,0,0,2,100000,3600
mv_kernel_gpu_mem,278043,1,1,782,128,2880028808,800000,800008,2880028800,2,100000,3600
mv_kernel_gpu,10616,1,1,782,128,8,0,8,0,2,100000,3600
mv_kernel_cpu,56514,0,1,1,64,0,0,0,0,2,100000,4100
mv_kernel_gpu_mem,361657,1,1,782,128,3280032808,800000,800008,3280032800,2,100000,4100
mv_kernel_gpu,11752,1,1,782,128,8,0,8,0,2,100000,4100
mv_kernel_cpu,48379,0,1,1,64,0,0,0,0,2,100000,4600
mv_kernel_gpu_mem,388616,1,1,782,128,3680036808,800000,800008,3680036800,2,100000,4600
mv_kernel_gpu,13036,1,1,782,128,8,0,8,0,2,100000,4600
mv_kernel_cpu,55907,0,1,1,64,0,0,0,0,2,100000,5100
mv_kernel_gpu_mem,452224,1,1,782,128,4080040808,800000,800008,4080040800,2,100000,5100
mv_kernel_gpu,14609,1,1,782,128,8,0,8,0,2,100000,5100
mv_kernel_cpu,82624,0,1,1,64,0,0,0,0,2,100000,5600
mv_kernel_gpu_mem,455393,1,1,782,128,4480044808,800000,800008,4480044800,2,100000,5600
mv_kernel_gpu,16562,1,1,782,128,8,0,8,0,2,100000,5600
mv_kernel_cpu,31372,0,1,1,64,0,0,0,0,2,100000,600
mv_kernel_gpu_mem,42511,1,1,782,128,480004808,800000,800008,480004800,2,100000,600
mv_kernel_gpu,1792,1,1,782,128,8,0,8,0,2,100000,600
mv_kernel_cpu,55862,0,1,1,64,0,0,0,0,2,100000,6100
mv_kernel_gpu_mem,547216,1,1,782,128,4880048808,800000,800008,4880048800,2,100000,6100
mv_kernel_gpu,17346,1,1,782,128,8,0,8,0,2,100000,6100
mv_kernel_cpu,78475,0,1,1,64,0,0,0,0,2,100000,6600
mv_kernel_gpu_mem,533223,1,1,782,128,5280052808,800000,800008,5280052800,2,100000,6600
mv_kernel_gpu,18983,1,1,782,128,8,0,8,0,2,100000,6600
mv_kernel_cpu,76453,0,1,1,64,0,0,0,0,2,100000,7100
mv_kernel_gpu_mem,618154,1,1,782,128,5680056808,800000,800008,5680056800,2,100000,7100
mv_kernel_gpu,20609,1,1,782,128,8,0,8,0,2,100000,7100
mv_kernel_cpu,74712,0,1,1,64,0,0,0,0,2,100000,7600
mv_kernel_gpu_mem,668704,1,1,782,128,6080060808,800000,800008,6080060800,2,100000,7600
mv_kernel_gpu,21831,1,1,782,128,8,0,8,0,2,100000,7600
mv_kernel_cpu,60861,0,1,1,64,0,0,0,0,2,100000,8100
mv_kernel_gpu_mem,735913,1,1,782,128,6480064808,800000,800008,6480064800,2,100000,8100
mv_kernel_gpu,23316,1,1,782,128,8,0,8,0,2,100000,8100
mv_kernel_cpu,84446,0,1,1,64,0,0,0,0,2,100000,8600
mv_kernel_gpu_mem,762060,1,1,782,128,6880068808,800000,800008,6880068800,2,100000,8600
mv_kernel_gpu,25350,1,1,782,128,8,0,8,0,2,100000,8600
mv_kernel_cpu,98307,0,1,1,64,0,0,0,0,2,100000,9100
mv_kernel_gpu_mem,787207,1,1,782,128,7280072808,800000,800008,7280072800,2,100000,9100
mv_kernel_gpu,25695,1,1,782,128,8,0,8,0,2,100000,9100
mv_kernel_cpu,93312,0,1,1,64,0,0,0,0,2,100000,9600
mv_kernel_gpu_mem,849665,1,1,782,128,7680076808,800000,800008,7680076800,2,100000,9600
mv_kernel_gpu,27511,1,1,782,128,8,0,8,0,2,100000,9600
mv_kernel_cpu,58603,0,1,1,64,0,0,0,0,2,10000,100
mv_kernel_gpu_mem,1135,1,1,79,128,8000808,80000,80008,8000800,2,10000,100
mv_kernel_gpu,64,1,1,79,128,8,0,8,0,2,10000,100
mv_kernel_cpu,45423,0,1,1,64,0,0,0,0,2,10000,1100
mv_kernel_gpu_mem,10412,1,1,79,128,88008808,80000,80008,88008800,2,10000,1100
mv_kernel_gpu,360,1,1,79,128,8,0,8,0,2,10000,1100
mv_kernel_cpu,35892,0,1,1,64,0,0,0,0,2,10000,1600
mv_kernel_gpu_mem,18882,1,1,79,128,128012808,80000,80008,128012800,2,10000,1600
mv_kernel_gpu,492,1,1,79,128,8,0,8,0,2,10000,1600
mv_kernel_cpu,37745,0,1,1,64,0,0,0,0,2,10000,2100
mv_kernel_gpu_mem,19832,1,1,79,128,168016808,80000,80008,168016800,2,10000,2100
mv_kernel_gpu,718,1,1,79,128,8,0,8,0,2,10000,2100
mv_kernel_cpu,36178,0,1,1,64,0,0,0,0,2,10000,2600
mv_kernel_gpu_mem,18134,1,1,79,128,208020808,80000,80008,208020800,2,10000,2600
mv_kernel_gpu,770,1,1,79,128,8,0,8,0,2,10000,2600
mv_kernel_cpu,44461,0,1,1,64,0,0,0,0,2,10000,3100
mv_kernel_gpu_mem,36012,1,1,79,128,248024808,80000,80008,248024800,2,10000,3100
mv_kernel_gpu,937,1,1,79,128,8,0,8,0,2,10000,3100
mv_kernel_cpu,22728,0,1,1,64,0,0,0,0,2,10000,3600
mv_kernel_gpu_mem,25329,1,1,79,128,288028808,80000,80008,288028800,2,10000,3600
mv_kernel_gpu,1048,1,1,79,128,8,0,8,0,2,10000,3600
