kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1
nn_kernel_cpu,6322,0,1,1,80,0,0,0,0,1,1000000
nn_kernel_gpu,2216,1,1,7813,128,8,0,8,0,1,1000000
nn_kernel_gpu_mem,1788,1,1,7813,128,8000008,4000000,4000008,8000000,1,1000000
nn_kernel_cpu,4832,0,1,1,80,0,0,0,0,1,100000
nn_kernel_gpu,1141,1,1,782,128,8,0,8,0,1,100000
nn_kernel_gpu_mem,609,1,1,782,128,800008,400000,400008,800000,1,100000
nn_kernel_cpu,4179,0,1,1,80,0,0,0,0,1,10000
nn_kernel_gpu,1089,1,1,79,128,8,0,8,0,1,10000
nn_kernel_gpu_mem,99,1,1,79,128,80008,40000,40008,80000,1,10000
nn_kernel_cpu,7504,0,1,1,80,0,0,0,0,1,10010000
nn_kernel_gpu,442,1,1,78204,128,8,0,8,0,1,10010000
nn_kernel_gpu_mem,11240,1,1,78204,128,80080008,40040000,40040008,80080000,1,10010000
nn_kernel_cpu,5801,0,1,1,80,0,0,0,0,1,10020000
nn_kernel_gpu,421,1,1,78282,128,8,0,8,0,1,10020000
nn_kernel_gpu_mem,11227,1,1,78282,128,80160008,40080000,40080008,80160000,1,10020000
nn_kernel_cpu,5811,0,1,1,80,0,0,0,0,1,10030000
nn_kernel_gpu,433,1,1,78360,128,8,0,8,0,1,10030000
nn_kernel_gpu_mem,11289,1,1,78360,128,80240008,40120000,40120008,80240000,1,10030000
nn_kernel_cpu,5572,0,1,1,80,0,0,0,0,1,10040000
nn_kernel_gpu,430,1,1,78438,128,8,0,8,0,1,10040000
nn_kernel_gpu_mem,11290,1,1,78438,128,80320008,40160000,40160008,80320000,1,10040000
nn_kernel_cpu,5532,0,1,1,80,0,0,0,0,1,10050000
nn_kernel_gpu,416,1,1,78516,128,8,0,8,0,1,10050000
nn_kernel_gpu_mem,11282,1,1,78516,128,80400008,40200000,40200008,80400000,1,10050000
nn_kernel_cpu,5412,0,1,1,80,0,0,0,0,1,10060000
nn_kernel_gpu,432,1,1,78594,128,8,0,8,0,1,10060000
nn_kernel_gpu_mem,11402,1,1,78594,128,80480008,40240000,40240008,80480000,1,10060000
nn_kernel_cpu,5403,0,1,1,80,0,0,0,0,1,10070000
nn_kernel_gpu,422,1,1,78672,128,8,0,8,0,1,10070000
nn_kernel_gpu_mem,11414,1,1,78672,128,80560008,40280000,40280008,80560000,1,10070000
nn_kernel_cpu,5526,0,1,1,80,0,0,0,0,1,10080000
