kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1
nn_kernel_cpu,30060,0,1,1,48,0,0,0,0,1,10000000
nn_kernel_gpu,2079,1,1,240,256,8,0,8,0,1,10000000
nn_kernel_gpu_mem,24555,1,1,240,256,80000008,40000000,40000008,80000000,1,10000000
nn_kernel_cpu,41724,0,1,1,48,0,0,0,0,1,1000000
nn_kernel_gpu,1301,1,1,240,256,8,0,8,0,1,1000000
nn_kernel_gpu_mem,30360,1,1,240,256,8000008,4000000,4000008,8000000,1,1000000

nn_kernel_cpu,18971,0,1,1,48,0,0,0,0,1,100000
nn_kernel_gpu,583,1,1,240,256,8,0,8,0,1,100000
nn_kernel_gpu_mem,1324,1,1,240,256,800008,400000,400008,800000,1,100000

nn_kernel_cpu,12507,0,1,1,48,0,0,0,0,1,10000
nn_kernel_gpu,523,1,1,40,256,8,0,8,0,1,10000
nn_kernel_gpu_mem,1173,1,1,40,256,80008,40000,40008,80000,1,10000
nn_kernel_cpu,28482,0,1,1,48,0,0,0,0,1,10010000
nn_kernel_gpu,6454,1,1,240,256,8,0,8,0,1,10010000
nn_kernel_gpu_mem,24387,1,1,240,256,80080008,40040000,40040008,80080000,1,10010000
nn_kernel_cpu,35235,0,1,1,48,0,0,0,0,1,10020000
nn_kernel_gpu,2155,1,1,240,256,8,0,8,0,1,10020000
nn_kernel_gpu_mem,21704,1,1,240,256,80160008,40080000,40080008,80160000,1,10020000
nn_kernel_cpu,40733,0,1,1,48,0,0,0,0,1,10030000
nn_kernel_gpu,6334,1,1,240,256,8,0,8,0,1,10030000
nn_kernel_gpu_mem,36864,1,1,240,256,80240008,40120000,40120008,80240000,1,10030000
nn_kernel_cpu,28640,0,1,1,48,0,0,0,0,1,10040000
nn_kernel_gpu,5450,1,1,240,256,8,0,8,0,1,10040000
nn_kernel_gpu_mem,24250,1,1,240,256,80320008,40160000,40160008,80320000,1,10040000
nn_kernel_cpu,13900,0,1,1,48,0,0,0,0,1,10050000
nn_kernel_gpu,2055,1,1,240,256,8,0,8,0,1,10050000
nn_kernel_gpu_mem,23286,1,1,240,256,80400008,40200000,40200008,80400000,1,10050000
nn_kernel_cpu,41119,0,1,1,48,0,0,0,0,1,10060000
nn_kernel_gpu,2266,1,1,240,256,8,0,8,0,1,10060000
nn_kernel_gpu_mem,26304,1,1,240,256,80480008,40240000,40240008,80480000,1,10060000
nn_kernel_cpu,28975,0,1,1,48,0,0,0,0,1,10070000
nn_kernel_gpu,2203,1,1,240,256,8,0,8,0,1,10070000
nn_kernel_gpu_mem,24577,1,1,240,256,80560008,40280000,40280008,80560000,1,10070000
nn_kernel_cpu,30266,0,1,1,48,0,0,0,0,1,10080000
nn_kernel_gpu,5645,1,1,240,256,8,0,8,0,1,10080000
nn_kernel_gpu_mem,24314,1,1,240,256,80640008,40320000,40320008,80640000,1,10080000
nn_kernel_cpu,30875,0,1,1,48,0,0,0,0,1,10090000
nn_kernel_gpu,2273,1,1,240,256,8,0,8,0,1,10090000
