kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1
nn_kernel_cpu,9318,0,1,1,28,0,0,0,0,1,10000000
nn_kernel_gpu,1183,1,1,78125,128,0,0,0,0,1,10000000
nn_kernel_gpu_mem,34056,1,1,78125,128,80000000,40000000,40000000,80000000,1,10000000
nn_kernel_cpu,1055,0,1,1,28,0,0,0,0,1,1000000
nn_kernel_gpu,170,1,1,7813,128,0,0,0,0,1,1000000
nn_kernel_gpu_mem,4811,1,1,7813,128,8000000,4000000,4000000,8000000,1,1000000
nn_kernel_cpu,162,0,1,1,28,0,0,0,0,1,100000
nn_kernel_gpu,53,1,1,782,128,0,0,0,0,1,100000
nn_kernel_gpu_mem,1059,1,1,782,128,800000,400000,400000,800000,1,100000
nn_kernel_cpu,80,0,1,1,28,0,0,0,0,1,10000
nn_kernel_gpu,57,1,1,79,128,0,0,0,0,1,10000
nn_kernel_gpu_mem,113,1,1,79,128,80000,40000,40000,80000,1,10000
nn_kernel_cpu,7665,0,1,1,28,0,0,0,0,1,10010000
nn_kernel_gpu,1217,1,1,78204,128,0,0,0,0,1,10010000
nn_kernel_gpu_mem,32955,1,1,78204,128,80080000,40040000,40040000,80080000,1,10010000
nn_kernel_cpu,5218,0,1,1,28,0,0,0,0,1,10020000
nn_kernel_gpu,1201,1,1,78282,128,0,0,0,0,1,10020000
nn_kernel_gpu_mem,29592,1,1,78282,128,80160000,40080000,40080000,80160000,1,10020000
nn_kernel_cpu,5196,0,1,1,28,0,0,0,0,1,10030000
nn_kernel_gpu,1209,1,1,78360,128,0,0,0,0,1,10030000
nn_kernel_gpu_mem,33980,1,1,78360,128,80240000,40120000,40120000,80240000,1,10030000
nn_kernel_cpu,5249,0,1,1,28,0,0,0,0,1,10040000
nn_kernel_gpu,1162,1,1,78438,128,0,0,0,0,1,10040000
nn_kernel_gpu_mem,34466,1,1,78438,128,80320000,40160000,40160000,80320000,1,10040000
nn_kernel_cpu,6119,0,1,1,28,0,0,0,0,1,10050000
nn_kernel_gpu,1148,1,1,78516,128,0,0,0,0,1,10050000
nn_kernel_gpu_mem,35099,1,1,78516,128,80400000,40200000,40200000,80400000,1,10050000
nn_kernel_cpu,5457,0,1,1,28,0,0,0,0,1,10060000
nn_kernel_gpu,1170,1,1,78594,128,0,0,0,0,1,10060000
nn_kernel_gpu_mem,43153,1,1,78594,128,80480000,40240000,40240000,80480000,1,10060000
nn_kernel_cpu,4059,0,1,1,28,0,0,0,0,1,10070000
nn_kernel_gpu,1213,1,1,78672,128,0,0,0,0,1,10070000
nn_kernel_gpu_mem,34470,1,1,78672,128,80560000,40280000,40280000,80560000,1,10070000
nn_kernel_cpu,4047,0,1,1,28,0,0,0,0,1,10080000
nn_kernel_gpu,1155,1,1,78750,128,0,0,0,0,1,10080000
nn_kernel_gpu_mem,34493,1,1,78750,128,80640000,40320000,40320000,80640000,1,10080000
nn_kernel_cpu,4464,0,1,1,28,0,0,0,0,1,10090000
nn_kernel_gpu,1175,1,1,78829,128,0,0,0,0,1,10090000
nn_kernel_gpu_mem,35818,1,1,78829,128,80720000,40360000,40360000,80720000,1,10090000
nn_kernel_cpu,4817,0,1,1,28,0,0,0,0,1,10100000
nn_kernel_gpu,1143,1,1,78907,128,0,0,0,0,1,10100000
nn_kernel_gpu_mem,29916,1,1,78907,128,80800000,40400000,40400000,80800000,1,10100000
nn_kernel_cpu,3289,0,1,1,28,0,0,0,0,1,1010000
nn_kernel_gpu,180,1,1,7891,128,0,0,0,0,1,1010000
nn_kernel_gpu_mem,5101,1,1,7891,128,8080000,4040000,4040000,8080000,1,1010000
nn_kernel_cpu,5363,0,1,1,28,0,0,0,0,1,10110000
nn_kernel_gpu,1176,1,1,78985,128,0,0,0,0,1,10110000
