kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1
nn_kernel_cpu,39423,0,1,1,40,0,0,0,0,1,10000000
nn_kernel_gpu,880,1,1,65536,128,8,0,8,0,1,10000000
nn_kernel_gpu_mem,23231,1,1,65536,128,80000008,40000000,40000008,80000000,1,10000000
nn_kernel_cpu,31580,0,1,1,40,0,0,0,0,1,1000000
nn_kernel_gpu,387,1,1,7813,128,8,0,8,0,1,1000000
nn_kernel_gpu_mem,3597,1,1,7813,128,8000008,4000000,4000008,8000000,1,1000000
nn_kernel_cpu,28260,0,1,1,40,0,0,0,0,1,10000
nn_kernel_gpu,395,1,1,79,128,8,0,8,0,1,10000
nn_kernel_gpu_mem,237,1,1,79,128,80008,40000,40008,80000,1,10000
nn_kernel_cpu,40595,0,1,1,40,0,0,0,0,1,10010000
nn_kernel_gpu,635,1,1,65536,128,8,0,8,0,1,10010000
nn_kernel_gpu_mem,27550,1,1,65536,128,80080008,40040000,40040008,80080000,1,10010000
nn_kernel_cpu,36467,0,1,1,40,0,0,0,0,1,10020000
nn_kernel_gpu,663,1,1,65536,128,8,0,8,0,1,10020000
nn_kernel_gpu_mem,27678,1,1,65536,128,80160008,40080000,40080008,80160000,1,10020000
nn_kernel_cpu,21204,0,1,1,40,0,0,0,0,1,10030000
nn_kernel_gpu,735,1,1,65536,128,8,0,8,0,1,10030000
nn_kernel_gpu_mem,26887,1,1,65536,128,80240008,40120000,40120008,80240000,1,10030000
nn_kernel_cpu,40671,0,1,1,40,0,0,0,0,1,10040000
nn_kernel_gpu,828,1,1,65536,128,8,0,8,0,1,10040000
nn_kernel_gpu_mem,28254,1,1,65536,128,80320008,40160000,40160008,80320000,1,10040000
nn_kernel_cpu,40497,0,1,1,40,0,0,0,0,1,10050000
nn_kernel_gpu,787,1,1,65536,128,8,0,8,0,1,10050000
nn_kernel_gpu_mem,28328,1,1,65536,128,80400008,40200000,40200008,80400000,1,10050000
nn_kernel_cpu,39061,0,1,1,40,0,0,0,0,1,10060000
nn_kernel_gpu,708,1,1,65536,128,8,0,8,0,1,10060000
nn_kernel_gpu_mem,27292,1,1,65536,128,80480008,40240000,40240008,80480000,1,10060000
nn_kernel_cpu,41081,0,1,1,40,0,0,0,0,1,10070000
nn_kernel_gpu,708,1,1,65536,128,8,0,8,0,1,10070000
nn_kernel_gpu_mem,28086,1,1,65536,128,80560008,40280000,40280008,80560000,1,10070000
nn_kernel_cpu,40775,0,1,1,40,0,0,0,0,1,10080000
nn_kernel_gpu,723,1,1,65536,128,8,0,8,0,1,10080000
nn_kernel_gpu_mem,28205,1,1,65536,128,80640008,40320000,40320008,80640000,1,10080000
nn_kernel_cpu,35337,0,1,1,40,0,0,0,0,1,10090000
nn_kernel_gpu,690,1,1,65536,128,8,0,8,0,1,10090000
nn_kernel_gpu_mem,27296,1,1,65536,128,80720008,40360000,40360008,80720000,1,10090000
nn_kernel_cpu,38764,0,1,1,40,0,0,0,0,1,10100000
nn_kernel_gpu,714,1,1,65536,128,8,0,8,0,1,10100000
nn_kernel_gpu_mem,27773,1,1,65536,128,80800008,40400000,40400008,80800000,1,10100000
nn_kernel_cpu,31635,0,1,1,40,0,0,0,0,1,1010000
nn_kernel_gpu,382,1,1,7891,128,8,0,8,0,1,1010000
nn_kernel_gpu_mem,3388,1,1,7891,128,8080008,4040000,4040008,8080000,1,1010000
nn_kernel_cpu,35571,0,1,1,40,0,0,0,0,1,10110000
nn_kernel_gpu,759,1,1,65536,128,8,0,8,0,1,10110000
nn_kernel_gpu_mem,28725,1,1,65536,128,80880008,40440000,40440008,80880000,1,10110000
nn_kernel_cpu,40137,0,1,1,40,0,0,0,0,1,10120000
nn_kernel_gpu,771,1,1,65536,128,8,0,8,0,1,10120000
nn_kernel_gpu_mem,27762,1,1,65536,128,80960008,40480000,40480008,80960000,1,10120000
nn_kernel_cpu,41649,0,1,1,40,0,0,0,0,1,10130000
nn_kernel_gpu,662,1,1,65536,128,8,0,8,0,1,10130000
nn_kernel_gpu_mem,28137,1,1,65536,128,81040008,40520000,40520008,81040000,1,10130000
nn_kernel_cpu,23489,0,1,1,40,0,0,0,0,1,10140000
nn_kernel_gpu,795,1,1,65536,128,8,0,8,0,1,10140000
nn_kernel_gpu_mem,27369,1,1,65536,128,81120008,40560000,40560008,81120000,1,10140000
nn_kernel_cpu,37186,0,1,1,40,0,0,0,0,1,10150000
nn_kernel_gpu,718,1,1,65536,128,8,0,8,0,1,10150000
nn_kernel_gpu_mem,27288,1,1,65536,128,81200008,40600000,40600008,81200000,1,10150000
nn_kernel_cpu,41498,0,1,1,40,0,0,0,0,1,10160000
nn_kernel_gpu,730,1,1,65536,128,8,0,8,0,1,10160000
nn_kernel_gpu_mem,27775,1,1,65536,128,81280008,40640000,40640008,81280000,1,10160000
nn_kernel_cpu,35646,0,1,1,40,0,0,0,0,1,10170000
nn_kernel_gpu,689,1,1,65536,128,8,0,8,0,1,10170000
nn_kernel_gpu_mem,28120,1,1,65536,128,81360008,40680000,40680008,81360000,1,10170000
nn_kernel_cpu,38737,0,1,1,40,0,0,0,0,1,10180000
nn_kernel_gpu,722,1,1,65536,128,8,0,8,0,1,10180000
nn_kernel_gpu_mem,27932,1,1,65536,128,81440008,40720000,40720008,81440000,1,10180000
nn_kernel_cpu,41873,0,1,1,40,0,0,0,0,1,10190000
nn_kernel_gpu,708,1,1,65536,128,8,0,8,0,1,10190000
nn_kernel_gpu_mem,27874,1,1,65536,128,81520008,40760000,40760008,81520000,1,10190000
nn_kernel_cpu,38849,0,1,1,40,0,0,0,0,1,10200000
nn_kernel_gpu,692,1,1,65536,128,8,0,8,0,1,10200000
nn_kernel_gpu_mem,27791,1,1,65536,128,81600008,40800000,40800008,81600000,1,10200000
nn_kernel_cpu,15935,0,1,1,40,0,0,0,0,1,1020000
nn_kernel_gpu,419,1,1,7969,128,8,0,8,0,1,1020000
nn_kernel_gpu_mem,3454,1,1,7969,128,8160008,4080000,4080008,8160000,1,1020000
nn_kernel_cpu,37641,0,1,1,40,0,0,0,0,1,10210000
nn_kernel_gpu,723,1,1,65536,128,8,0,8,0,1,10210000
nn_kernel_gpu_mem,27701,1,1,65536,128,81680008,40840000,40840008,81680000,1,10210000
nn_kernel_cpu,37174,0,1,1,40,0,0,0,0,1,10220000
nn_kernel_gpu,767,1,1,65536,128,8,0,8,0,1,10220000
nn_kernel_gpu_mem,27064,1,1,65536,128,81760008,40880000,40880008,81760000,1,10220000
