kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1,,,
nn_kernel_cpu,69053,0,1,1,128,0,0,0,0,1,10000000,,,
nn_kernel_gpu,302,1,1,78125,128,0,0,0,0,1,10000000,,,
nn_kernel_gpu_mem,20153,1,1,78125,128,80000000,40000000,40000000,80000000,1,10000000,,,
nn_kernel_cpu,67821,0,1,1,128,0,0,0,0,1,1000000,,,
nn_kernel_gpu,152,1,1,7813,128,0,0,0,0,1,1000000,,,
nn_kernel_gpu_mem,3081,1,1,7813,128,8000000,4000000,4000000,8000000,1,1000000,,,
nn_kernel_cpu,66432,0,1,1,128,0,0,0,0,1,100000,,,
nn_kernel_gpu,71,1,1,782,128,0,0,0,0,1,100000,,,
nn_kernel_gpu_mem,829,1,1,782,128,800000,400000,400000,800000,1,100000,,,
nn_kernel_cpu,67534,0,1,1,128,0,0,0,0,1,10000,,,
nn_kernel_gpu,77,1,1,79,128,0,0,0,0,1,10000,,,
nn_kernel_gpu_mem,745,1,1,79,128,80000,40000,40000,80000,1,10000,,,
nn_kernel_cpu,67792,0,1,1,128,0,0,0,0,1,10010000,,,
nn_kernel_gpu,301,1,1,78204,128,0,0,0,0,1,10010000,,,
nn_kernel_gpu_mem,20133,1,1,78204,128,80080000,40040000,40040000,80080000,1,10010000,,,
nn_kernel_cpu,72035,0,1,1,128,0,0,0,0,1,10020000,,,
nn_kernel_gpu,305,1,1,78282,128,0,0,0,0,1,10020000,,,
nn_kernel_gpu_mem,20253,1,1,78282,128,80160000,40080000,40080000,80160000,1,10020000,,,
nn_kernel_cpu,68144,0,1,1,128,0,0,0,0,1,10030000,,,
nn_kernel_gpu,302,1,1,78360,128,0,0,0,0,1,10030000,,,
nn_kernel_gpu_mem,20258,1,1,78360,128,80240000,40120000,40120000,80240000,1,10030000,,,
nn_kernel_cpu,67905,0,1,1,128,0,0,0,0,1,10040000,,,
nn_kernel_gpu,302,1,1,78438,128,0,0,0,0,1,10040000,,,
nn_kernel_gpu_mem,20254,1,1,78438,128,80320000,40160000,40160000,80320000,1,10040000,,,
nn_kernel_cpu,68024,0,1,1,128,0,0,0,0,1,10050000,,,
nn_kernel_gpu,303,1,1,78516,128,0,0,0,0,1,10050000,,,
nn_kernel_gpu_mem,20274,1,1,78516,128,80400000,40200000,40200000,80400000,1,10050000,,,
nn_kernel_cpu,68010,0,1,1,128,0,0,0,0,1,10060000,,,
nn_kernel_gpu,301,1,1,78594,128,0,0,0,0,1,10060000,,,
nn_kernel_gpu_mem,20424,1,1,78594,128,80480000,40240000,40240000,80480000,1,10060000,,,
nn_kernel_cpu,67701,0,1,1,128,0,0,0,0,1,10070000,,,
nn_kernel_gpu,300,1,1,78672,128,0,0,0,0,1,10070000,,,
nn_kernel_gpu_mem,20323,1,1,78672,128,80560000,40280000,40280000,80560000,1,10070000,,,
nn_kernel_cpu,68217,0,1,1,128,0,0,0,0,1,10080000,,,
nn_kernel_gpu,306,1,1,78750,128,0,0,0,0,1,10080000,,,
nn_kernel_gpu_mem,20403,1,1,78750,128,80640000,40320000,40320000,80640000,1,10080000,,,
nn_kernel_cpu,67295,0,1,1,128,0,0,0,0,1,10090000,,,
nn_kernel_gpu,304,1,1,78829,128,0,0,0,0,1,10090000,,,
nn_kernel_gpu_mem,20375,1,1,78829,128,80720000,40360000,40360000,80720000,1,10090000,,,
nn_kernel_cpu,68772,0,1,1,128,0,0,0,0,1,10100000,,,
nn_kernel_gpu,305,1,1,78907,128,0,0,0,0,1,10100000,,,
nn_kernel_gpu_mem,20402,1,1,78907,128,80800000,40400000,40400000,80800000,1,10100000,,,
nn_kernel_cpu,68842,0,1,1,128,0,0,0,0,1,1010000,,,
nn_kernel_gpu,155,1,1,7891,128,0,0,0,0,1,1010000,,,
