kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1
nn_kernel_cpu,21282,0,1,1,64,0,0,0,0,1,10000000
nn_kernel_gpu,638,1,1,78125,128,0,0,0,0,1,10000000
nn_kernel_gpu_mem,14646,1,1,78125,128,80000000,40000000,40000000,80000000,1,10000000
nn_kernel_cpu,7801,0,1,1,64,0,0,0,0,1,1000000
nn_kernel_gpu,119,1,1,7813,128,0,0,0,0,1,1000000
nn_kernel_gpu_mem,2350,1,1,7813,128,8000000,4000000,4000000,8000000,1,1000000
nn_kernel_cpu,271,0,1,1,64,0,0,0,0,1,100000
nn_kernel_gpu,44,1,1,782,128,0,0,0,0,1,100000
nn_kernel_gpu_mem,295,1,1,782,128,800000,400000,400000,800000,1,100000
nn_kernel_cpu,578,0,1,1,64,0,0,0,0,1,10000
nn_kernel_gpu,33,1,1,79,128,0,0,0,0,1,10000
nn_kernel_gpu_mem,112,1,1,79,128,80000,40000,40000,80000,1,10000
nn_kernel_cpu,4988,0,1,1,64,0,0,0,0,1,10010000
nn_kernel_gpu,633,1,1,78204,128,0,0,0,0,1,10010000
nn_kernel_gpu_mem,21706,1,1,78204,128,80080000,40040000,40040000,80080000,1,10010000
nn_kernel_cpu,19702,0,1,1,64,0,0,0,0,1,10020000
nn_kernel_gpu,629,1,1,78282,128,0,0,0,0,1,10020000
nn_kernel_gpu_mem,15487,1,1,78282,128,80160000,40080000,40080000,80160000,1,10020000
nn_kernel_cpu,11083,0,1,1,64,0,0,0,0,1,10030000
nn_kernel_gpu,634,1,1,78360,128,0,0,0,0,1,10030000
nn_kernel_gpu_mem,14673,1,1,78360,128,80240000,40120000,40120000,80240000,1,10030000
nn_kernel_cpu,26757,0,1,1,64,0,0,0,0,1,10040000
nn_kernel_gpu,633,1,1,78438,128,0,0,0,0,1,10040000
nn_kernel_gpu_mem,14686,1,1,78438,128,80320000,40160000,40160000,80320000,1,10040000
nn_kernel_cpu,33793,0,1,1,64,0,0,0,0,1,10050000
nn_kernel_gpu,627,1,1,78516,128,0,0,0,0,1,10050000
nn_kernel_gpu_mem,14833,1,1,78516,128,80400000,40200000,40200000,80400000,1,10050000
nn_kernel_cpu,14314,0,1,1,64,0,0,0,0,1,10060000
nn_kernel_gpu,630,1,1,78594,128,0,0,0,0,1,10060000
nn_kernel_gpu_mem,13959,1,1,78594,128,80480000,40240000,40240000,80480000,1,10060000
nn_kernel_cpu,30923,0,1,1,64,0,0,0,0,1,10070000
nn_kernel_gpu,673,1,1,78672,128,0,0,0,0,1,10070000
nn_kernel_gpu_mem,15446,1,1,78672,128,80560000,40280000,40280000,80560000,1,10070000
nn_kernel_cpu,16873,0,1,1,64,0,0,0,0,1,10080000
nn_kernel_gpu,634,1,1,78750,128,0,0,0,0,1,10080000
nn_kernel_gpu_mem,15922,1,1,78750,128,80640000,40320000,40320000,80640000,1,10080000
nn_kernel_cpu,23409,0,1,1,64,0,0,0,0,1,10090000
nn_kernel_gpu,635,1,1,78829,128,0,0,0,0,1,10090000
nn_kernel_gpu_mem,14875,1,1,78829,128,80720000,40360000,40360000,80720000,1,10090000
nn_kernel_cpu,7268,0,1,1,64,0,0,0,0,1,10100000
nn_kernel_gpu,636,1,1,78907,128,0,0,0,0,1,10100000
nn_kernel_gpu_mem,14551,1,1,78907,128,80800000,40400000,40400000,80800000,1,10100000
nn_kernel_cpu,7682,0,1,1,64,0,0,0,0,1,1010000
nn_kernel_gpu,114,1,1,7891,128,0,0,0,0,1,1010000
nn_kernel_gpu_mem,2315,1,1,7891,128,8080000,4040000,4040000,8080000,1,1010000
nn_kernel_cpu,23615,0,1,1,64,0,0,0,0,1,10110000
nn_kernel_gpu,644,1,1,78985,128,0,0,0,0,1,10110000
nn_kernel_gpu_mem,16403,1,1,78985,128,80880000,40440000,40440000,80880000,1,10110000
nn_kernel_cpu,21835,0,1,1,64,0,0,0,0,1,10120000
nn_kernel_gpu,634,1,1,79063,128,0,0,0,0,1,10120000
nn_kernel_gpu_mem,15543,1,1,79063,128,80960000,40480000,40480000,80960000,1,10120000
nn_kernel_cpu,14254,0,1,1,64,0,0,0,0,1,10130000
nn_kernel_gpu,627,1,1,79141,128,0,0,0,0,1,10130000
nn_kernel_gpu_mem,14090,1,1,79141,128,81040000,40520000,40520000,81040000,1,10130000
nn_kernel_cpu,9654,0,1,1,64,0,0,0,0,1,10140000
nn_kernel_gpu,635,1,1,79219,128,0,0,0,0,1,10140000
nn_kernel_gpu_mem,19910,1,1,79219,128,81120000,40560000,40560000,81120000,1,10140000
nn_kernel_cpu,16489,0,1,1,64,0,0,0,0,1,10150000
nn_kernel_gpu,636,1,1,79297,128,0,0,0,0,1,10150000
nn_kernel_gpu_mem,13676,1,1,79297,128,81200000,40600000,40600000,81200000,1,10150000
nn_kernel_cpu,19300,0,1,1,64,0,0,0,0,1,10160000
nn_kernel_gpu,639,1,1,79375,128,0,0,0,0,1,10160000
nn_kernel_gpu_mem,15778,1,1,79375,128,81280000,40640000,40640000,81280000,1,10160000
nn_kernel_cpu,17612,0,1,1,64,0,0,0,0,1,10170000
nn_kernel_gpu,648,1,1,79454,128,0,0,0,0,1,10170000
nn_kernel_gpu_mem,14777,1,1,79454,128,81360000,40680000,40680000,81360000,1,10170000
nn_kernel_cpu,22699,0,1,1,64,0,0,0,0,1,10180000
nn_kernel_gpu,648,1,1,79532,128,0,0,0,0,1,10180000
nn_kernel_gpu_mem,14475,1,1,79532,128,81440000,40720000,40720000,81440000,1,10180000
nn_kernel_cpu,14823,0,1,1,64,0,0,0,0,1,10190000
nn_kernel_gpu,645,1,1,79610,128,0,0,0,0,1,10190000
nn_kernel_gpu_mem,11877,1,1,79610,128,81520000,40760000,40760000,81520000,1,10190000
nn_kernel_cpu,11518,0,1,1,64,0,0,0,0,1,10200000
nn_kernel_gpu,638,1,1,79688,128,0,0,0,0,1,10200000
nn_kernel_gpu_mem,11908,1,1,79688,128,81600000,40800000,40800000,81600000,1,10200000
nn_kernel_cpu,2510,0,1,1,64,0,0,0,0,1,1020000
nn_kernel_gpu,121,1,1,7969,128,0,0,0,0,1,1020000
nn_kernel_gpu_mem,4004,1,1,7969,128,8160000,4080000,4080000,8160000,1,1020000
nn_kernel_cpu,23696,0,1,1,64,0,0,0,0,1,10210000
nn_kernel_gpu,642,1,1,79766,128,0,0,0,0,1,10210000
