kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1
particlefilter_kernel1_cpu,4992,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel2_cpu,201,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel3_cpu,46,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel4_cpu,97,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel5_cpu,120,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel6_cpu,11178787,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel7_cpu,24047,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel2_cpu,199,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel3_cpu,85,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel4_cpu,91,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel5_cpu,55,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel6_cpu,11405135,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel7_cpu,242,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel2_cpu,191,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel3_cpu,47,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel4_cpu,64,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel5_cpu,29,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel6_cpu,11172612,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel7_cpu,242,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel2_cpu,186,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel3_cpu,47,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel4_cpu,60,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel5_cpu,27,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel6_cpu,11208986,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel7_cpu,3202,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel2_cpu,185,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel3_cpu,47,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel4_cpu,62,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel5_cpu,26,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel6_cpu,11131813,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel7_cpu,217,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel2_cpu,184,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel3_cpu,47,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel4_cpu,54,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel5_cpu,26,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel6_cpu,11014426,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel7_cpu,260,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel2_cpu,188,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel3_cpu,47,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel4_cpu,66,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel5_cpu,26,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel6_cpu,11102563,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel7_cpu,266,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel2_cpu,185,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel3_cpu,46,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel4_cpu,61,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel5_cpu,26,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel6_cpu,11118691,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel7_cpu,233,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel2_cpu,181,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel3_cpu,47,0,1,1,80,0,0,0,0,1,1000000
particlefilter_kernel4_cpu,80,0,1,1,80,0,0,0,0,1,1000000
