kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1
particlefilter_kernel1_cpu,22785,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel2_cpu,13556,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel3_cpu,198,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel4_cpu,377,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel5_cpu,1177,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel6_cpu,13378549,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel7_cpu,3462,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel2_cpu,582,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel3_cpu,89,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel4_cpu,408,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel5_cpu,154,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel6_cpu,13503256,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel7_cpu,949,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel2_cpu,545,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel3_cpu,84,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel4_cpu,419,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel5_cpu,135,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel6_cpu,13636679,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel7_cpu,760,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel2_cpu,505,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel3_cpu,70,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel4_cpu,311,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel5_cpu,82,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel6_cpu,13194094,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel7_cpu,845,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel2_cpu,559,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel3_cpu,51,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel4_cpu,398,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel5_cpu,139,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel6_cpu,13286058,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel7_cpu,858,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel2_cpu,585,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel3_cpu,90,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel4_cpu,422,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel5_cpu,105,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel6_cpu,12971958,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel7_cpu,920,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel2_cpu,549,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel3_cpu,71,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel4_cpu,453,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel5_cpu,98,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel6_cpu,13394828,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel7_cpu,995,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel2_cpu,544,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel3_cpu,44,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel4_cpu,411,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel5_cpu,155,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel6_cpu,12924022,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel7_cpu,1053,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel2_cpu,582,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel3_cpu,40,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel4_cpu,421,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel5_cpu,113,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel6_cpu,13366867,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel7_cpu,794,0,1,1,48,0,0,0,0,1,1000000
particlefilter_kernel1_gpu_mem,18255,1,1,240,256,32,24000000,24000016,24000000,1,1000000
particlefilter_kernel2_gpu_mem,4820,1,1,240,256,8000024,0,24,8000000,1,1000000
particlefilter_kernel3_gpu_mem,2957,1,1,240,256,8000024,0,8000016,8000000,1,1000000
particlefilter_kernel4_gpu_mem,7340,0,1,240,256,24000032,0,32,24000000,1,1000000
particlefilter_kernel5_gpu_mem,3058,1,1,240,256,24,8000000,8000016,8000000,1,1000000
particlefilter_kernel6_gpu_mem,3633940,1,1,240,256,32000016,16000000,16000016,32000000,1,1000000
particlefilter_kernel7_gpu_mem,11715,1,1,240,256,16000016,24000000,24000016,16000000,1,1000000
particlefilter_kernel2_gpu_mem,4440,1,1,240,256,8000024,0,24,8000000,1,1000000
particlefilter_kernel3_gpu_mem,3187,1,1,240,256,8000024,0,8000016,8000000,1,1000000
particlefilter_kernel4_gpu_mem,7714,0,1,240,256,24000032,0,32,24000000,1,1000000
particlefilter_kernel5_gpu_mem,2746,1,1,240,256,24,8000000,8000016,8000000,1,1000000
particlefilter_kernel6_gpu_mem,2273129,1,1,240,256,32000016,16000000,16000016,32000000,1,1000000
particlefilter_kernel7_gpu_mem,12173,1,1,240,256,16000016,24000000,24000016,16000000,1,1000000
particlefilter_kernel2_gpu_mem,4841,1,1,240,256,8000024,0,24,8000000,1,1000000
particlefilter_kernel3_gpu_mem,2893,1,1,240,256,8000024,0,8000016,8000000,1,1000000
particlefilter_kernel4_gpu_mem,8018,0,1,240,256,24000032,0,32,24000000,1,1000000
particlefilter_kernel5_gpu_mem,2703,1,1,240,256,24,8000000,8000016,8000000,1,1000000
particlefilter_kernel6_gpu_mem,2422410,1,1,240,256,32000016,16000000,16000016,32000000,1,1000000
particlefilter_kernel7_gpu_mem,8060,1,1,240,256,16000016,24000000,24000016,16000000,1,1000000
particlefilter_kernel2_gpu_mem,4568,1,1,240,256,8000024,0,24,8000000,1,1000000
particlefilter_kernel3_gpu_mem,2804,1,1,240,256,8000024,0,8000016,8000000,1,1000000
particlefilter_kernel4_gpu_mem,7025,0,1,240,256,24000032,0,32,24000000,1,1000000
particlefilter_kernel5_gpu_mem,2697,1,1,240,256,24,8000000,8000016,8000000,1,1000000
particlefilter_kernel6_gpu_mem,2423072,1,1,240,256,32000016,16000000,16000016,32000000,1,1000000
particlefilter_kernel7_gpu_mem,7983,1,1,240,256,16000016,24000000,24000016,16000000,1,1000000
particlefilter_kernel2_gpu_mem,4619,1,1,240,256,8000024,0,24,8000000,1,1000000
particlefilter_kernel3_gpu_mem,2896,1,1,240,256,8000024,0,8000016,8000000,1,1000000
particlefilter_kernel4_gpu_mem,7576,0,1,240,256,24000032,0,32,24000000,1,1000000
particlefilter_kernel5_gpu_mem,2677,1,1,240,256,24,8000000,8000016,8000000,1,1000000
particlefilter_kernel6_gpu_mem,2417844,1,1,240,256,32000016,16000000,16000016,32000000,1,1000000
particlefilter_kernel7_gpu_mem,7718,1,1,240,256,16000016,24000000,24000016,16000000,1,1000000
particlefilter_kernel2_gpu_mem,4481,1,1,240,256,8000024,0,24,8000000,1,1000000
particlefilter_kernel3_gpu_mem,3255,1,1,240,256,8000024,0,8000016,8000000,1,1000000
particlefilter_kernel4_gpu_mem,7799,0,1,240,256,24000032,0,32,24000000,1,1000000
particlefilter_kernel5_gpu_mem,2817,1,1,240,256,24,8000000,8000016,8000000,1,1000000
particlefilter_kernel6_gpu_mem,2425481,1,1,240,256,32000016,16000000,16000016,32000000,1,1000000
particlefilter_kernel7_gpu_mem,9153,1,1,240,256,16000016,24000000,24000016,16000000,1,1000000
particlefilter_kernel2_gpu_mem,4446,1,1,240,256,8000024,0,24,8000000,1,1000000
particlefilter_kernel3_gpu_mem,3253,1,1,240,256,8000024,0,8000016,8000000,1,1000000
particlefilter_kernel4_gpu_mem,7781,0,1,240,256,24000032,0,32,24000000,1,1000000
particlefilter_kernel5_gpu_mem,2844,1,1,240,256,24,8000000,8000016,8000000,1,1000000
particlefilter_kernel6_gpu_mem,2406836,1,1,240,256,32000016,16000000,16000016,32000000,1,1000000
particlefilter_kernel7_gpu_mem,11190,1,1,240,256,16000016,24000000,24000016,16000000,1,1000000
particlefilter_kernel2_gpu_mem,4782,1,1,240,256,8000024,0,24,8000000,1,1000000
particlefilter_kernel3_gpu_mem,2972,1,1,240,256,8000024,0,8000016,8000000,1,1000000
particlefilter_kernel4_gpu_mem,7530,0,1,240,256,24000032,0,32,24000000,1,1000000
particlefilter_kernel5_gpu_mem,2872,1,1,240,256,24,8000000,8000016,8000000,1,1000000
particlefilter_kernel6_gpu_mem,2418550,1,1,240,256,32000016,16000000,16000016,32000000,1,1000000
particlefilter_kernel7_gpu_mem,11422,1,1,240,256,16000016,24000000,24000016,16000000,1,1000000
particlefilter_kernel2_gpu_mem,4333,1,1,240,256,8000024,0,24,8000000,1,1000000
particlefilter_kernel3_gpu_mem,3182,1,1,240,256,8000024,0,8000016,8000000,1,1000000
particlefilter_kernel4_gpu_mem,7520,0,1,240,256,24000032,0,32,24000000,1,1000000
particlefilter_kernel5_gpu_mem,2784,1,1,240,256,24,8000000,8000016,8000000,1,1000000
particlefilter_kernel6_gpu_mem,2314529,1,1,240,256,32000016,16000000,16000016,32000000,1,1000000
particlefilter_kernel7_gpu_mem,11259,1,1,240,256,16000016,24000000,24000016,16000000,1,1000000
particlefilter_kernel1_gpu,877,1,1,240,256,32,0,16,0,1,1000000
particlefilter_kernel2_gpu,2067,1,1,240,256,24,0,24,0,1,1000000
particlefilter_kernel3_gpu,682,1,1,240,256,24,0,16,0,1,1000000
particlefilter_kernel4_gpu,1348,0,1,240,256,32,0,32,0,1,1000000
particlefilter_kernel5_gpu,1460,1,1,240,256,24,0,16,0,1,1000000
particlefilter_kernel6_gpu,4532568,1,1,240,256,16,0,16,0,1,1000000
particlefilter_kernel7_gpu,705,1,1,240,256,16,0,16,0,1,1000000
particlefilter_kernel2_gpu,2692,1,1,240,256,24,0,24,0,1,1000000
particlefilter_kernel3_gpu,710,1,1,240,256,24,0,16,0,1,1000000
particlefilter_kernel4_gpu,2264,0,1,240,256,32,0,32,0,1,1000000
particlefilter_kernel5_gpu,1422,1,1,240,256,24,0,16,0,1,1000000
particlefilter_kernel6_gpu,2424498,1,1,240,256,16,0,16,0,1,1000000
particlefilter_kernel7_gpu,752,1,1,240,256,16,0,16,0,1,1000000
particlefilter_kernel2_gpu,2166,1,1,240,256,24,0,24,0,1,1000000
particlefilter_kernel3_gpu,692,1,1,240,256,24,0,16,0,1,1000000
particlefilter_kernel4_gpu,1515,0,1,240,256,32,0,32,0,1,1000000
particlefilter_kernel5_gpu,1477,1,1,240,256,24,0,16,0,1,1000000
particlefilter_kernel6_gpu,2419316,1,1,240,256,16,0,16,0,1,1000000
particlefilter_kernel7_gpu,679,1,1,240,256,16,0,16,0,1,1000000
particlefilter_kernel2_gpu,2154,1,1,240,256,24,0,24,0,1,1000000
particlefilter_kernel3_gpu,698,1,1,240,256,24,0,16,0,1,1000000
particlefilter_kernel4_gpu,1512,0,1,240,256,32,0,32,0,1,1000000
particlefilter_kernel5_gpu,1492,1,1,240,256,24,0,16,0,1,1000000
particlefilter_kernel6_gpu,2378643,1,1,240,256,16,0,16,0,1,1000000
particlefilter_kernel7_gpu,662,1,1,240,256,16,0,16,0,1,1000000
particlefilter_kernel2_gpu,2679,1,1,240,256,24,0,24,0,1,1000000
particlefilter_kernel3_gpu,694,1,1,240,256,24,0,16,0,1,1000000
particlefilter_kernel4_gpu,1639,0,1,240,256,32,0,32,0,1,1000000
particlefilter_kernel5_gpu,1554,1,1,240,256,24,0,16,0,1,1000000
particlefilter_kernel6_gpu,2431767,1,1,240,256,16,0,16,0,1,1000000
particlefilter_kernel7_gpu,592,1,1,240,256,16,0,16,0,1,1000000
particlefilter_kernel2_gpu,2133,1,1,240,256,24,0,24,0,1,1000000
particlefilter_kernel3_gpu,712,1,1,240,256,24,0,16,0,1,1000000
particlefilter_kernel4_gpu,1768,0,1,240,256,32,0,32,0,1,1000000
particlefilter_kernel5_gpu,1468,1,1,240,256,24,0,16,0,1,1000000
particlefilter_kernel6_gpu,2367494,1,1,240,256,16,0,16,0,1,1000000
particlefilter_kernel7_gpu,592,1,1,240,256,16,0,16,0,1,1000000
particlefilter_kernel2_gpu,2050,1,1,240,256,24,0,24,0,1,1000000
particlefilter_kernel3_gpu,700,1,1,240,256,24,0,16,0,1,1000000
particlefilter_kernel4_gpu,1528,0,1,240,256,32,0,32,0,1,1000000
particlefilter_kernel5_gpu,1383,1,1,240,256,24,0,16,0,1,1000000
particlefilter_kernel6_gpu,2381159,1,1,240,256,16,0,16,0,1,1000000
particlefilter_kernel7_gpu,535,1,1,240,256,16,0,16,0,1,1000000
particlefilter_kernel2_gpu,3157,1,1,240,256,24,0,24,0,1,1000000
particlefilter_kernel3_gpu,756,1,1,240,256,24,0,16,0,1,1000000
particlefilter_kernel4_gpu,1547,0,1,240,256,32,0,32,0,1,1000000
particlefilter_kernel5_gpu,1507,1,1,240,256,24,0,16,0,1,1000000
particlefilter_kernel6_gpu,2397461,1,1,240,256,16,0,16,0,1,1000000
particlefilter_kernel7_gpu,530,1,1,240,256,16,0,16,0,1,1000000
particlefilter_kernel2_gpu,2694,1,1,240,256,24,0,24,0,1,1000000
particlefilter_kernel3_gpu,704,1,1,240,256,24,0,16,0,1,1000000
particlefilter_kernel4_gpu,1539,0,1,240,256,32,0,32,0,1,1000000
particlefilter_kernel5_gpu,1437,1,1,240,256,24,0,16,0,1,1000000
particlefilter_kernel6_gpu,2344373,1,1,240,256,16,0,16,0,1,1000000
particlefilter_kernel7_gpu,530,1,1,240,256,16,0,16,0,1,1000000
particlefilter_kernel1_cpu,28859,0,1,1,48,0,0,0,0,1,100000
particlefilter_kernel2_cpu,7312,0,1,1,48,0,0,0,0,1,100000
particlefilter_kernel3_cpu,95,0,1,1,48,0,0,0,0,1,100000
particlefilter_kernel4_cpu,241,0,1,1,48,0,0,0,0,1,100000
particlefilter_kernel5_cpu,399,0,1,1,48,0,0,0,0,1,100000
particlefilter_kernel6_cpu,246705,0,1,1,48,0,0,0,0,1,100000
particlefilter_kernel7_cpu,8061,0,1,1,48,0,0,0,0,1,100000
particlefilter_kernel2_cpu,175,0,1,1,48,0,0,0,0,1,100000
particlefilter_kernel3_cpu,49,0,1,1,48,0,0,0,0,1,100000
particlefilter_kernel4_cpu,150,0,1,1,48,0,0,0,0,1,100000
particlefilter_kernel5_cpu,50,0,1,1,48,0,0,0,0,1,100000
particlefilter_kernel6_cpu,230927,0,1,1,48,0,0,0,0,1,100000
particlefilter_kernel7_cpu,8077,0,1,1,48,0,0,0,0,1,100000
particlefilter_kernel2_cpu,6840,0,1,1,48,0,0,0,0,1,100000
particlefilter_kernel3_cpu,51,0,1,1,48,0,0,0,0,1,100000
particlefilter_kernel4_cpu,187,0,1,1,48,0,0,0,0,1,100000
particlefilter_kernel5_cpu,658,0,1,1,48,0,0,0,0,1,100000
particlefilter_kernel6_cpu,230643,0,1,1,48,0,0,0,0,1,100000
particlefilter_kernel7_cpu,8079,0,1,1,48,0,0,0,0,1,100000
particlefilter_kernel2_cpu,6239,0,1,1,48,0,0,0,0,1,100000
particlefilter_kernel3_cpu,50,0,1,1,48,0,0,0,0,1,100000
particlefilter_kernel4_cpu,291,0,1,1,48,0,0,0,0,1,100000
particlefilter_kernel5_cpu,660,0,1,1,48,0,0,0,0,1,100000
particlefilter_kernel6_cpu,227111,0,1,1,48,0,0,0,0,1,100000
particlefilter_kernel7_cpu,8079,0,1,1,48,0,0,0,0,1,100000
particlefilter_kernel2_cpu,610,0,1,1,48,0,0,0,0,1,100000
particlefilter_kernel3_cpu,42,0,1,1,48,0,0,0,0,1,100000
particlefilter_kernel4_cpu,152,0,1,1,48,0,0,0,0,1,100000
particlefilter_kernel5_cpu,46,0,1,1,48,0,0,0,0,1,100000
particlefilter_kernel6_cpu,224376,0,1,1,48,0,0,0,0,1,100000
particlefilter_kernel7_cpu,8070,0,1,1,48,0,0,0,0,1,100000
particlefilter_kernel2_cpu,165,0,1,1,48,0,0,0,0,1,100000
particlefilter_kernel3_cpu,51,0,1,1,48,0,0,0,0,1,100000
particlefilter_kernel4_cpu,175,0,1,1,48,0,0,0,0,1,100000
