kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1,
particlefilter_kernel1_cpu,67283,0,1,1,168,0,0,0,0,1,100000,
particlefilter_kernel2_cpu,123,0,1,1,168,0,0,0,0,1,100000,
particlefilter_kernel3_cpu,27,0,1,1,168,0,0,0,0,1,100000,
particlefilter_kernel4_cpu,46,0,1,1,168,0,0,0,0,1,100000,
particlefilter_kernel5_cpu,23,0,1,1,168,0,0,0,0,1,100000,
particlefilter_kernel6_cpu,168478,0,1,1,168,0,0,0,0,1,100000,
particlefilter_kernel7_cpu,48,0,1,1,168,0,0,0,0,1,100000,
particlefilter_kernel1_gpu,82,1,1,782,128,32,0,16,0,1,100000,
particlefilter_kernel2_gpu,216,1,1,782,128,24,0,24,0,1,100000,
particlefilter_kernel3_gpu,69,1,1,782,128,24,0,16,0,1,100000,
particlefilter_kernel4_gpu,240,0,1,782,128,32,0,32,0,1,100000,
particlefilter_kernel5_gpu,60,1,1,782,128,24,0,16,0,1,100000,
particlefilter_kernel6_gpu,8184,1,1,782,128,16,0,16,0,1,100000,
particlefilter_kernel7_gpu,62,1,1,782,128,16,0,16,0,1,100000,
particlefilter_kernel1_gpu_mem,218640,1,1,782,128,32,2400000,2400016,2400000,1,100000,
particlefilter_kernel2_gpu_mem,315,1,1,782,128,800024,0,24,800000,1,100000,
particlefilter_kernel3_gpu_mem,226,1,1,782,128,800024,0,800016,800000,1,100000,
particlefilter_kernel4_gpu_mem,1246,0,1,782,128,2400032,0,32,2400000,1,100000,
particlefilter_kernel5_gpu_mem,170,1,1,782,128,24,800000,800016,800000,1,100000,
particlefilter_kernel6_gpu_mem,10052,1,1,782,128,3200016,1600000,1600016,3200000,1,100000,
particlefilter_kernel7_gpu_mem,1744,1,1,782,128,1600016,2400000,2400016,1600000,1,100000,
particlefilter_kernel1_cpu,67890,0,1,1,168,0,0,0,0,1,110000,
particlefilter_kernel2_cpu,120,0,1,1,168,0,0,0,0,1,110000,
particlefilter_kernel3_cpu,30,0,1,1,168,0,0,0,0,1,110000,
particlefilter_kernel4_cpu,46,0,1,1,168,0,0,0,0,1,110000,
particlefilter_kernel5_cpu,24,0,1,1,168,0,0,0,0,1,110000,
particlefilter_kernel6_cpu,202701,0,1,1,168,0,0,0,0,1,110000,
particlefilter_kernel7_cpu,45,0,1,1,168,0,0,0,0,1,110000,
