kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1,N2
transpose_kernel_cpu,26582,0,1,1,48,0,0,0,0,2,1000,100
transpose_kernel_cpu_collapse,137,0,2,1,48,0,0,0,0,2,1000,100
transpose_kernel_gpu_mem,2597,1,1,1,256,800008,800000,800008,800000,2,1000,100
transpose_kernel_gpu_collapse_mem,1069,1,2,240,256,800008,800000,800008,800000,2,1000,100
transpose_kernel_gpu,976,1,1,1,256,8,0,8,0,2,1000,100
transpose_kernel_gpu_collapse,461,1,2,240,256,8,0,8,0,2,1000,100

transpose_kernel_cpu,8882,0,1,1,48,0,0,0,0,2,1000,200
transpose_kernel_cpu_collapse,175,0,2,1,48,0,0,0,0,2,1000,200
transpose_kernel_gpu_mem,3416,1,1,1,256,1600008,1600000,1600008,1600000,2,1000,200
transpose_kernel_gpu_collapse_mem,1952,1,2,240,256,1600008,1600000,1600008,1600000,2,1000,200
transpose_kernel_gpu,2651,1,1,1,256,8,0,8,0,2,1000,200
transpose_kernel_gpu_collapse,1382,1,2,240,256,8,0,8,0,2,1000,200

transpose_kernel_cpu,15764,0,1,1,48,0,0,0,0,2,1000,300
transpose_kernel_cpu_collapse,188,0,2,1,48,0,0,0,0,2,1000,300
transpose_kernel_gpu_mem,22526,1,1,2,256,2400008,2400000,2400008,2400000,2,1000,300
transpose_kernel_gpu_collapse_mem,2399,1,2,240,256,2400008,2400000,2400008,2400000,2,1000,300
transpose_kernel_gpu,987,1,1,2,256,8,0,8,0,2,1000,300
transpose_kernel_gpu_collapse,486,1,2,240,256,8,0,8,0,2,1000,300

transpose_kernel_cpu,7966,0,1,1,48,0,0,0,0,2,1000,400
transpose_kernel_cpu_collapse,186,0,2,1,48,0,0,0,0,2,1000,400
transpose_kernel_gpu_mem,24019,1,1,2,256,3200008,3200000,3200008,3200000,2,1000,400
transpose_kernel_gpu_collapse_mem,15307,1,2,240,256,3200008,3200000,3200008,3200000,2,1000,400
transpose_kernel_gpu,4980,1,1,2,256,8,0,8,0,2,1000,400
transpose_kernel_gpu_collapse,1423,1,2,240,256,8,0,8,0,2,1000,400

transpose_kernel_cpu,6665,0,1,1,48,0,0,0,0,2,1000,500
transpose_kernel_cpu_collapse,219,0,2,1,48,0,0,0,0,2,1000,500
transpose_kernel_gpu_mem,23709,1,1,2,256,4000008,4000000,4000008,4000000,2,1000,500
transpose_kernel_gpu_collapse_mem,15552,1,2,240,256,4000008,4000000,4000008,4000000,2,1000,500
transpose_kernel_gpu,5036,1,1,2,256,8,0,8,0,2,1000,500
transpose_kernel_gpu_collapse,1211,1,2,240,256,8,0,8,0,2,1000,500

transpose_kernel_cpu,1377,0,1,1,48,0,0,0,0,2,100,1000
transpose_kernel_cpu_collapse,83,0,2,1,48,0,0,0,0,2,100,1000
transpose_kernel_gpu_mem,2133,1,1,4,256,800008,800000,800008,800000,2,100,1000
transpose_kernel_gpu_collapse_mem,1082,1,2,240,256,800008,800000,800008,800000,2,100,1000
transpose_kernel_gpu,512,1,1,4,256,8,0,8,0,2,100,1000
transpose_kernel_gpu_collapse,464,1,2,240,256,8,0,8,0,2,100,1000
transpose_kernel_cpu,217,0,1,1,48,0,0,0,0,2,100,100
transpose_kernel_cpu_collapse,110,0,2,1,48,0,0,0,0,2,100,100
