kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1,N2
transpose_kernel_cpu,85025,0,1,1,28,0,0,0,0,2,10000,10000
transpose_kernel_cpu_collapse,51106,0,2,1,28,0,0,0,0,2,10000,10000
transpose_kernel_gpu_mem,421137,1,1,79,128,800000008,800000000,800000008,800000000,2,10000,10000
transpose_kernel_gpu_collapse_mem,443192,1,2,781250,128,800000008,800000000,800000008,800000000,2,10000,10000
transpose_kernel_gpu,69610,1,1,79,128,8,0,8,0,2,10000,10000
transpose_kernel_gpu_collapse,30468,1,2,781250,128,8,0,8,0,2,10000,10000
transpose_kernel_cpu,14321,0,1,1,28,0,0,0,0,2,10000,1000
transpose_kernel_cpu_collapse,8731,0,2,1,28,0,0,0,0,2,10000,1000
transpose_kernel_gpu_mem,55488,1,1,8,128,80000008,80000000,80000008,80000000,2,10000,1000
transpose_kernel_gpu_collapse_mem,50888,1,2,78125,128,80000008,80000000,80000008,80000000,2,10000,1000
transpose_kernel_gpu,15221,1,1,8,128,8,0,8,0,2,10000,1000
transpose_kernel_gpu_collapse,4292,1,2,78125,128,8,0,8,0,2,10000,1000
transpose_kernel_cpu,5801,0,1,1,28,0,0,0,0,2,10000,100
transpose_kernel_cpu_collapse,701,0,2,1,28,0,0,0,0,2,10000,100
transpose_kernel_gpu_mem,20177,1,1,1,128,8000008,8000000,8000008,8000000,2,10000,100
transpose_kernel_gpu_collapse_mem,5872,1,2,7813,128,8000008,8000000,8000008,8000000,2,10000,100
transpose_kernel_gpu,14634,1,1,1,128,8,0,8,0,2,10000,100
transpose_kernel_gpu_collapse,481,1,2,7813,128,8,0,8,0,2,10000,100
transpose_kernel_cpu,17654,0,1,1,28,0,0,0,0,2,10000,1100
transpose_kernel_cpu_collapse,6308,0,2,1,28,0,0,0,0,2,10000,1100
transpose_kernel_gpu_mem,54414,1,1,9,128,88000008,88000000,88000008,88000000,2,10000,1100
transpose_kernel_gpu_collapse_mem,52927,1,2,85938,128,88000008,88000000,88000008,88000000,2,10000,1100
transpose_kernel_gpu,15327,1,1,9,128,8,0,8,0,2,10000,1100
transpose_kernel_gpu_collapse,4727,1,2,85938,128,8,0,8,0,2,10000,1100
transpose_kernel_cpu,14008,0,1,1,28,0,0,0,0,2,10000,1200
transpose_kernel_cpu_collapse,9196,0,2,1,28,0,0,0,0,2,10000,1200
transpose_kernel_gpu_mem,61801,1,1,10,128,96000008,96000000,96000008,96000000,2,10000,1200
transpose_kernel_gpu_collapse_mem,60775,1,2,93750,128,96000008,96000000,96000008,96000000,2,10000,1200
transpose_kernel_gpu,15289,1,1,10,128,8,0,8,0,2,10000,1200
transpose_kernel_gpu_collapse,5004,1,2,93750,128,8,0,8,0,2,10000,1200
transpose_kernel_cpu,18173,0,1,1,28,0,0,0,0,2,10000,1300
transpose_kernel_cpu_collapse,7727,0,2,1,28,0,0,0,0,2,10000,1300
transpose_kernel_gpu_mem,61567,1,1,11,128,104000008,104000000,104000008,104000000,2,10000,1300
transpose_kernel_gpu_collapse_mem,62327,1,2,101563,128,104000008,104000000,104000008,104000000,2,10000,1300
transpose_kernel_gpu,13984,1,1,11,128,8,0,8,0,2,10000,1300
transpose_kernel_gpu_collapse,4969,1,2,101563,128,8,0,8,0,2,10000,1300
transpose_kernel_cpu,19657,0,1,1,28,0,0,0,0,2,10000,1400
transpose_kernel_cpu_collapse,10891,0,2,1,28,0,0,0,0,2,10000,1400
transpose_kernel_gpu_mem,69541,1,1,11,128,112000008,112000000,112000008,112000000,2,10000,1400
transpose_kernel_gpu_collapse_mem,71008,1,2,109375,128,112000008,112000000,112000008,112000000,2,10000,1400
transpose_kernel_gpu,15552,1,1,11,128,8,0,8,0,2,10000,1400
transpose_kernel_gpu_collapse,5356,1,2,109375,128,8,0,8,0,2,10000,1400
transpose_kernel_cpu,16656,0,1,1,28,0,0,0,0,2,10000,1500
transpose_kernel_cpu_collapse,15706,0,2,1,28,0,0,0,0,2,10000,1500
transpose_kernel_gpu_mem,67993,1,1,12,128,120000008,120000000,120000008,120000000,2,10000,1500
transpose_kernel_gpu_collapse_mem,70885,1,2,117188,128,120000008,120000000,120000008,120000000,2,10000,1500
transpose_kernel_gpu,14135,1,1,12,128,8,0,8,0,2,10000,1500
transpose_kernel_gpu_collapse,5889,1,2,117188,128,8,0,8,0,2,10000,1500
transpose_kernel_cpu,24900,0,1,1,28,0,0,0,0,2,10000,1600
transpose_kernel_cpu_collapse,21075,0,2,1,28,0,0,0,0,2,10000,1600
transpose_kernel_gpu_mem,71645,1,1,13,128,128000008,128000000,128000008,128000000,2,10000,1600
transpose_kernel_gpu_collapse_mem,76998,1,2,125000,128,128000008,128000000,128000008,128000000,2,10000,1600
transpose_kernel_gpu,14050,1,1,13,128,8,0,8,0,2,10000,1600
transpose_kernel_gpu_collapse,6406,1,2,125000,128,8,0,8,0,2,10000,1600
transpose_kernel_cpu,17016,0,1,1,28,0,0,0,0,2,10000,1700
transpose_kernel_cpu_collapse,16278,0,2,1,28,0,0,0,0,2,10000,1700
